,Unnamed: 0,pair_id,tm_score,identity_us_align,pro1,pro2,group
2240,2240,AF-P0C5L4-F1-model_v3.pdb@@AF-Q08416-F1-model_v3.pdb.txt,0.530125,0.082,P0C5L4,Q08416,pro_with_unknown_function
2570,2570,AF-P0C5Q1-F1-model_v3.pdb@@AF-Q3E7Y6-F1-model_v3.pdb.txt,0.51417,0.029,P0C5Q1,Q3E7Y6,pro_with_unknown_function
2696,2696,AF-P0C5N0-F1-model_v3.pdb@@AF-Q04398-F1-model_v3.pdb.txt,0.6472899999999999,0.033,P0C5N0,Q04398,pro_with_unknown_function
2775,2775,AF-Q8TGS5-F1-model_v3.pdb@@AF-P32570-F1-model_v3.pdb.txt,0.572375,0.057,Q8TGS5,P32570,pro_with_unknown_function
2888,2888,AF-P47159-F1-model_v3.pdb@@AF-Q08777-F1-model_v3.pdb.txt,0.62865,0.106,P47159,Q08777,pro_with_unknown_function
3156,3156,AF-P0C5P6-F1-model_v3.pdb@@AF-P01097-F1-model_v3.pdb.txt,0.62525,0.027,P0C5P6,P01097,pro_with_unknown_function
3456,3456,AF-Q8TGT2-F1-model_v3.pdb@@AF-Q9ZZX7-F1-model_v3.pdb.txt,0.570585,0.082,Q8TGT2,Q9ZZX7,pro_with_unknown_function
4177,4177,AF-Q45U18-F1-model_v3.pdb@@AF-Q06162-F1-model_v3.pdb.txt,0.57714,0.032,Q45U18,Q06162,pro_with_unknown_function
4525,4525,AF-Q8TGJ0-F1-model_v3.pdb@@AF-P39103-F1-model_v3.pdb.txt,0.52088,0.089,Q8TGJ0,P39103,pro_with_unknown_function
5020,5020,AF-P0C5Q3-F1-model_v3.pdb@@AF-P53146-F1-model_v3.pdb.txt,0.509095,0.061,P0C5Q3,P53146,pro_with_unknown_function
5088,5088,AF-P0C5K9-F1-model_v3.pdb@@AF-P81450-F1-model_v3.pdb.txt,0.55531,0.038,P0C5K9,P81450,pro_with_unknown_function
5113,5113,AF-Q3E750-F1-model_v3.pdb@@AF-Q3E7A4-F1-model_v3.pdb.txt,0.60624,0.036,Q3E750,Q3E7A4,pro_with_unknown_function
5238,5238,AF-Q3E7Z3-F1-model_v3.pdb@@AF-Q9ZZX8-F1-model_v3.pdb.txt,0.567925,0.061,Q3E7Z3,Q9ZZX8,pro_with_unknown_function
5386,5386,AF-P0C5M8-F1-model_v3.pdb@@AF-Q8J0M4-F1-model_v3.pdb.txt,0.51309,0.179,P0C5M8,Q8J0M4,pro_with_unknown_function
6035,6035,AF-P0C5M0-F1-model_v3.pdb@@AF-P30902-F1-model_v3.pdb.txt,0.52441,0.023,P0C5M0,P30902,pro_with_unknown_function
6170,6170,AF-Q3E767-F1-model_v3.pdb@@AF-Q12247-F1-model_v3.pdb.txt,0.61544,0.065,Q3E767,Q12247,pro_with_unknown_function
6190,6190,AF-Q3E767-F1-model_v3.pdb@@AF-P41806-F1-model_v3.pdb.txt,0.54624,0.073,Q3E767,P41806,pro_with_unknown_function
6608,6608,AF-Q03263-F1-model_v3.pdb@@AF-Q12407-F1-model_v3.pdb.txt,0.59985,0.119,Q03263,Q12407,pro_with_unknown_function
6671,6671,AF-Q8TGS5-F1-model_v3.pdb@@AF-P48363-F1-model_v3.pdb.txt,0.56272,0.0,Q8TGS5,P48363,pro_with_unknown_function
6710,6710,AF-Q8TGS5-F1-model_v3.pdb@@AF-P01098-F1-model_v3.pdb.txt,0.617435,0.086,Q8TGS5,P01098,pro_with_unknown_function
6920,6920,AF-P0C5K9-F1-model_v3.pdb@@AF-P53198-F1-model_v3.pdb.txt,0.51007,0.037,P0C5K9,P53198,pro_with_unknown_function
6998,6998,AF-Q3E7A6-F1-model_v3.pdb@@AF-Q2V2P1-F1-model_v3.pdb.txt,0.68672,0.056,Q3E7A6,Q2V2P1,pro_with_unknown_function
7268,7268,AF-Q3E778-F1-model_v3.pdb@@AF-P33421-F1-model_v3.pdb.txt,0.50597,0.062,Q3E778,P33421,pro_with_unknown_function
7732,7732,AF-P0C5S1-F1-model_v3.pdb@@AF-P32830-F1-model_v3.pdb.txt,0.5289,0.038,P0C5S1,P32830,pro_with_unknown_function
7977,7977,AF-Q3E750-F1-model_v3.pdb@@AF-P38236-F1-model_v3.pdb.txt,0.5408,0.1,Q3E750,P38236,pro_with_unknown_function
8446,8446,AF-P38834-F1-model_v3.pdb@@AF-P25515-F1-model_v3.pdb.txt,0.512925,0.121,P38834,P25515,pro_with_unknown_function
8475,8475,AF-P0C5N1-F1-model_v3.pdb@@AF-P40219-F1-model_v3.pdb.txt,0.55489,0.019,P0C5N1,P40219,pro_with_unknown_function
8835,8835,AF-P0C5L4-F1-model_v3.pdb@@AF-O13577-F1-model_v3.pdb.txt,0.505285,0.098,P0C5L4,O13577,pro_with_unknown_function
9143,9143,AF-Q8TGS5-F1-model_v3.pdb@@AF-P38374-F1-model_v3.pdb.txt,0.516995,0.107,Q8TGS5,P38374,pro_with_unknown_function
9333,9333,AF-Q3E767-F1-model_v3.pdb@@AF-Q04210-F1-model_v3.pdb.txt,0.58682,0.043,Q3E767,Q04210,pro_with_unknown_function
9694,9694,AF-P0C5M8-F1-model_v3.pdb@@AF-Q12213-F1-model_v3.pdb.txt,0.506525,0.034,P0C5M8,Q12213,pro_with_unknown_function
9943,9943,AF-Q3E767-F1-model_v3.pdb@@AF-P01098-F1-model_v3.pdb.txt,0.662155,0.044,Q3E767,P01098,pro_with_unknown_function
10408,10408,AF-Q8TGT3-F1-model_v3.pdb@@AF-Q9ZZX8-F1-model_v3.pdb.txt,0.53223,0.037,Q8TGT3,Q9ZZX8,pro_with_unknown_function
10707,10707,AF-P53287-F1-model_v3.pdb@@AF-Q99380-F1-model_v3.pdb.txt,0.573045,0.056,P53287,Q99380,pro_with_unknown_function
10709,10709,AF-Q8TGU8-F1-model_v3.pdb@@AF-P38312-F1-model_v3.pdb.txt,0.501125,0.125,Q8TGU8,P38312,pro_with_unknown_function
10721,10721,AF-Q3E767-F1-model_v3.pdb@@AF-P28519-F1-model_v3.pdb.txt,0.5016499999999999,0.043,Q3E767,P28519,pro_with_unknown_function
10969,10969,AF-Q3E765-F1-model_v3.pdb@@AF-P40060-F1-model_v3.pdb.txt,0.55092,0.0,Q3E765,P40060,pro_with_unknown_function
10977,10977,AF-P0C5R4-F1-model_v3.pdb@@AF-Q07887-F1-model_v3.pdb.txt,0.57509,0.022,P0C5R4,Q07887,pro_with_unknown_function
11493,11493,AF-P0C5P6-F1-model_v3.pdb@@AF-Q3E784-F1-model_v3.pdb.txt,0.642355,0.081,P0C5P6,Q3E784,pro_with_unknown_function
12121,12121,AF-P53089-F1-model_v3.pdb@@AF-P53846-F1-model_v3.pdb.txt,0.53125,0.074,P53089,P53846,pro_with_unknown_function
13038,13038,AF-P0C5N1-F1-model_v3.pdb@@AF-P39970-F1-model_v3.pdb.txt,0.531725,0.019,P0C5N1,P39970,pro_with_unknown_function
13154,13154,AF-Q3E767-F1-model_v3.pdb@@AF-P53299-F1-model_v3.pdb.txt,0.502065,0.024,Q3E767,P53299,pro_with_unknown_function
13692,13692,AF-P0C5M8-F1-model_v3.pdb@@AF-P53146-F1-model_v3.pdb.txt,0.50456,0.103,P0C5M8,P53146,pro_with_unknown_function
13740,13740,AF-P0C5L4-F1-model_v3.pdb@@AF-P22203-F1-model_v3.pdb.txt,0.5444450000000001,0.077,P0C5L4,P22203,pro_with_unknown_function
14866,14866,AF-Q05863-F1-model_v3.pdb@@AF-Q99380-F1-model_v3.pdb.txt,0.54864,0.083,Q05863,Q99380,pro_with_unknown_function
15082,15082,AF-Q3E7A6-F1-model_v3.pdb@@AF-P39704-F1-model_v3.pdb.txt,0.51738,0.139,Q3E7A6,P39704,pro_with_unknown_function
15297,15297,AF-Q8TGT7-F1-model_v3.pdb@@AF-P87108-F1-model_v3.pdb.txt,0.553315,0.0,Q8TGT7,P87108,pro_with_unknown_function
15603,15603,AF-P0C5N1-F1-model_v3.pdb@@AF-P36095-F1-model_v3.pdb.txt,0.514155,0.062,P0C5N1,P36095,pro_with_unknown_function
15655,15655,AF-Q3E762-F1-model_v3.pdb@@AF-P40451-F1-model_v3.pdb.txt,0.57966,0.062,Q3E762,P40451,pro_with_unknown_function
15754,15754,AF-P47115-F1-model_v3.pdb@@AF-Q2V2P1-F1-model_v3.pdb.txt,0.523505,0.034,P47115,Q2V2P1,pro_with_unknown_function
15830,15830,AF-P0C5P6-F1-model_v3.pdb@@AF-Q06091-F1-model_v3.pdb.txt,0.56158,0.027,P0C5P6,Q06091,pro_with_unknown_function
16005,16005,AF-Q04413-F1-model_v3.pdb@@AF-P69852-F1-model_v3.pdb.txt,0.529305,0.079,Q04413,P69852,pro_with_unknown_function
16350,16350,AF-Q8TGU8-F1-model_v3.pdb@@AF-P47118-F1-model_v3.pdb.txt,0.51897,0.062,Q8TGU8,P47118,pro_with_unknown_function
16477,16477,AF-P0C5M8-F1-model_v3.pdb@@AF-Q05789-F1-model_v3.pdb.txt,0.51525,0.034,P0C5M8,Q05789,pro_with_unknown_function
16509,16509,AF-P0CD97-F1-model_v3.pdb@@AF-P0CX87-F1-model_v3.pdb.txt,0.540015,0.0,P0CD97,P0CX87,pro_with_unknown_function
16771,16771,AF-Q45U18-F1-model_v3.pdb@@AF-P0CX38-F1-model_v3.pdb.txt,0.522435,0.103,Q45U18,P0CX38,pro_with_unknown_function
16955,16955,AF-P0C5R4-F1-model_v3.pdb@@AF-Q35811-F1-model_v3.pdb.txt,0.88843,0.068,P0C5R4,Q35811,pro_with_unknown_function
17396,17396,AF-Q3E765-F1-model_v3.pdb@@AF-Q05611-F1-model_v3.pdb.txt,0.60412,0.0,Q3E765,Q05611,pro_with_unknown_function
17448,17448,AF-P0C5K9-F1-model_v3.pdb@@AF-O94742-F1-model_v3.pdb.txt,0.58657,0.0,P0C5K9,O94742,pro_with_unknown_function
17624,17624,AF-Q3E778-F1-model_v3.pdb@@AF-P39929-F1-model_v3.pdb.txt,0.52488,0.147,Q3E778,P39929,pro_with_unknown_function
17878,17878,AF-P0C5M8-F1-model_v3.pdb@@AF-Q99380-F1-model_v3.pdb.txt,0.7812,0.034,P0C5M8,Q99380,pro_with_unknown_function
17901,17901,AF-Q3E7A0-F1-model_v3.pdb@@AF-Q06071-F1-model_v3.pdb.txt,0.5387500000000001,0.128,Q3E7A0,Q06071,pro_with_unknown_function
18621,18621,AF-Q3E7A0-F1-model_v3.pdb@@AF-P31109-F1-model_v3.pdb.txt,0.582585,0.103,Q3E7A0,P31109,pro_with_unknown_function
18820,18820,AF-Q04869-F1-model_v3.pdb@@AF-P00358-F1-model_v3.pdb.txt,0.536515,0.113,Q04869,P00358,pro_with_unknown_function
18934,18934,AF-Q04838-F1-model_v3.pdb@@AF-P0CX86-F1-model_v3.pdb.txt,0.521515,0.12,Q04838,P0CX86,pro_with_unknown_function
18972,18972,AF-Q8TGT1-F1-model_v3.pdb@@AF-Q3E784-F1-model_v3.pdb.txt,0.62636,0.064,Q8TGT1,Q3E784,pro_with_unknown_function
19011,19011,AF-P0C5M8-F1-model_v3.pdb@@AF-P61829-F1-model_v3.pdb.txt,0.5144949999999999,0.069,P0C5M8,P61829,pro_with_unknown_function
19247,19247,AF-P40575-F1-model_v3.pdb@@AF-P40975-F1-model_v3.pdb.txt,0.534605,0.026,P40575,P40975,pro_with_unknown_function
19825,19825,AF-P0C5L4-F1-model_v3.pdb@@AF-P81449-F1-model_v3.pdb.txt,0.520115,0.13,P0C5L4,P81449,pro_with_unknown_function
20268,20268,AF-Q3E7A7-F1-model_v3.pdb@@AF-P0CX86-F1-model_v3.pdb.txt,0.513845,0.042,Q3E7A7,P0CX86,pro_with_unknown_function
20560,20560,AF-Q3E750-F1-model_v3.pdb@@AF-P43592-F1-model_v3.pdb.txt,0.56772,0.033,Q3E750,P43592,pro_with_unknown_function
20683,20683,AF-P0C5M8-F1-model_v3.pdb@@AF-P61830-F1-model_v3.pdb.txt,0.51813,0.069,P0C5M8,P61830,pro_with_unknown_function
21274,21274,AF-P47062-F1-model_v3.pdb@@AF-P46671-F1-model_v3.pdb.txt,0.586435,0.083,P47062,P46671,pro_with_unknown_function
21384,21384,AF-P0C5P3-F1-model_v3.pdb@@AF-P07255-F1-model_v3.pdb.txt,0.5888450000000001,0.0,P0C5P3,P07255,pro_with_unknown_function
21410,21410,AF-Q3E743-F1-model_v3.pdb@@AF-Q12431-F1-model_v3.pdb.txt,0.50159,0.093,Q3E743,Q12431,pro_with_unknown_function
21431,21431,AF-P0C5R4-F1-model_v3.pdb@@AF-P17106-F1-model_v3.pdb.txt,0.540945,0.022,P0C5R4,P17106,pro_with_unknown_function
21543,21543,AF-P0C5Q1-F1-model_v3.pdb@@AF-P0C289-F1-model_v3.pdb.txt,0.5090250000000001,0.069,P0C5Q1,P0C289,pro_with_unknown_function
21545,21545,AF-Q8TGT1-F1-model_v3.pdb@@AF-Q2V2P8-F1-model_v3.pdb.txt,0.52988,0.081,Q8TGT1,Q2V2P8,pro_with_unknown_function
21982,21982,AF-Q3E7Z6-F1-model_v3.pdb@@AF-P81449-F1-model_v3.pdb.txt,0.54818,0.0,Q3E7Z6,P81449,pro_with_unknown_function
22074,22074,AF-Q45U18-F1-model_v3.pdb@@AF-P32903-F1-model_v3.pdb.txt,0.712715,0.025,Q45U18,P32903,pro_with_unknown_function
22154,22154,AF-Q3E809-F1-model_v3.pdb@@AF-Q05637-F1-model_v3.pdb.txt,0.625245,0.04,Q3E809,Q05637,pro_with_unknown_function
22178,22178,AF-P0C5P3-F1-model_v3.pdb@@AF-Q02205-F1-model_v3.pdb.txt,0.507935,0.069,P0C5P3,Q02205,pro_with_unknown_function
22439,22439,AF-P0C5P3-F1-model_v3.pdb@@AF-P48836-F1-model_v3.pdb.txt,0.573045,0.067,P0C5P3,P48836,pro_with_unknown_function
22561,22561,AF-Q3E804-F1-model_v3.pdb@@AF-Q3E828-F1-model_v3.pdb.txt,0.59371,0.0,Q3E804,Q3E828,pro_with_unknown_function
22866,22866,AF-P0C5K9-F1-model_v3.pdb@@AF-Q06011-F1-model_v3.pdb.txt,0.54487,0.074,P0C5K9,Q06011,pro_with_unknown_function
23441,23441,AF-Q3E7Z3-F1-model_v3.pdb@@AF-P0C270-F1-model_v3.pdb.txt,0.63087,0.032,Q3E7Z3,P0C270,pro_with_unknown_function
23506,23506,AF-Q8TGT0-F1-model_v3.pdb@@AF-Q08278-F1-model_v3.pdb.txt,0.50483,0.02,Q8TGT0,Q08278,pro_with_unknown_function
23708,23708,AF-P40445-F1-model_v3.pdb@@AF-P31381-F1-model_v3.pdb.txt,0.56225,0.086,P40445,P31381,pro_with_unknown_function
23722,23722,AF-Q3E7Z9-F1-model_v3.pdb@@AF-P48836-F1-model_v3.pdb.txt,0.559975,0.032,Q3E7Z9,P48836,pro_with_unknown_function
23926,23926,AF-O13544-F1-model_v3.pdb@@AF-P62651-F1-model_v3.pdb.txt,0.5682200000000001,0.045,O13544,P62651,pro_with_unknown_function
24436,24436,AF-Q3E7Z6-F1-model_v3.pdb@@AF-A5Z2X5-F1-model_v3.pdb.txt,0.5318849999999999,0.074,Q3E7Z6,A5Z2X5,pro_with_unknown_function
25154,25154,AF-Q8TGU8-F1-model_v3.pdb@@AF-P38857-F1-model_v3.pdb.txt,0.500305,0.031,Q8TGU8,P38857,pro_with_unknown_function
25454,25454,AF-Q8TGU8-F1-model_v3.pdb@@AF-P53724-F1-model_v3.pdb.txt,0.512445,0.156,Q8TGU8,P53724,pro_with_unknown_function
25575,25575,AF-Q8TGU8-F1-model_v3.pdb@@AF-P81449-F1-model_v3.pdb.txt,0.51796,0.094,Q8TGU8,P81449,pro_with_unknown_function
25770,25770,AF-P0C5S1-F1-model_v3.pdb@@AF-P53724-F1-model_v3.pdb.txt,0.54899,0.038,P0C5S1,P53724,pro_with_unknown_function
25988,25988,AF-P0C5N1-F1-model_v3.pdb@@AF-O94742-F1-model_v3.pdb.txt,0.5194,0.048,P0C5N1,O94742,pro_with_unknown_function
26098,26098,AF-Q3E767-F1-model_v3.pdb@@AF-P40005-F1-model_v3.pdb.txt,0.634475,0.0,Q3E767,P40005,pro_with_unknown_function
26292,26292,AF-Q45U18-F1-model_v3.pdb@@AF-P40219-F1-model_v3.pdb.txt,0.58203,0.063,Q45U18,P40219,pro_with_unknown_function
26393,26393,AF-P0C5P3-F1-model_v3.pdb@@AF-P89113-F1-model_v3.pdb.txt,0.60384,0.071,P0C5P3,P89113,pro_with_unknown_function
26932,26932,AF-P0C5Q3-F1-model_v3.pdb@@AF-Q08182-F1-model_v3.pdb.txt,0.503,0.146,P0C5Q3,Q08182,pro_with_unknown_function
27743,27743,AF-Q3E762-F1-model_v3.pdb@@AF-Q12233-F1-model_v3.pdb.txt,0.508545,0.082,Q3E762,Q12233,pro_with_unknown_function
28602,28602,AF-O13544-F1-model_v3.pdb@@AF-Q3E828-F1-model_v3.pdb.txt,0.52179,0.038,O13544,Q3E828,pro_with_unknown_function
28898,28898,AF-P0C5P6-F1-model_v3.pdb@@AF-P38374-F1-model_v3.pdb.txt,0.50104,0.185,P0C5P6,P38374,pro_with_unknown_function
28992,28992,AF-Q3E7Z6-F1-model_v3.pdb@@AF-P0CX86-F1-model_v3.pdb.txt,0.714315,0.125,Q3E7Z6,P0CX86,pro_with_unknown_function
29098,29098,AF-Q8TGU6-F1-model_v3.pdb@@AF-P80967-F1-model_v3.pdb.txt,0.56238,0.103,Q8TGU6,P80967,pro_with_unknown_function
29120,29120,AF-Q3E7A6-F1-model_v3.pdb@@AF-Q08955-F1-model_v3.pdb.txt,0.53796,0.083,Q3E7A6,Q08955,pro_with_unknown_function
29260,29260,AF-Q3E7A0-F1-model_v3.pdb@@AF-P53130-F1-model_v3.pdb.txt,0.52295,0.027,Q3E7A0,P53130,pro_with_unknown_function
29602,29602,AF-P0C5P6-F1-model_v3.pdb@@AF-P32783-F1-model_v3.pdb.txt,0.511545,0.108,P0C5P6,P32783,pro_with_unknown_function
29662,29662,AF-P0C5N1-F1-model_v3.pdb@@AF-P17065-F1-model_v3.pdb.txt,0.505205,0.094,P0C5N1,P17065,pro_with_unknown_function
29730,29730,AF-Q3E778-F1-model_v3.pdb@@AF-Q06596-F1-model_v3.pdb.txt,0.5216350000000001,0.0,Q3E778,Q06596,pro_with_unknown_function
29903,29903,AF-P0C5R4-F1-model_v3.pdb@@AF-P36527-F1-model_v3.pdb.txt,0.592925,0.022,P0C5R4,P36527,pro_with_unknown_function
30021,30021,AF-Q08734-F1-model_v3.pdb@@AF-P32903-F1-model_v3.pdb.txt,0.540815,0.053,Q08734,P32903,pro_with_unknown_function
30039,30039,AF-P0C5P3-F1-model_v3.pdb@@AF-P42939-F1-model_v3.pdb.txt,0.5063,0.179,P0C5P3,P42939,pro_with_unknown_function
30214,30214,AF-P53956-F1-model_v3.pdb@@AF-Q3E808-F1-model_v3.pdb.txt,0.50323,0.049,P53956,Q3E808,pro_with_unknown_function
30979,30979,AF-Q8TGJ0-F1-model_v3.pdb@@AF-P48836-F1-model_v3.pdb.txt,0.529145,0.043,Q8TGJ0,P48836,pro_with_unknown_function
31613,31613,AF-Q8TGT0-F1-model_v3.pdb@@AF-Q02888-F1-model_v3.pdb.txt,0.51329,0.057,Q8TGT0,Q02888,pro_with_unknown_function
31649,31649,AF-P0C5R4-F1-model_v3.pdb@@AF-P0CX87-F1-model_v3.pdb.txt,0.6711,0.2,P0C5R4,P0CX87,pro_with_unknown_function
31723,31723,AF-Q3E804-F1-model_v3.pdb@@AF-Q12262-F1-model_v3.pdb.txt,0.511445,0.096,Q3E804,Q12262,pro_with_unknown_function
31877,31877,AF-Q3E7Y8-F1-model_v3.pdb@@AF-P33448-F1-model_v3.pdb.txt,0.503375,0.062,Q3E7Y8,P33448,pro_with_unknown_function
32669,32669,AF-Q8TGU5-F1-model_v3.pdb@@AF-Q3E787-F1-model_v3.pdb.txt,0.5804100000000001,0.091,Q8TGU5,Q3E787,pro_with_unknown_function
32930,32930,AF-P0C5P6-F1-model_v3.pdb@@AF-P41546-F1-model_v3.pdb.txt,0.54389,0.027,P0C5P6,P41546,pro_with_unknown_function
32996,32996,AF-Q3E809-F1-model_v3.pdb@@AF-P69851-F1-model_v3.pdb.txt,0.7228699999999999,0.0,Q3E809,P69851,pro_with_unknown_function
33186,33186,AF-P0CT86-F1-model_v3.pdb@@AF-P43682-F1-model_v3.pdb.txt,0.503025,0.047,P0CT86,P43682,pro_with_unknown_function
33201,33201,AF-Q06821-F1-model_v3.pdb@@AF-P36019-F1-model_v3.pdb.txt,0.517645,0.136,Q06821,P36019,pro_with_unknown_function
33449,33449,AF-Q8TGU8-F1-model_v3.pdb@@AF-Q3E827-F1-model_v3.pdb.txt,0.57017,0.062,Q8TGU8,Q3E827,pro_with_unknown_function
33687,33687,AF-P40579-F1-model_v3.pdb@@AF-Q08651-F1-model_v3.pdb.txt,0.71807,0.227,P40579,Q08651,pro_with_unknown_function
33848,33848,AF-P0C5M8-F1-model_v3.pdb@@AF-P87262-F1-model_v3.pdb.txt,0.53786,0.034,P0C5M8,P87262,pro_with_unknown_function
34009,34009,AF-Q3E778-F1-model_v3.pdb@@AF-Q08955-F1-model_v3.pdb.txt,0.578525,0.029,Q3E778,Q08955,pro_with_unknown_function
34071,34071,AF-P0C5P6-F1-model_v3.pdb@@AF-P53722-F1-model_v3.pdb.txt,0.50319,0.028,P0C5P6,P53722,pro_with_unknown_function
34559,34559,AF-Q8TGT6-F1-model_v3.pdb@@AF-P0C289-F1-model_v3.pdb.txt,0.502015,0.074,Q8TGT6,P0C289,pro_with_unknown_function
35008,35008,AF-Q3E843-F1-model_v3.pdb@@AF-P0CX86-F1-model_v3.pdb.txt,0.6628499999999999,0.08,Q3E843,P0CX86,pro_with_unknown_function
35162,35162,AF-Q3E778-F1-model_v3.pdb@@AF-P11747-F1-model_v3.pdb.txt,0.523765,0.059,Q3E778,P11747,pro_with_unknown_function
35175,35175,AF-Q3E7B0-F1-model_v3.pdb@@AF-P22943-F1-model_v3.pdb.txt,0.509645,0.094,Q3E7B0,P22943,pro_with_unknown_function
35721,35721,AF-P0C5M0-F1-model_v3.pdb@@AF-P53900-F1-model_v3.pdb.txt,0.538075,0.023,P0C5M0,P53900,pro_with_unknown_function
35853,35853,AF-Q3E843-F1-model_v3.pdb@@AF-Q3E828-F1-model_v3.pdb.txt,0.65558,0.029,Q3E843,Q3E828,pro_with_unknown_function
35975,35975,AF-Q8TGS5-F1-model_v3.pdb@@AF-Q03818-F1-model_v3.pdb.txt,0.57974,0.0,Q8TGS5,Q03818,pro_with_unknown_function
36006,36006,AF-Q3E7Z7-F1-model_v3.pdb@@AF-Q3E784-F1-model_v3.pdb.txt,0.595855,0.05,Q3E7Z7,Q3E784,pro_with_unknown_function
36089,36089,AF-Q3E804-F1-model_v3.pdb@@AF-P32450-F1-model_v3.pdb.txt,0.563975,0.091,Q3E804,P32450,pro_with_unknown_function
36349,36349,AF-P53908-F1-model_v3.pdb@@AF-P40975-F1-model_v3.pdb.txt,0.515765,0.056,P53908,P40975,pro_with_unknown_function
36406,36406,AF-P53209-F1-model_v3.pdb@@AF-P32903-F1-model_v3.pdb.txt,0.5310699999999999,0.1,P53209,P32903,pro_with_unknown_function
36584,36584,AF-P0C5L4-F1-model_v3.pdb@@AF-Q03525-F1-model_v3.pdb.txt,0.513235,0.078,P0C5L4,Q03525,pro_with_unknown_function
36718,36718,AF-P0C5P3-F1-model_v3.pdb@@AF-P69850-F1-model_v3.pdb.txt,0.58424,0.276,P0C5P3,P69850,pro_with_unknown_function
36864,36864,AF-P0C5N1-F1-model_v3.pdb@@AF-P38272-F1-model_v3.pdb.txt,0.53803,0.038,P0C5N1,P38272,pro_with_unknown_function
37689,37689,AF-Q3E802-F1-model_v3.pdb@@AF-P56508-F1-model_v3.pdb.txt,0.50487,0.034,Q3E802,P56508,pro_with_unknown_function
38100,38100,AF-Q03193-F1-model_v3.pdb@@AF-P25565-F1-model_v3.pdb.txt,0.5501199999999999,0.136,Q03193,P25565,pro_with_unknown_function
38299,38299,AF-Q3E744-F1-model_v3.pdb@@AF-Q2V2P1-F1-model_v3.pdb.txt,0.6634450000000001,0.107,Q3E744,Q2V2P1,pro_with_unknown_function
38453,38453,AF-Q45U18-F1-model_v3.pdb@@AF-P40576-F1-model_v3.pdb.txt,0.50283,0.082,Q45U18,P40576,pro_with_unknown_function
38622,38622,AF-Q3E7A6-F1-model_v3.pdb@@AF-Q03880-F1-model_v3.pdb.txt,0.53777,0.139,Q3E7A6,Q03880,pro_with_unknown_function
38761,38761,AF-P47137-F1-model_v3.pdb@@AF-P47182-F1-model_v3.pdb.txt,0.650235,0.192,P47137,P47182,pro_with_unknown_function
38772,38772,AF-P0C5P6-F1-model_v3.pdb@@AF-Q03290-F1-model_v3.pdb.txt,0.524395,0.054,P0C5P6,Q03290,pro_with_unknown_function
39160,39160,AF-P53750-F1-model_v3.pdb@@AF-P40363-F1-model_v3.pdb.txt,0.60498,0.108,P53750,P40363,pro_with_unknown_function
39279,39279,AF-P0C5N1-F1-model_v3.pdb@@AF-Q08278-F1-model_v3.pdb.txt,0.55235,0.094,P0C5N1,Q08278,pro_with_unknown_function
39336,39336,AF-Q45U18-F1-model_v3.pdb@@AF-P43586-F1-model_v3.pdb.txt,0.543025,0.045,Q45U18,P43586,pro_with_unknown_function
40190,40190,AF-P0C5N1-F1-model_v3.pdb@@AF-P32903-F1-model_v3.pdb.txt,0.763775,0.1,P0C5N1,P32903,pro_with_unknown_function
40659,40659,AF-Q3E778-F1-model_v3.pdb@@AF-P38736-F1-model_v3.pdb.txt,0.544115,0.088,Q3E778,P38736,pro_with_unknown_function
40900,40900,AF-Q8TGS5-F1-model_v3.pdb@@AF-P53317-F1-model_v3.pdb.txt,0.5517150000000001,0.057,Q8TGS5,P53317,pro_with_unknown_function
