,Unnamed: 0,pair_id,tm_score,identity_us_align,pro1,pro2,group
3283372,3283372,AF-Q3E750-F1-model_v3.pdb@@AF-Q2V2P1-F1-model_v3.pdb.txt,0.83343,0.05,Q3E750,Q2V2P1,pro_with_unknown_function
3599907,3599907,AF-P0C5L4-F1-model_v3.pdb@@AF-Q2V2P1-F1-model_v3.pdb.txt,0.8325,0.115,P0C5L4,Q2V2P1,pro_with_unknown_function
3413376,3413376,AF-P38745-F1-model_v3.pdb@@AF-P32857-F1-model_v3.pdb.txt,0.831275,0.535,P38745,P32857,pro_with_unknown_function
1060170,1060170,AF-P0C5P6-F1-model_v3.pdb@@AF-P32903-F1-model_v3.pdb.txt,0.8293250000000001,0.108,P0C5P6,P32903,pro_with_unknown_function
463151,463151,AF-Q08234-F1-model_v3.pdb@@AF-P40550-F1-model_v3.pdb.txt,0.82828,0.192,Q08234,P40550,pro_with_unknown_function
1571803,1571803,AF-Q45U18-F1-model_v3.pdb@@AF-P39103-F1-model_v3.pdb.txt,0.82763,0.109,Q45U18,P39103,pro_with_unknown_function
3417143,3417143,AF-P47137-F1-model_v3.pdb@@AF-Q07551-F1-model_v3.pdb.txt,0.8253699999999999,0.266,P47137,Q07551,pro_with_unknown_function
883784,883784,AF-P36086-F1-model_v3.pdb@@AF-P40580-F1-model_v3.pdb.txt,0.8251,0.226,P36086,P40580,pro_with_unknown_function
2398394,2398394,AF-Q08234-F1-model_v3.pdb@@AF-P33302-F1-model_v3.pdb.txt,0.824525,0.211,Q08234,P33302,pro_with_unknown_function
2446440,2446440,AF-Q3E762-F1-model_v3.pdb@@AF-P69851-F1-model_v3.pdb.txt,0.823325,0.063,Q3E762,P69851,pro_with_unknown_function
1225444,1225444,AF-P47137-F1-model_v3.pdb@@AF-P38115-F1-model_v3.pdb.txt,0.822785,0.278,P47137,P38115,pro_with_unknown_function
3568627,3568627,AF-Q3E778-F1-model_v3.pdb@@AF-Q99380-F1-model_v3.pdb.txt,0.82264,0.091,Q3E778,Q99380,pro_with_unknown_function
2839968,2839968,AF-Q8TGS5-F1-model_v3.pdb@@AF-P40975-F1-model_v3.pdb.txt,0.8222499999999999,0.086,Q8TGS5,P40975,pro_with_unknown_function
1984143,1984143,AF-Q08234-F1-model_v3.pdb@@AF-Q02785-F1-model_v3.pdb.txt,0.822145,0.198,Q08234,Q02785,pro_with_unknown_function
784308,784308,AF-Q3E762-F1-model_v3.pdb@@AF-P69852-F1-model_v3.pdb.txt,0.8218,0.031,Q3E762,P69852,pro_with_unknown_function
1374502,1374502,AF-Q08909-F1-model_v3.pdb@@AF-P54005-F1-model_v3.pdb.txt,0.82148,0.331,Q08909,P54005,pro_with_unknown_function
3368131,3368131,AF-P47090-F1-model_v3.pdb@@AF-P46950-F1-model_v3.pdb.txt,0.82132,0.487,P47090,P46950,pro_with_unknown_function
2347589,2347589,AF-Q08234-F1-model_v3.pdb@@AF-P32568-F1-model_v3.pdb.txt,0.82124,0.21,Q08234,P32568,pro_with_unknown_function
1569057,1569057,AF-Q3E767-F1-model_v3.pdb@@AF-P32903-F1-model_v3.pdb.txt,0.820105,0.0,Q3E767,P32903,pro_with_unknown_function
706877,706877,AF-P0C5N0-F1-model_v3.pdb@@AF-Q2V2P1-F1-model_v3.pdb.txt,0.81861,0.18,P0C5N0,Q2V2P1,pro_with_unknown_function
1095545,1095545,AF-P40445-F1-model_v3.pdb@@AF-Q12235-F1-model_v3.pdb.txt,0.8179749999999999,0.163,P40445,Q12235,pro_with_unknown_function
2882287,2882287,AF-Q08234-F1-model_v3.pdb@@AF-Q04182-F1-model_v3.pdb.txt,0.817555,0.212,Q08234,Q04182,pro_with_unknown_function
851823,851823,AF-Q3E7A6-F1-model_v3.pdb@@AF-P32903-F1-model_v3.pdb.txt,0.81699,0.056,Q3E7A6,P32903,pro_with_unknown_function
727626,727626,AF-Q3E778-F1-model_v3.pdb@@AF-P40975-F1-model_v3.pdb.txt,0.816565,0.176,Q3E778,P40975,pro_with_unknown_function
2737036,2737036,AF-Q8TGU8-F1-model_v3.pdb@@AF-P32903-F1-model_v3.pdb.txt,0.815585,0.125,Q8TGU8,P32903,pro_with_unknown_function
2903301,2903301,AF-Q3E7B4-F1-model_v3.pdb@@AF-P39103-F1-model_v3.pdb.txt,0.81526,0.098,Q3E7B4,P39103,pro_with_unknown_function
633344,633344,AF-Q9ZZW4-F1-model_v3.pdb@@AF-Q2V2P1-F1-model_v3.pdb.txt,0.814405,0.036,Q9ZZW4,Q2V2P1,pro_with_unknown_function
3525899,3525899,AF-Q8TGS5-F1-model_v3.pdb@@AF-Q3E808-F1-model_v3.pdb.txt,0.813635,0.143,Q8TGS5,Q3E808,pro_with_unknown_function
2024507,2024507,AF-P0C5P3-F1-model_v3.pdb@@AF-Q99380-F1-model_v3.pdb.txt,0.81308,0.034,P0C5P3,Q99380,pro_with_unknown_function
1503524,1503524,AF-Q08234-F1-model_v3.pdb@@AF-P51533-F1-model_v3.pdb.txt,0.81272,0.203,Q08234,P51533,pro_with_unknown_function
2281186,2281186,AF-P38716-F1-model_v3.pdb@@AF-P53101-F1-model_v3.pdb.txt,0.812395,0.247,P38716,P53101,pro_with_unknown_function
1468960,1468960,AF-P38716-F1-model_v3.pdb@@AF-P43623-F1-model_v3.pdb.txt,0.810975,0.232,P38716,P43623,pro_with_unknown_function
2806277,2806277,AF-P40355-F1-model_v3.pdb@@AF-P36044-F1-model_v3.pdb.txt,0.810565,0.434,P40355,P36044,pro_with_unknown_function
1439719,1439719,AF-Q3E7A0-F1-model_v3.pdb@@AF-P32903-F1-model_v3.pdb.txt,0.81055,0.128,Q3E7A0,P32903,pro_with_unknown_function
823044,823044,AF-Q08919-F1-model_v3.pdb@@AF-Q08693-F1-model_v3.pdb.txt,0.80758,0.447,Q08919,Q08693,pro_with_unknown_function
3753656,3753656,AF-Q35811-F1-model_v3.pdb@@AF-Q2V2P1-F1-model_v3.pdb.txt,0.807295,0.087,Q35811,Q2V2P1,pro_with_unknown_function
1286385,1286385,AF-Q8TGS5-F1-model_v3.pdb@@AF-Q99380-F1-model_v3.pdb.txt,0.8066150000000001,0.094,Q8TGS5,Q99380,pro_with_unknown_function
1004392,1004392,AF-Q04516-F1-model_v3.pdb@@AF-P38626-F1-model_v3.pdb.txt,0.805685,0.369,Q04516,P38626,pro_with_unknown_function
1479049,1479049,AF-P0C5K9-F1-model_v3.pdb@@AF-Q99380-F1-model_v3.pdb.txt,0.80513,0.074,P0C5K9,Q99380,pro_with_unknown_function
2460459,2460459,AF-P0C5P6-F1-model_v3.pdb@@AF-Q3E808-F1-model_v3.pdb.txt,0.80373,0.054,P0C5P6,Q3E808,pro_with_unknown_function
1381623,1381623,AF-Q3E778-F1-model_v3.pdb@@AF-Q3E808-F1-model_v3.pdb.txt,0.803255,0.0,Q3E778,Q3E808,pro_with_unknown_function
1131906,1131906,AF-P53912-F1-model_v3.pdb@@AF-P38230-F1-model_v3.pdb.txt,0.80152,0.224,P53912,P38230,pro_with_unknown_function
1405805,1405805,AF-Q3E767-F1-model_v3.pdb@@AF-P40975-F1-model_v3.pdb.txt,0.8014950000000001,0.0,Q3E767,P40975,pro_with_unknown_function
2519218,2519218,AF-Q12251-F1-model_v3.pdb@@AF-P18238-F1-model_v3.pdb.txt,0.80035,0.297,Q12251,P18238,pro_with_unknown_function
3774606,3774606,AF-P54007-F1-model_v3.pdb@@AF-P38230-F1-model_v3.pdb.txt,0.79835,0.227,P54007,P38230,pro_with_unknown_function
1420793,1420793,AF-P0CI67-F1-model_v3.pdb@@AF-Q6B2U8-F1-model_v3.pdb.txt,0.79737,0.848,P0CI67,Q6B2U8,pro_with_unknown_function
2563197,2563197,AF-P0C5R4-F1-model_v3.pdb@@AF-Q2V2P1-F1-model_v3.pdb.txt,0.797255,0.065,P0C5R4,Q2V2P1,pro_with_unknown_function
1970240,1970240,AF-P43617-F1-model_v3.pdb@@AF-P32332-F1-model_v3.pdb.txt,0.79701,0.216,P43617,P32332,pro_with_unknown_function
1496899,1496899,AF-Q3E767-F1-model_v3.pdb@@AF-P39103-F1-model_v3.pdb.txt,0.796995,0.109,Q3E767,P39103,pro_with_unknown_function
3024728,3024728,AF-Q3E787-F1-model_v3.pdb@@AF-P00856-F1-model_v3.pdb.txt,0.796925,0.149,Q3E787,P00856,pro_with_unknown_function
3461584,3461584,AF-P43617-F1-model_v3.pdb@@AF-P38152-F1-model_v3.pdb.txt,0.796625,0.322,P43617,P38152,pro_with_unknown_function
3243007,3243007,AF-Q3E778-F1-model_v3.pdb@@AF-P32903-F1-model_v3.pdb.txt,0.796385,0.176,Q3E778,P32903,pro_with_unknown_function
3020132,3020132,AF-P43617-F1-model_v3.pdb@@AF-Q07534-F1-model_v3.pdb.txt,0.7962100000000001,0.195,P43617,Q07534,pro_with_unknown_function
1229253,1229253,AF-Q3E804-F1-model_v3.pdb@@AF-Q2V2P1-F1-model_v3.pdb.txt,0.7959849999999999,0.055,Q3E804,Q2V2P1,pro_with_unknown_function
2460227,2460227,AF-Q3E809-F1-model_v3.pdb@@AF-P00856-F1-model_v3.pdb.txt,0.795245,0.021,Q3E809,P00856,pro_with_unknown_function
2224381,2224381,AF-P0C5K9-F1-model_v3.pdb@@AF-P0CX87-F1-model_v3.pdb.txt,0.795195,0.12,P0C5K9,P0CX87,pro_with_unknown_function
383276,383276,AF-Q12251-F1-model_v3.pdb@@AF-P38152-F1-model_v3.pdb.txt,0.795185,0.251,Q12251,P38152,pro_with_unknown_function
1374029,1374029,AF-P0C5R4-F1-model_v3.pdb@@AF-P40975-F1-model_v3.pdb.txt,0.79497,0.1,P0C5R4,P40975,pro_with_unknown_function
1742341,1742341,AF-P0C5K9-F1-model_v3.pdb@@AF-P0CX86-F1-model_v3.pdb.txt,0.794935,0.12,P0C5K9,P0CX86,pro_with_unknown_function
1593507,1593507,AF-Q12251-F1-model_v3.pdb@@AF-Q99297-F1-model_v3.pdb.txt,0.79371,0.241,Q12251,Q99297,pro_with_unknown_function
1164793,1164793,AF-Q12177-F1-model_v3.pdb@@AF-P53199-F1-model_v3.pdb.txt,0.79333,0.186,Q12177,P53199,pro_with_unknown_function
2252781,2252781,AF-P40579-F1-model_v3.pdb@@AF-Q05016-F1-model_v3.pdb.txt,0.79323,0.231,P40579,Q05016,pro_with_unknown_function
962677,962677,AF-P40445-F1-model_v3.pdb@@AF-P53322-F1-model_v3.pdb.txt,0.792525,0.195,P40445,P53322,pro_with_unknown_function
2657260,2657260,AF-Q12251-F1-model_v3.pdb@@AF-P40464-F1-model_v3.pdb.txt,0.790505,0.258,Q12251,P40464,pro_with_unknown_function
3355376,3355376,AF-P0C5N1-F1-model_v3.pdb@@AF-P39103-F1-model_v3.pdb.txt,0.78955,0.113,P0C5N1,P39103,pro_with_unknown_function
226137,226137,AF-P0C5S1-F1-model_v3.pdb@@AF-Q99380-F1-model_v3.pdb.txt,0.7889200000000001,0.115,P0C5S1,Q99380,pro_with_unknown_function
1198982,1198982,AF-Q12253-F1-model_v3.pdb@@AF-P53047-F1-model_v3.pdb.txt,0.788775,0.305,Q12253,P53047,pro_with_unknown_function
999326,999326,AF-P53929-F1-model_v3.pdb@@AF-Q12415-F1-model_v3.pdb.txt,0.788335,0.569,P53929,Q12415,pro_with_unknown_function
2376062,2376062,AF-Q3E7Z9-F1-model_v3.pdb@@AF-Q99380-F1-model_v3.pdb.txt,0.787895,0.129,Q3E7Z9,Q99380,pro_with_unknown_function
1598790,1598790,AF-Q3E765-F1-model_v3.pdb@@AF-P39103-F1-model_v3.pdb.txt,0.78772,0.078,Q3E765,P39103,pro_with_unknown_function
1588628,1588628,AF-Q8TGU8-F1-model_v3.pdb@@AF-P40975-F1-model_v3.pdb.txt,0.78755,0.125,Q8TGU8,P40975,pro_with_unknown_function
2476184,2476184,AF-P0C5R4-F1-model_v3.pdb@@AF-P32903-F1-model_v3.pdb.txt,0.7875449999999999,0.1,P0C5R4,P32903,pro_with_unknown_function
1764846,1764846,AF-Q3E762-F1-model_v3.pdb@@AF-P39103-F1-model_v3.pdb.txt,0.787535,0.111,Q3E762,P39103,pro_with_unknown_function
855858,855858,AF-Q3E765-F1-model_v3.pdb@@AF-Q2V2P1-F1-model_v3.pdb.txt,0.786915,0.017,Q3E765,Q2V2P1,pro_with_unknown_function
2643717,2643717,AF-Q3E7Z3-F1-model_v3.pdb@@AF-P32903-F1-model_v3.pdb.txt,0.7868900000000001,0.026,Q3E7Z3,P32903,pro_with_unknown_function
2866943,2866943,AF-Q12251-F1-model_v3.pdb@@AF-P32332-F1-model_v3.pdb.txt,0.786775,0.264,Q12251,P32332,pro_with_unknown_function
676533,676533,AF-Q12251-F1-model_v3.pdb@@AF-Q12375-F1-model_v3.pdb.txt,0.78668,0.245,Q12251,Q12375,pro_with_unknown_function
2901517,2901517,AF-Q12251-F1-model_v3.pdb@@AF-P04710-F1-model_v3.pdb.txt,0.785865,0.288,Q12251,P04710,pro_with_unknown_function
646816,646816,AF-Q3E767-F1-model_v3.pdb@@AF-Q99380-F1-model_v3.pdb.txt,0.78584,0.056,Q3E767,Q99380,pro_with_unknown_function
2172966,2172966,AF-P47137-F1-model_v3.pdb@@AF-Q02895-F1-model_v3.pdb.txt,0.78575,0.233,P47137,Q02895,pro_with_unknown_function
269149,269149,AF-Q12251-F1-model_v3.pdb@@AF-P23500-F1-model_v3.pdb.txt,0.785265,0.237,Q12251,P23500,pro_with_unknown_function
3684176,3684176,AF-Q35811-F1-model_v3.pdb@@AF-P40975-F1-model_v3.pdb.txt,0.785245,0.098,Q35811,P40975,pro_with_unknown_function
1187037,1187037,AF-Q3E767-F1-model_v3.pdb@@AF-Q2V2P1-F1-model_v3.pdb.txt,0.784705,0.065,Q3E767,Q2V2P1,pro_with_unknown_function
1766048,1766048,AF-Q45U18-F1-model_v3.pdb@@AF-Q2V2P1-F1-model_v3.pdb.txt,0.784015,0.033,Q45U18,Q2V2P1,pro_with_unknown_function
3406863,3406863,AF-Q12253-F1-model_v3.pdb@@AF-P40100-F1-model_v3.pdb.txt,0.782865,0.257,Q12253,P40100,pro_with_unknown_function
2644818,2644818,AF-P0C5M8-F1-model_v3.pdb@@AF-P32903-F1-model_v3.pdb.txt,0.7814099999999999,0.103,P0C5M8,P32903,pro_with_unknown_function
3533872,3533872,AF-P0C5Q3-F1-model_v3.pdb@@AF-P69852-F1-model_v3.pdb.txt,0.7812,0.122,P0C5Q3,P69852,pro_with_unknown_function
19326,19326,AF-P0C5M8-F1-model_v3.pdb@@AF-Q99380-F1-model_v3.pdb.txt,0.7812,0.034,P0C5M8,Q99380,pro_with_unknown_function
3132930,3132930,AF-Q12251-F1-model_v3.pdb@@AF-P10566-F1-model_v3.pdb.txt,0.7809299999999999,0.261,Q12251,P10566,pro_with_unknown_function
319973,319973,AF-P43617-F1-model_v3.pdb@@AF-P18238-F1-model_v3.pdb.txt,0.7806,0.195,P43617,P18238,pro_with_unknown_function
1001163,1001163,AF-P0C5R4-F1-model_v3.pdb@@AF-P39103-F1-model_v3.pdb.txt,0.7802800000000001,0.022,P0C5R4,P39103,pro_with_unknown_function
2052631,2052631,AF-P25608-F1-model_v3.pdb@@AF-P38230-F1-model_v3.pdb.txt,0.779535,0.214,P25608,P38230,pro_with_unknown_function
289473,289473,AF-Q8TGS5-F1-model_v3.pdb@@AF-P32903-F1-model_v3.pdb.txt,0.7792600000000001,0.086,Q8TGS5,P32903,pro_with_unknown_function
874232,874232,AF-P0C5R4-F1-model_v3.pdb@@AF-Q3E808-F1-model_v3.pdb.txt,0.77905,0.071,P0C5R4,Q3E808,pro_with_unknown_function
156807,156807,AF-Q12251-F1-model_v3.pdb@@AF-Q03028-F1-model_v3.pdb.txt,0.77825,0.233,Q12251,Q03028,pro_with_unknown_function
2556910,2556910,AF-Q04869-F1-model_v3.pdb@@AF-P04387-F1-model_v3.pdb.txt,0.7779,0.143,Q04869,P04387,pro_with_unknown_function
3026196,3026196,AF-Q03102-F1-model_v3.pdb@@AF-P38230-F1-model_v3.pdb.txt,0.7777799999999999,0.174,Q03102,P38230,pro_with_unknown_function
3131011,3131011,AF-P0C5M8-F1-model_v3.pdb@@AF-P0CX87-F1-model_v3.pdb.txt,0.77772,0.042,P0C5M8,P0CX87,pro_with_unknown_function
3318142,3318142,AF-P0C5M8-F1-model_v3.pdb@@AF-P0CX86-F1-model_v3.pdb.txt,0.7775449999999999,0.042,P0C5M8,P0CX86,pro_with_unknown_function
383323,383323,AF-P43617-F1-model_v3.pdb@@AF-Q04013-F1-model_v3.pdb.txt,0.776675,0.143,P43617,Q04013,pro_with_unknown_function
2875130,2875130,AF-P40445-F1-model_v3.pdb@@AF-Q07904-F1-model_v3.pdb.txt,0.77662,0.165,P40445,Q07904,pro_with_unknown_function
3171117,3171117,AF-Q06107-F1-model_v3.pdb@@AF-P47153-F1-model_v3.pdb.txt,0.776395,0.267,Q06107,P47153,pro_with_unknown_function
2391937,2391937,AF-Q3E767-F1-model_v3.pdb@@AF-P00856-F1-model_v3.pdb.txt,0.776295,0.109,Q3E767,P00856,pro_with_unknown_function
3292597,3292597,AF-Q35811-F1-model_v3.pdb@@AF-P32903-F1-model_v3.pdb.txt,0.7759100000000001,0.025,Q35811,P32903,pro_with_unknown_function
2076690,2076690,AF-Q03516-F1-model_v3.pdb@@AF-Q12252-F1-model_v3.pdb.txt,0.77525,0.367,Q03516,Q12252,pro_with_unknown_function
2689002,2689002,AF-Q08844-F1-model_v3.pdb@@AF-Q08967-F1-model_v3.pdb.txt,0.775235,0.34,Q08844,Q08967,pro_with_unknown_function
434720,434720,AF-P0C5P3-F1-model_v3.pdb@@AF-P0CX86-F1-model_v3.pdb.txt,0.775195,0.04,P0C5P3,P0CX86,pro_with_unknown_function
2223513,2223513,AF-Q3E843-F1-model_v3.pdb@@AF-Q99380-F1-model_v3.pdb.txt,0.7749,0.114,Q3E843,Q99380,pro_with_unknown_function
1404694,1404694,AF-P36086-F1-model_v3.pdb@@AF-Q05016-F1-model_v3.pdb.txt,0.77409,0.203,P36086,Q05016,pro_with_unknown_function
1519505,1519505,AF-Q3E7A0-F1-model_v3.pdb@@AF-Q99380-F1-model_v3.pdb.txt,0.773875,0.057,Q3E7A0,Q99380,pro_with_unknown_function
1651999,1651999,AF-Q3E7A6-F1-model_v3.pdb@@AF-Q99380-F1-model_v3.pdb.txt,0.77359,0.029,Q3E7A6,Q99380,pro_with_unknown_function
3165976,3165976,AF-P40579-F1-model_v3.pdb@@AF-P32573-F1-model_v3.pdb.txt,0.77272,0.233,P40579,P32573,pro_with_unknown_function
2409161,2409161,AF-P0C5P3-F1-model_v3.pdb@@AF-P0CX87-F1-model_v3.pdb.txt,0.7725500000000001,0.04,P0C5P3,P0CX87,pro_with_unknown_function
1832575,1832575,AF-Q35811-F1-model_v3.pdb@@AF-Q3E808-F1-model_v3.pdb.txt,0.772375,0.119,Q35811,Q3E808,pro_with_unknown_function
1175601,1175601,AF-P54007-F1-model_v3.pdb@@AF-P38113-F1-model_v3.pdb.txt,0.7717750000000001,0.194,P54007,P38113,pro_with_unknown_function
2468273,2468273,AF-P43617-F1-model_v3.pdb@@AF-P38921-F1-model_v3.pdb.txt,0.77144,0.226,P43617,P38921,pro_with_unknown_function
2895516,2895516,AF-P0CF18-F1-model_v3.pdb@@AF-P14742-F1-model_v3.pdb.txt,0.771355,0.614,P0CF18,P14742,pro_with_unknown_function
1359885,1359885,AF-Q35811-F1-model_v3.pdb@@AF-Q99380-F1-model_v3.pdb.txt,0.7712300000000001,0.0,Q35811,Q99380,pro_with_unknown_function
70443,70443,AF-Q12251-F1-model_v3.pdb@@AF-P39953-F1-model_v3.pdb.txt,0.771065,0.276,Q12251,P39953,pro_with_unknown_function
2934442,2934442,AF-Q12251-F1-model_v3.pdb@@AF-P18239-F1-model_v3.pdb.txt,0.77078,0.304,Q12251,P18239,pro_with_unknown_function
389487,389487,AF-P43617-F1-model_v3.pdb@@AF-P40464-F1-model_v3.pdb.txt,0.770685,0.175,P43617,P40464,pro_with_unknown_function
1415871,1415871,AF-Q3E821-F1-model_v3.pdb@@AF-P69851-F1-model_v3.pdb.txt,0.77067,0.075,Q3E821,P69851,pro_with_unknown_function
3641372,3641372,AF-Q3E7Z9-F1-model_v3.pdb@@AF-P40975-F1-model_v3.pdb.txt,0.76733,0.226,Q3E7Z9,P40975,pro_with_unknown_function
2849575,2849575,AF-P43617-F1-model_v3.pdb@@AF-P04710-F1-model_v3.pdb.txt,0.76695,0.215,P43617,P04710,pro_with_unknown_function
2552331,2552331,AF-Q12251-F1-model_v3.pdb@@AF-P32331-F1-model_v3.pdb.txt,0.766445,0.211,Q12251,P32331,pro_with_unknown_function
2591811,2591811,AF-Q12251-F1-model_v3.pdb@@AF-Q07534-F1-model_v3.pdb.txt,0.765815,0.222,Q12251,Q07534,pro_with_unknown_function
3569015,3569015,AF-Q9ZZX7-F1-model_v3.pdb@@AF-P38192-F1-model_v3.pdb.txt,0.765745,0.075,Q9ZZX7,P38192,pro_with_unknown_function
2703604,2703604,AF-P0C5R4-F1-model_v3.pdb@@AF-Q99380-F1-model_v3.pdb.txt,0.7655799999999999,0.111,P0C5R4,Q99380,pro_with_unknown_function
1686009,1686009,AF-P54007-F1-model_v3.pdb@@AF-P00330-F1-model_v3.pdb.txt,0.76498,0.153,P54007,P00330,pro_with_unknown_function
2265757,2265757,AF-P36086-F1-model_v3.pdb@@AF-P40471-F1-model_v3.pdb.txt,0.764915,0.2,P36086,P40471,pro_with_unknown_function
735387,735387,AF-P36086-F1-model_v3.pdb@@AF-P32573-F1-model_v3.pdb.txt,0.7648550000000001,0.16,P36086,P32573,pro_with_unknown_function
900554,900554,AF-P53912-F1-model_v3.pdb@@AF-P28625-F1-model_v3.pdb.txt,0.764845,0.196,P53912,P28625,pro_with_unknown_function
53614,53614,AF-P54007-F1-model_v3.pdb@@AF-P28625-F1-model_v3.pdb.txt,0.7646999999999999,0.172,P54007,P28625,pro_with_unknown_function
