,molecular_weight,chemostat_0.5_mean,chemostat_0.35_mean,chemostat_0.2_mean,chemostat_0.12_mean,chemostat_0.5_uncertainty,chemostat_0.35_uncertainty,chemostat_0.2_uncertainty,chemostat_0.12_uncertainty
P0AC33,60242.56175,4712,3725,2337,1543,5.4,1.54,4.62,3.98
P0A6P1,30385.76806,10783,7679,6264,5277,4.3,3.8,1.9,2.96
P08839,63503.89517,6956,5090,4040,3375,2.57,2.76,2.96,4.77
P0A6Z3,71360.33894,1942,1679,1341,1130,0.27,2.53,6.13,4.25
P0A6E4,49848.81733,4294,2491,2377,2240,1.97,2.37,3.07,1.97
P21179,84092.42396,1603,2315,2779,3141,18.8,5.37,4.76,3.22
P0A6F3,56177.25025,849,1140,1081,1018,2.35,1.37,6.27,1.93
P0A850,48144.85133,14812,12471,9580,7344,5.48,5.36,6.68,7.94
P0A6T1,61472.99513,3773,3049,2677,2443,2.12,6.08,5.36,2.36
P05055,77034.97797,4772,4076,3482,3169,5.41,5.04,9.55,6.46
P0A9M8,77105.88254,1519,1488,1389,1405,8.09,3.35,11.44,3.2
P0A940,90478.46722,1452,1349,1183,956,1.98,1.95,1.1,1.7
P0AC41,64363.08691,6341,5840,5247,4903,4.22,4.48,7.6,1.86
P27550,72030.23532,7312,14562,14431,14683,9.79,1.34,3.78,3.04
P23538,87361.60027,1852,2098,1870,1824,12.73,3.96,1.33,4.03
P04079,58623.86483,2373,1473,1107,808,2.26,0.54,2.84,2.97
P0A9M0,87364.80487,1456,1159,877,743,10.65,6.54,12.86,7.47
P22523,170107.5558,293,268,266,239,9.65,4.26,6.56,2.27
P0A799,41074.62371,30930,26962,21336,21372,4.02,7.29,3.89,9.18
P23843,60842.91364,6618,6163,5482,4274,1.75,1.85,2.12,2.96
P0A825,45269.96251,13257,9219,6871,5125,2.38,5.95,2.1,4.9
P08997,60217.52759,11474,15539,16882,15952,11.19,2.33,5.05,1.84
P21513,118106.8771,1279,1119,939,864,7.32,2.63,10.09,4.88
P0A9W3,62386.25685,2597,1817,1392,1344,2.91,2.52,3.73,10.93
P0A9A6,40280.55906,3621,2976,2564,2224,3.67,3.26,3.21,3.87
P0AES6,89875.87852,969,755,661,534,15.23,9.83,14.81,3.02
P0A8M3,73948.79422,1368,1128,1032,1071,4.23,2.48,7.12,2.81
P00370,48532.35541,8053,5862,4032,2559,7.73,4.96,11.7,2.4
P33602,100217.9683,1510,1505,1275,1226,2.14,1.27,5.35,6.98
P0A9B2,35492.2309,33992,21446,15357,13174,8.12,7.92,3.73,0.31
P15639,57274.98651,2258,1276,1010,832,5.78,4.4,4.15,2.4
P25516,97597.74141,980,1298,1452,1343,11.64,4.14,2.1,7.15
P00582,103035.5166,460,398,360,340,6.98,8.06,7.23,5.72
P0A853,52721.57894,2164,3073,3055,3743,5.29,5.06,7.07,3.07
P33599,68174.53178,1743,1579,1501,1264,5.11,0.64,2.47,1.19
P17846,63939.93503,1971,1408,1055,980,6.18,8.43,8.2,10.81
P0ABH7,47965.89357,31664,26675,26529,25070,12.48,5.7,3.96,5.23
P0A9C5,51852.71686,11472,7979,6991,6998,7.84,4.42,8.88,3.15
P37685,56252.47906,1404,3113,4715,7135,4.01,5.98,7.31,2.53
P09151,57244.09138,3700,3827,3791,5032,9.67,2.63,3.3,4.42
P37330,80419.85713,835,1555,1741,1365,12.76,4.78,1.82,7.31
P06149,64553.60212,660,624,521,591,9.25,3.35,16.89,3.15
P0A910,37159.64679,123520,101824,82588,72016,3.22,3.26,2.12,1.58
P0ABB0,55169.73662,16490,13452,10761,8336,2.91,1.18,5.05,3.67
P60422,29824.00117,17428,11427,8608,8213,8.62,4.94,10.58,3.46
P16659,63634.68294,3782,2779,2164,1944,6.72,6.24,3.65,2.39
P17169,66834.61906,2963,2134,1611,1396,5.2,0.97,2.77,2.77
P0A6B7,45042.91969,12450,8341,6609,4353,9.51,0.98,4.25,1.5
P27298,77100.625,947,811,788,601,9.91,5.07,6.64,2.57
P00452,82789.58209,1020,864,798,543,16.15,1.82,10.34,5.42
P35340,56124.08085,2033,1795,1394,1098,6.02,7.09,0.74,5.14
P13035,56697.06997,104,100,99,82,5.75,6.18,17.2,6.02
P0ADG7,51972.01166,7003,4021,2795,2499,6.73,2.61,2.19,1.03
P0AG30,46956.59013,2789,2213,1849,1837,6.04,7.43,6.21,4.34
P0AAI3,70645.4092,2340,1867,1578,1492,3.8,4.06,3.57,1.37
P0A817,41907.1862,7688,5236,4316,3654,5.23,3.71,3.15,3.68
P38038,66210.86614,2005,1314,907,755,4.81,1.78,1.81,3.08
P61889,32299.20422,71459,60446,49038,42300,3.71,2.13,4.77,1.8
P0AD96,39033.9819,29684,34765,30450,23241,6.66,1.41,2.62,2.38
P00350,51431.30094,8213,5205,3915,2953,3.25,1.3,0.95,0.85
P0A7Z4,36471.13747,16138,14085,10694,9661,3.78,3.94,3.47,3.84
P0AFF6,54819.06259,3690,3117,2480,2232,4.13,0.86,2.51,2.23
Q59385,87799.79865,2884,3126,2413,2376,6.01,11.9,8.25,6.89
P0AEE5,35672.35627,20750,29600,23881,19758,7.33,5.74,4.64,2.62
P0A8N3,57549.12811,2393,1796,1425,1234,5.4,4.12,6.8,3.41
P00959,76188.10041,1506,1186,974,840,10.41,5.89,6.93,1.91
P13009,135893.6125,346,255,219,188,6.65,4.42,9.91,8.48
P0ABK5,34450.28634,55342,43392,32637,29423,6.9,0.9,2.51,0.91
P0AB71,39104.59675,13616,9381,8289,7067,3.98,2.61,2.73,2.7
P77804,54636.91746,1339,1231,1117,1117,4.87,6.5,6.53,5.31
P32132,67295.47014,1372,883,775,649,5.16,6.82,6.97,3.13
P06971,82113.29387,1131,719,528,462,17.51,1.62,7.1,3.15
P0ADY1,68089.75025,1187,1222,968,1051,11.75,11.19,18.45,16.79
P30850,72427.22502,904,598,454,369,6.79,3.71,8.42,3.74
P00962,63419.78257,814,617,520,462,1.44,4.78,1.17,9.62
P0A9P0,50638.58341,13633,10919,8931,7422,5.74,1.87,4.01,2.7
P0A870,35179.30906,9969,6952,4879,3774,5.26,0.7,2.25,1.21
P00934,47066.2141,8769,5094,3423,2992,13.32,7.66,3.63,4.44
P0ACY3,74415.57277,889,933,1253,1431,13.93,2.04,6.55,3.31
P36938,58306.46912,1523,1564,1368,1408,4.62,7.35,5.17,8.48
P68767,54826.96661,1653,1469,1329,1239,6.15,3.73,12.14,1.41
P21177,79525.42988,863,1689,2181,2000,16.43,9.38,8.71,5.29
P23865,76597.69941,422,349,290,269,4.46,2.99,3.73,6.96
P23845,52508.01953,1534,935,576,378,11,3.26,14.15,2.83
P0A786,34387.75071,20205,12109,7452,7206,5.08,4.77,4.93,4.16
P75691,37935.87879,1746,2579,3012,3426,20.57,13.14,6.01,7.23
P0A8M0,52519.41644,4366,3555,3046,2671,9.66,2.15,4.63,2.57
P0A8L1,48365.52218,2053,1696,1333,1221,4.41,5.59,1.11,1.35
P0AEX9,43342.36867,13536,18169,14817,9208,9.74,1.49,5.42,4.03
P05791,65471.83229,841,510,383,277,6.26,7.12,3.89,5.37
P0ABZ6,47236.24996,1029,983,880,811,4.93,3.2,2.86,3.06
P21499,92033.50406,497,351,325,326,6.32,8.49,19,9.33
P77748,113157.9224,274,298,260,254,4.78,2.12,6.09,1.02
P0A7V0,26708.79452,20848,13735,10701,8874,2.05,0.46,1.11,3.18
P17315,73832.34947,367,252,117,112,11.03,2.97,19.83,11.78
P00509,43527.99762,7922,6683,4338,3113,3.45,1.14,2.71,2.74
P0AGE9,29740.52945,15469,13091,10352,8930,3.49,1.56,3.45,1.46
P0A836,41348.64135,15489,12857,10426,9453,6.16,7.14,6.04,2.42
P05020,38784.58103,3403,2288,1451,1152,1.11,7.17,6.71,3.53
P69786,50625.74752,9402,6753,3919,2381,6.67,5.94,9.16,6.84
P04805,53763.78958,1616,1258,1016,815,3.76,7.54,6.11,2.04
P0C0V0,49305.44896,1306,1190,1244,1091,4.07,3.24,3.3,2.74
P11447,50268.64352,1523,944,803,738,7.45,7.77,8.32,10.93
P31554,89597.20601,374,361,339,308,0.6,3.11,3.75,3.26
P0C8J6,30774.55511,22426,23039,16483,19399,17.84,3.11,5.89,1.57
P06612,97270.30707,406,395,372,392,6.55,1.6,3.49,2.7
P22106,62601.08381,1044,973,784,593,13.73,7.33,8.53,8.49
P11875,64623.81965,549,462,345,331,6.89,12.69,4.93,1.34
P0ABH9,84136.91889,622,463,423,356,5.86,4.13,5.93,2.24
P33363,83389.45193,113,100,79,56,10.44,6.95,9.94,8.57
P0A953,42568.05338,12734,11361,10026,9499,1.21,4.17,4.02,3.84
P0A7D4,47297.28625,8400,6694,4795,4565,4.04,1.17,8.07,1.06
P08312,36790.65689,3916,3415,3326,2978,5.9,4.01,0.72,1.69
P0A6H1,46309.17173,2326,1701,1316,1038,2.82,4.78,8.02,4.61
P37689,56140.28406,1709,799,665,556,8.98,6.18,4.84,13.47
P0A6H5,49544.84377,1286,1040,810,715,2.49,1.99,4.53,0.33
P24182,49271.30273,1275,1090,867,769,4.68,4.13,3.43,2.99
Q47146,89149.78105,416,529,444,347,12.36,5.23,11.51,5.5
P0A7E5,60318.05938,707,451,350,265,3.77,1.25,3.42,5.28
P07014,26734.23452,3939,4218,3573,3502,5.92,1.03,4.21,1.44
P00895,57440.09143,1558,1091,878,790,13.14,7.64,9.88,4.79
P0C8J8,47060.76941,3805,4062,2647,2527,5.07,11.9,4.61,2.95
P26616,63139.24904,534,369,290,239,3.01,5.57,7.19,6.96
P30958,129883.2773,103,94,62,72,6.31,13.94,18.06,9.38
P08142,60383.77314,2063,1617,1203,1098,13.91,4.5,9.4,1.72
P09832,51964.01557,1428,1286,1241,949,17.88,7.31,8.19,2.17
P0AEM9,29003.20238,8873,6956,5875,5140,6.64,1.33,1.45,1.54
P23721,39739.97191,7670,6022,4739,3261,2.94,3.48,7.06,0.98
P02930,53690.18447,3279,2881,2593,2501,2.84,2.6,1.82,7.44
P0AFG6,43965.9951,6097,5079,4078,3836,5.01,4.41,2.12,2.9
P62399,20270.69129,20923,13137,10395,8098,11.39,3.54,8.3,4.25
P0A867,35618.46965,966,1063,1516,1879,24.37,2.21,3.96,3.61
P22259,59587.99575,5553,7880,6325,5504,9.45,4.6,7.94,6.39
P0AC53,55651.32689,997,816,864,920,3.44,2.04,3.5,6.05
P0ABD5,35201.29042,2809,2315,1950,1902,7.89,7.22,5.8,1.33
P08660,48483.43931,1577,876,591,447,6.96,4.19,9.79,7.91
P0ABC7,45499.07951,1321,1167,1066,910,4.89,1.21,7.91,6.09
P05459,41323.77299,575,472,388,354,3.04,0.5,4.62,2.16
P0A7A7,91305.48655,264,239,258,284,6.84,10.51,10.98,8.86
P38054,114616.0284,337,307,209,159,25.29,0.73,8.85,3.37
P00944,49692.50395,212,181,167,167,6.99,6.53,11.84,3.39
P07023,41997.8894,1043,507,383,318,16.69,5.31,3.18,2.79
P0A6P9,45608.41069,23999,15737,14110,14591,6.12,4.47,4.3,2.72
P09169,35522.27435,10293,8302,7206,5433,1.64,3.89,4.46,3.29
P09551,27956.24088,12148,22782,23995,24775,13.53,2.67,4.49,5.82
P05825,82038.47549,129,104,101,72,3.27,7.43,14.69,9.55
P75780,81891.90875,110,70,49,38,4.97,5.55,13.76,11.55
P18843,30599.77658,2610,2016,2006,1752,3.39,2.25,4.97,1.01
P27302,72147.91979,3388,2823,1961,1508,1.45,2.37,5.57,3.86
P37095,46133.26021,3874,2996,2681,2703,10.41,0.92,8.82,2.46
P0ABP8,25915.01852,3044,2693,2523,2161,8.24,4.76,4.08,5.4
Q46856,42052.78947,670,357,352,323,24.81,5.84,5.64,5.32
P0ADE8,36053.36943,1599,1361,1202,1070,2.76,1.89,2.17,8.76
P24171,77448.95692,485,425,398,341,5.35,3.59,11.78,2.53
P0AFK0,48321.3938,783,713,555,540,7.12,8.74,3.05,3.72
P27306,51509.77384,2048,1554,1236,1161,7.04,4.16,6.58,2.92
P0A698,103784.5415,142,135,142,173,5.65,1.96,8.25,5.2
P31660,43057.02009,249,985,1092,795,2.82,15.58,3.18,8.48
P02931,39291.06024,44750,45283,33812,25177,3.31,4.69,1.28,5.17
P0A7L0,24696.286,17008,12046,8260,7745,5.37,2.59,2.05,4.96
P02925,30913.36533,15985,20165,20926,20437,5.17,1.6,7.67,5.94
P37902,33381.16628,4916,4862,4788,4218,1.81,2.38,5.86,5.48
P00550,67910.6114,1660,1777,2260,2309,8.24,2.63,11.85,5.28
P67910,34853.12923,2018,1608,1545,1460,4.14,3.82,5.9,1.77
P0A9X4,36911.03451,3402,2557,2161,2055,9.61,1.2,5.85,3.47
P0AE06,42153.07723,1680,1501,1325,1250,2.33,2.73,1.79,3.63
P0AEK4,27828.04478,3836,3063,2532,2436,2.89,2.65,4.36,4.43
P18335,43721.10429,2760,2304,2646,2661,5.36,3.68,3.48,2.73
P0A879,42937.58854,3154,2759,2237,1658,6.77,8.82,6.38,8.97
P0A903,36801.60236,1000,886,746,643,1.01,2.71,3.69,0.88
P06715,48723.63153,944,854,775,674,5.42,3.08,4.16,11.51
P0AB89,51492.59536,1829,1092,827,670,12.27,5.27,10.4,6.1
P60906,46982.01028,1174,957,824,721,11.28,5.4,2.15,3.79
P0A796,34801.68622,1407,956,892,821,6.62,1.02,8.05,2.61
P33195,104291.7423,446,236,229,196,10.33,2.02,8.71,4.78
P00490,90447.61358,564,447,339,221,3.28,4.5,4.62,1.18
P02943,49862.58108,2979,5791,3176,2392,21.76,20.92,26.48,3.1
P11454,141883.5654,35,27,30,15,13.61,27.11,21.55,30.55
P0A6A6,49832.04222,2186,3098,3090,3612,11.08,3.25,1.45,5.68
P00562,88814.63109,326,171,180,162,7.2,11.03,4.42,8.43
P31979,49242.93959,942,931,991,845,3.07,3.96,7.87,5.78
P06996,40325.36434,13185,13997,18369,23418,14.1,0.35,5.43,2.78
P76116,38571.4174,2163,1503,938,637,1.9,2.21,5.38,4.72
P0A858,26936.80958,9314,7055,6336,5726,2.6,3.81,2.9,4.82
P0A7V3,25949.15933,20466,13375,10522,8754,8.71,5.52,9.39,7.08
P0AB91,37967.50301,4897,2662,2034,1666,11.32,1.98,8.8,1.8
P0A6K6,44323.944,1327,1410,1431,1432,6.86,0.47,4.53,2.49
P69441,23553.271,3157,3108,2560,2265,10.15,3.18,3.78,5.54
P69797,35007.49034,12029,8451,5642,3095,7.55,3.82,6.82,1.06
P16700,37573.27827,2239,1954,1548,1446,3.33,2.72,1.33,4.66
P21599,51306.66919,1975,1918,1767,1592,3.1,3.49,2.15,1.71
P31120,47495.53374,1443,1253,1194,1132,8.53,1.87,6.57,3.76
P25526,51669.60686,1565,1685,1622,1969,4.6,9.52,13.05,11.88
P00393,47310.63259,654,331,334,359,19.88,4.68,12.71,10.81
P0AEZ1,33063.77233,2465,1305,1242,924,3.38,3.25,11.66,7.06
P21170,73833.42148,903,667,665,581,2.14,6.07,6.51,1.67
P60785,66510.34926,898,761,619,612,3.77,5.36,12.4,2.31
P0AGD7,49737.22258,736,523,443,438,5.53,1.56,1.9,3.93
P0AG90,66572.67588,538,467,397,385,5,4.96,5.46,5.52
P45464,72761.97123,397,344,313,265,3.26,4.4,5.66,1.72
P0A8J8,47078.44805,535,447,399,369,11.08,3.94,16.25,5.17
P60240,109682.6916,106,85,76,88,10.6,13.54,11.64,4.01
P46837,85048.93743,209,165,113,92,10.66,7.41,9.42,5.62
P0AB77,43071.72819,103,76,67,64,11.27,5.24,11.04,12.21
P0ABT2,18665.72624,4273,5031,5467,5147,32.22,4.7,2.62,3.67
P02359,19988.68708,33810,24753,17001,14891,7.07,8.12,5.3,3.59
P0A9T0,44130.04277,9689,6093,4135,3349,7.33,2.08,11.81,3.12
P0A9Q9,39974.477,7967,4932,3578,2576,6.72,8.17,3.84,2.93
P0A991,38067.15999,3597,3702,4219,4572,7.39,2.37,1.97,1.67
P52697,36266.85229,3263,3048,3490,3275,16.71,9.75,10.74,8.44
P0A7V8,23436.61845,15691,10430,7910,6843,8.47,5.85,7,5.99
P0AB24,41094.01915,712,476,294,239,4.82,7.56,8.23,5.23
P19926,45635.85628,1232,1588,1871,2131,9.74,1.57,2.25,3.49
P0A715,30794.90121,3324,2661,2047,1670,2.55,11.59,2.33,5.28
P0AEP3,32902.99162,1517,1221,1288,1033,6.3,2.03,2.85,1.19
P0AEZ3,29577.61181,2902,2669,2558,2368,2.38,2.61,5.76,1.33
P08506,43563.33921,1039,1025,1192,1293,4.83,2.21,5.13,2.27
P0ABJ1,34870.5555,3405,2227,1718,1844,12.12,3.36,18.02,6.24
P33221,42389.00585,1416,921,748,537,8.34,10.75,5.65,7.11
P21165,50126.32646,1333,1232,1153,908,4.7,2.5,6.68,4.94
P33136,57858.11706,971,735,676,595,9.27,2.6,3.58,2.52
P07004,44584.18081,931,856,805,757,5.76,1.21,7.29,2.43
P06129,68347.35227,426,334,262,229,3.71,4.34,4.31,1.74
P77735,36379.51751,426,472,523,669,12.81,4.94,5.81,4.28
P22256,45727.49283,1637,1737,1837,1548,6.8,2.66,4.18,5.7
P0A7I4,59518.30682,431,288,238,221,4.58,5.31,9.06,2.08
P23830,52750.76196,583,645,558,671,4.44,9.09,12.78,9.74
P0AE78,33259.53085,415,364,310,227,2.75,3.95,7.96,8.2
P0A7B5,39014.45918,627,565,467,414,8.46,1.34,11.39,4.48
P76578,181455.4179,66,67,65,78,5.78,1.63,12.65,5.86
P18956,61711.22895,207,209,185,157,8.63,4.33,11.62,4.87
P77243,53899.46277,91,1893,2188,1528,8.66,2.36,10.51,6.24
P0A8F0,22500.97299,16252,9966,7016,5856,2.54,5,0.49,3.96
P60438,22211.83448,12167,8673,7189,5615,3.29,4.73,7.01,4.03
P0A717,34178.69451,6874,4850,3549,3160,0.64,10.31,4.8,4.5
P09372,21766.1539,4972,3835,3380,2730,1.42,3.52,8.1,3.86
P0AEU0,28447.63566,7385,7457,6222,5668,4.98,2.78,7.43,3.85
P15288,52864.14219,2703,2433,2052,1647,4.76,0.6,3.15,5.45
P0A9D8,29855.42579,5803,4362,3663,2585,1.72,4.51,3.83,4.84
P0A6A3,43245.07012,2006,2019,2028,1992,4.47,3.33,10.11,7.14
P12758,27123.83212,3980,4686,5490,6198,10.4,6.22,5.26,2.23
P0ABD3,18465.32013,5056,7681,9245,12499,21.75,9.72,6.66,3.53
P23908,42302.47015,1307,775,850,958,4.6,6.72,3.12,6.16
P23836,25501.27781,2704,2799,2430,1880,7.07,3.46,5.7,10.44
P0AC38,52304.53112,819,809,591,602,11.19,1.65,7.06,1.21
P0ABA6,31539.27915,2450,1823,1413,1075,7.4,2.83,6.62,2.24
P76177,33864.45084,2174,2031,1802,1382,6.56,6.15,9.51,2.46
P60757,33327.35988,1974,1649,1511,1092,16.45,10.09,1.84,5.04
P00893,62925.97681,452,413,359,284,5.46,6.29,16.6,5.47
P0ACC7,49141.57527,502,335,282,209,13.32,5.95,6.4,3.68
P15034,49766.1139,813,741,712,599,3.53,4.86,11.93,3.67
P05042,50438.71,1358,1649,1693,2220,3.69,4.67,5.4,1.75
P77239,44259.17524,1313,1124,758,646,20.68,6.93,2.92,3.75
P07650,47159.0389,104,116,118,135,14.51,7.45,6.49,5.62
Q46829,55306.84905,275,229,214,182,7.29,6.6,12.05,5.83
P62620,40640.36094,328,300,260,225,2.76,6.85,10.15,10.54
P18133,45850.34614,480,370,306,260,7.39,3.75,7.34,10.16
P32176,112549,14,15,11,11,10.01,10.5,10.12,1.31
P28635,29395.54573,17035,15841,13967,14390,4.12,7.61,9.02,6.03
P45578,19385.61224,5066,4092,3895,3080,5.57,2.94,2.74,3.53
P02358,15675.59882,13163,8789,7068,5764,4.46,5.09,5.61,2.43
P0A7W1,17574.31673,14055,8955,7238,6497,6.96,3.78,2.64,3.18
P0AEQ3,27155.19991,10760,12194,10291,9544,4.85,7.01,4.99,13.65
P33570,72978.83065,887,935,1177,1474,19.14,1.02,10.8,1.8
P0AAB6,32790.12707,3272,2331,1975,1577,1.38,6.62,2.38,5.85
P04036,28720.56121,1467,1088,977,852,5.5,2.76,5.93,2.23
P09424,41095.47588,765,716,681,880,4.78,6.11,10.77,5.09
P0AB67,48673.51161,3721,2534,2207,1713,12.87,8.43,9.05,3.53
P0AGJ9,47479.05081,1610,1191,1109,914,3.99,3.33,2.76,6.27
P23893,45318.36911,2125,1741,1446,1152,3.34,6.12,1.82,6.16
P07001,54570.52368,2667,1959,1479,1115,11.24,7.61,12.21,5.54
Q46857,31072.23036,467,325,359,412,6.06,7.23,7.62,1.1
P15640,45893.14698,1162,714,526,382,2.82,6.12,5.64,5.6
P0AE18,29293.90197,1106,907,732,630,3.27,3.25,1.29,4.7
P15877,86673.81201,76,63,85,107,13.42,5.97,14.71,6.1
P0A7G6,37931.55831,2329,2157,1779,1516,2.08,3.4,7.62,1.51
P37666,35355.05266,1243,789,636,392,4.37,9.44,9.27,3.79
P0A8W8,19505.45171,1270,990,933,833,4.4,0.92,5.25,3.29
P76658,51000.70717,576,523,470,417,5.65,5.56,6.37,1.16
P0A7E1,36733.3769,970,496,307,236,3.09,7.5,10.73,2.63
P39342,54280.35703,178,189,192,259,5.94,9.62,3.82,3.71
P13482,63578.54018,108,153,196,276,10.69,6.17,5.46,10.22
P04693,43492.11181,1499,1386,1008,613,3.82,8.3,1.3,4.26
P09323,68284.89815,1247,1623,1348,1432,6.89,6.49,11.65,3.41
P0A6W9,58214.2673,324,332,302,254,6.7,8.76,7.2,3.06
P15042,73542.28557,320,256,213,212,1.93,3.21,4.56,3.09
P37759,40515.2662,582,378,269,213,11.05,6.93,6.31,5.87
P0AEI1,53611.11073,487,351,263,249,2.23,7.25,8.57,4.01
P21507,49865.45062,531,475,441,424,4.35,6.16,10.97,2.68
P0A749,44771.46454,524,434,350,311,7.86,15.07,2.43,8.22
P0A887,28037.26502,802,765,620,538,4.26,7.76,9.14,7.41
P77488,67555.79182,327,302,262,256,11.77,5.76,10.4,9.26
P07604,57601.71114,222,164,151,142,13.96,4.56,14.82,6.54
P00963,36609.75524,1051,579,347,186,1.67,7.84,11.51,3.26
P04968,56141.72101,143,98,79,59,8.59,16.1,6.85,5.33
P0AA39,35986.35384,97,76,72,83,2.36,7.25,2.82,6.93
P62707,28520.74385,8972,8719,8277,7994,6.47,4.45,1.13,1.01
P0AF96,16836.60419,16590,15400,14748,10361,3.51,3.22,4.06,3.57
P0A7D7,26959.72675,6902,4804,3610,2828,3.53,1.31,6.38,0.72
P0AE08,20730.40145,52017,51146,46848,36229,1.3,1.21,8.31,3.32
P0A6F1,41387.12046,4855,2682,1858,1499,3.81,1.39,4.24,4.16
P0A6L0,27698.32324,886,799,809,894,1.42,4.98,2.36,5.27
P0ACA3,24271.40368,3402,2675,2417,2149,2.14,1.67,2.2,3.22
P0AE52,17604.6859,4919,3941,3373,2465,4.5,4.51,4.09,4.8
P0A855,45909.17809,1334,1148,918,783,7.12,6.62,4.24,5.14
P0A9P4,34583.36117,2679,1976,1665,1288,5.49,9.36,8.1,3.78
P25524,47543.17582,2811,1638,1098,844,7.29,3.38,11.8,5.06
P04816,39335.87005,2334,2206,1791,1214,7.66,5.85,2.81,2.05
P31224,113482.9154,391,330,304,296,10.71,4.54,10.75,2.14
P0ACJ8,23607.36405,2868,2506,2653,2880,3.98,3.64,4.5,1.8
P0AFG0,20500.46283,2840,2431,2255,1717,5.52,3.21,5.2,6.02
P07012,41207.29926,1368,1123,885,680,5.13,5.4,4.48,6.62
P00579,70201.22445,737,557,494,519,7.82,3.78,5.21,5.52
P0A877,28688.02998,3625,2960,2350,1823,0.94,1.46,4.17,6.48
P0A9C3,38148.75888,1167,1110,1001,837,4.62,2.82,2.58,4.33
P0AEB2,44397.66983,897,635,509,467,10.3,6.71,6.75,7.69
P0A6R0,33475.97062,1454,1377,1244,1097,11.27,6.44,3.74,5.06
P39099,47158.1467,892,951,829,814,7.9,5.65,6.09,0.79
P0ABU2,39624.25951,1753,1258,1065,720,2.74,4.21,6.33,3.76
P29217,24144.21298,788,630,538,447,1.21,6.27,8,16.35
P37329,27329.30548,1330,9101,9212,8075,112.27,5.61,5.38,2.18
P0ABH0,45283.45163,603,518,449,402,3.05,1.61,3.3,8.52
P27248,40103.1916,405,200,170,135,4.17,6.45,7.02,6.02
P0A6Z1,65594.0187,364,256,173,137,0.72,4.75,3.08,4.12
P30871,48340.9311,334,297,254,217,3.72,5.5,8.83,8.42
P04335,46960.55542,170,139,139,115,4.13,9.8,14.26,7.13
