Protein               Total Volume (A3)      Void Volume       VDW Volume  Packing Density  Time Taken (ms)
AF-P35340-F1-model_v2          61447.357        18522.956        42924.402            0.699  292049
AF-P37590-F1-model_v2          10381.886         2858.003         7523.882            0.725  26435
AF-P39830-F1-model_v2          65112.451        19182.567        45929.885            0.705  187708
AF-P52062-F1-model_v2          47454.321        14979.501        32474.820            0.684  111917
AF-P52128-F1-model_v2           9831.416         2250.268         7581.148            0.771  28671
AF-P55140-F1-model_v2          32827.736         8151.422        24676.314            0.752  99878
AF-P63177-F1-model_v2          29025.576         8754.786        20270.790            0.698  73730
AF-P64606-F1-model_v2          30074.886         8531.883        21543.004            0.716  73846
AF-P69853-F1-model_v2          25501.570         7618.477        17883.093            0.701  58272
AF-P75682-F1-model_v2          36526.415        11604.568        24921.848            0.682  83753
AF-P75822-F1-model_v2          59937.495        18755.381        41182.115            0.687  180035
AF-P75884-F1-model_v2          25971.349         7468.845        18502.504            0.712  81104
AF-P76052-F1-model_v2          57749.719        18081.642        39668.077            0.687  211350
AF-P76096-F1-model_v2           5182.395          698.867         4483.529            0.865  21918
AF-P76106-F1-model_v2           7042.215         1862.005         5180.210            0.736  20091
AF-P76318-F1-model_v2          27686.079         8640.295        19045.784            0.688  61591
AF-P76347-F1-model_v2         265205.737        76381.262       188824.475            0.712  792016
AF-P76387-F1-model_v2          84109.955        23339.063        60770.892            0.723  233739
AF-P77188-F1-model_v2          25943.242         7219.041        18724.200            0.722  69772
AF-P77202-F1-model_v2          29066.495         7951.867        21114.628            0.726  67412
AF-P77671-F1-model_v2          56219.148        18456.733        37762.415            0.672  105064
AF-Q46755-F1-model_v2          15250.031         3822.542        11427.489            0.749  37817
AF-Q46906-F1-model_v2          23126.473         7159.365        15967.108            0.690  42830
AF-Q47269-F1-model_v2          17564.425         4244.440        13319.985            0.758  42151
AF-P09996-F1-model_v2          14406.106         3867.006        10539.100            0.732  37932
AF-P0A7I7-F1-model_v2          23591.955         6915.525        16676.430            0.707  52743
AF-P0A8M3-F1-model_v2          81390.052        25023.849        56366.203            0.693  160288
AF-P0A9C3-F1-model_v2          43063.954        14075.641        28988.313            0.673  84078
AF-P0A9M8-F1-model_v2          85405.144        26559.824        58845.320            0.689  614647
AF-P0A742-F1-model_v2          14371.719         2774.289        11597.431            0.807  49861
AF-P0A7T7-F1-model_v2           9124.991         2226.596         6898.395            0.756  28236
AF-P0A9T6-F1-model_v2          13305.924         3215.831        10090.093            0.758  38375
AF-P0A9U8-F1-model_v2          46870.814        14142.688        32728.126            0.698  96808
AF-P0ACE7-F1-model_v2          13939.483         3799.019        10140.464            0.727  34727
AF-P0AD37-F1-model_v2          12588.856         2859.702         9729.154            0.773  38465
AF-P0AD42-F1-model_v2          26677.915         7925.276        18752.639            0.703  80320
AF-P0ADZ7-F1-model_v2          11728.581         2550.048         9178.533            0.783  179621
AF-P0AE08-F1-model_v2          22494.653         6632.182        15862.471            0.705  61797
AF-P0AEJ6-F1-model_v2          55812.010        18225.328        37586.682            0.673  108598
AF-P0AEM9-F1-model_v2          31714.028         9489.219        22224.810            0.701  82923
AF-P0AF61-F1-model_v2          12101.534         3336.350         8765.184            0.724  37820
AF-P0AFG8-F1-model_v2         111943.405        35977.735        75965.669            0.679  296645
AF-P0AFP4-F1-model_v2          31809.602         9335.515        22474.087            0.707  87058
AF-P0DSF8-F1-model_v2           4596.006          708.439         3887.567            0.846  22510
AF-P0DSG4-F1-model_v2           2047.651          323.959         1723.692            0.842  9075
AF-P13001-F1-model_v2          32628.715        10772.378        21856.337            0.670  185937
AF-P15006-F1-model_v2          43896.128        12783.801        31112.327            0.709  153301
AF-P15043-F1-model_v2          75840.285        23682.455        52157.830            0.688  323526
AF-P17115-F1-model_v2          36579.781        10566.583        26013.198            0.711  136388
AF-P23003-F1-model_v2          46550.297        14545.016        32005.280            0.688  128833
AF-P23484-F1-model_v2          19703.738         4782.178        14921.560            0.757  99606
AF-P25536-F1-model_v2          23460.562         7042.794        16417.768            0.700  73962
AF-P27306-F1-model_v2          56496.336        17216.772        39279.564            0.695  231560
AF-P32051-F1-model_v2         152387.969        48858.601       103529.367            0.679  488414
AF-P32171-F1-model_v2          60890.571        19806.022        41084.549            0.675  195458
AF-P0A7B8-F1-model_v2          20893.648         6295.845        14597.803            0.699  46422
AF-P0A8H3-F1-model_v2          28656.926         8178.148        20478.778            0.715  63061
AF-P0A8M6-F1-model_v2          12061.323         2263.901         9797.423            0.812  43332
AF-P0A948-F1-model_v2          23833.225         6515.211        17318.014            0.727  60686
AF-P0A9P0-F1-model_v2          55322.026        16460.877        38861.149            0.702  125654
AF-P0A9R2-F1-model_v2           7285.804         1273.575         6012.228            0.825  323466
AF-P0AAC4-F1-model_v2          27580.046         7541.060        20038.985            0.727  315410
AF-P0ABG4-F1-model_v2          50801.844        15181.328        35620.515            0.701  199736
AF-P0ACC3-F1-model_v2          12512.958         3331.042         9181.916            0.734  52214
AF-P0ACI3-F1-model_v2          49117.365        14810.158        34307.206            0.698  146727
AF-P0ACV4-F1-model_v2          10748.683         1920.672         8828.011            0.821  62181
AF-P0ADE6-F1-model_v2          17274.620         5017.593        12257.026            0.710  56466
AF-P0AE63-F1-model_v2           8964.851         2181.486         6783.365            0.757  29736
AF-P0AEJ4-F1-model_v2          52080.880        13486.222        38594.658            0.741  253234
AF-P0AEU0-F1-model_v2          31018.144         9234.088        21784.056            0.702  121822
AF-P0AG30-F1-model_v2          52189.893        16259.279        35930.614            0.688  200430
AF-P0CF07-F1-model_v2           9769.422         2296.040         7473.382            0.765  59971
AF-P0DKB3-F1-model_v2           4601.115          768.494         3832.621            0.833  18931
AF-P11551-F1-model_v2          52084.593        15386.897        36697.696            0.705  161847
AF-P18775-F1-model_v2         102920.703        34222.918        68697.786            0.667  224316
AF-P21338-F1-model_v2          31203.433         8687.375        22516.057            0.722  75638
AF-P25894-F1-model_v2          28620.348         8268.091        20352.257            0.711  69898
AF-P27843-F1-model_v2          14959.027         3796.777        11162.250            0.746  47856
AF-P28246-F1-model_v2          48178.435        14622.145        33556.290            0.697  131470
AF-P31433-F1-model_v2          65155.994        17636.653        47519.341            0.729  242966
AF-P31447-F1-model_v2          64125.746        20606.063        43519.684            0.679  151305
AF-P31452-F1-model_v2          43255.311        12527.199        30728.112            0.710  199004
AF-P32170-F1-model_v2          52331.731        16391.318        35940.413            0.687  209242
AF-P33916-F1-model_v2          65542.950        20586.306        44956.644            0.686  204514
AF-P36881-F1-model_v2          17691.300         5094.407        12596.893            0.712  60924
AF-P37147-F1-model_v2          17347.177         3647.607        13699.570            0.790  65461
AF-P37306-F1-model_v2          34844.036        10672.629        24171.406            0.694  99285
AF-P39383-F1-model_v2          29875.332         9097.318        20778.014            0.695  62786
AF-P41039-F1-model_v2           9076.875         1714.682         7362.193            0.811  30678
AF-P45523-F1-model_v2          28771.544         6618.630        22152.914            0.770  86562
AF-P63389-F1-model_v2          77832.959        22992.630        54840.328            0.705  240563
AF-P64567-F1-model_v2           4479.477          723.463         3756.014            0.838  16797
AF-P68066-F1-model_v2          14451.035         3527.399        10923.636            0.756  40276
AF-P68646-F1-model_v2          10868.995         2862.579         8006.417            0.737  29125
AF-P75823-F1-model_v2          40435.768        12605.817        27829.951            0.688  84488
AF-P75933-F1-model_v2          24680.101         6710.898        17969.203            0.728  64493
AF-P76044-F1-model_v2          32848.756        10103.525        22745.230            0.692  68713
AF-P76085-F1-model_v2          54523.981        17276.604        37247.376            0.683  112471
AF-P76116-F1-model_v2          42358.392        12843.603        29514.789            0.697  86614
AF-P76297-F1-model_v2          14812.969         4055.416        10757.554            0.726  34703
AF-P76458-F1-model_v2          25904.229         7902.983        18001.246            0.695  51866
AF-P76558-F1-model_v2          91527.262        28440.573        63086.690            0.689  182494
AF-P77087-F1-model_v2           7000.300         1598.279         5402.021            0.772  18627
AF-P77272-F1-model_v2          53918.322        15479.089        38439.233            0.713  114013
AF-P77434-F1-model_v2          51063.645        15716.314        35347.331            0.692  100076
AF-P77808-F1-model_v2          48668.628        14931.472        33737.156            0.693  91348
AF-P78061-F1-model_v2          58673.190        18240.054        40433.135            0.689  118403
AF-P80644-F1-model_v2          23366.465         7060.401        16306.064            0.698  45671
AF-P06616-F1-model_v2          37831.424        11941.461        25889.963            0.684  79036
AF-P07023-F1-model_v2          43954.647        11715.732        32238.915            0.733  108748
AF-P0A6I9-F1-model_v2          24050.714         6768.159        17282.555            0.719  58322
AF-P0A6S0-F1-model_v2          24389.050         5620.215        18768.836            0.770  84612
AF-P0A7C2-F1-model_v2          24034.432         6922.895        17111.537            0.712  474483
AF-P0A7E5-F1-model_v2          67906.331        21801.598        46104.733            0.679  318716
AF-P0A7H0-F1-model_v2          44758.988        13860.362        30898.626            0.690  153753
AF-P0A858-F1-model_v2          29822.545         9225.098        20597.447            0.691  207498
AF-P0A8J4-F1-model_v2          10344.941         2807.936         7537.005            0.729  63886
AF-P0A910-F1-model_v2          39536.622        11212.930        28323.692            0.716  192577
AF-P0A9H7-F1-model_v2          48046.407        14578.791        33467.616            0.697  194869
AF-P0AA41-F1-model_v2          32017.569         9385.693        22631.875            0.707  142830
AF-P0ABN1-F1-model_v2          13377.801         3136.165        10241.637            0.766  97725
AF-P0ABP6-F1-model_v2          26383.775         7348.477        19035.298            0.721  142548
AF-P0ABW9-F1-model_v2          15384.456         3815.971        11568.485            0.752  70987
AF-P0AF08-F1-model_v2          44334.981        13810.349        30524.633            0.688  205112
AF-P0AFX9-F1-model_v2          38103.577        10830.102        27273.475            0.716  135516
AF-P0DMC5-F1-model_v2         113693.579        32272.078        81421.501            0.716  370079
AF-P0DPC8-F1-model_v2           6870.564         1475.016         5395.548            0.785  29669
AF-P13036-F1-model_v2          93440.263        28718.137        64722.126            0.693  326013
AF-P18196-F1-model_v2          25915.841         6966.881        18948.960            0.731  120934
AF-P21437-F1-model_v2          38139.158        11994.191        26144.967            0.686  106800
AF-P31459-F1-model_v2          34193.092        10306.131        23886.960            0.699  133104
AF-P31545-F1-model_v2          52516.132        16831.915        35684.217            0.679  178093
AF-P31827-F1-model_v2          99693.691        31909.023        67784.668            0.680  318500
AF-P32714-F1-model_v2          55601.532        14738.433        40863.099            0.735  207717
AF-P33344-F1-model_v2           9863.053         2129.046         7734.007            0.784  64837
AF-P33347-F1-model_v2          12819.359         3189.169         9630.190            0.751  46150
AF-P36937-F1-model_v2           2900.507          480.094         2420.413            0.834  10585
AF-P37630-F1-model_v2          41931.294        12785.565        29145.729            0.695  133040
AF-P37672-F1-model_v2          39408.482        11563.401        27845.081            0.707  94432
AF-P37772-F1-model_v2          38366.105        11251.477        27114.628            0.707  94787
AF-P39163-F1-model_v2          27651.086         8186.794        19464.292            0.704  59749
AF-P42588-F1-model_v2          54782.299        16780.063        38002.236            0.694  112968
AF-P45549-F1-model_v2          50168.484        16223.007        33945.477            0.677  92381
AF-P45563-F1-model_v2          33661.869        10817.426        22844.444            0.679  61166
AF-P52138-F1-model_v2          71076.581        21548.702        49527.878            0.697  163185
AF-P68206-F1-model_v2           8390.140         2068.535         6321.605            0.753  19505
AF-P71297-F1-model_v2          14256.036         2184.234        12071.802            0.847  50802
AF-P75764-F1-model_v2          92540.200        30459.929        62080.271            0.671  158732
AF-P75780-F1-model_v2          91063.405        29064.738        61998.667            0.681  171885
AF-P75917-F1-model_v2          10902.405         2313.667         8588.738            0.788  30437
AF-P76156-F1-model_v2          17517.824         4844.620        12673.204            0.723  37860
AF-P76330-F1-model_v2          68603.397        19562.622        49040.774            0.715  143684
AF-P76417-F1-model_v2          52554.359        15893.937        36660.422            0.698  93009
AF-P76514-F1-model_v2          21856.330         6344.373        15511.957            0.710  42298
AF-P77377-F1-model_v2          59675.219        17986.176        41689.044            0.699  115819
AF-P77599-F1-model_v2          29576.474         8398.973        21177.502            0.716  58370
AF-P77608-F1-model_v2          31824.889         9811.311        22013.578            0.692  53746
AF-Q46803-F1-model_v2          49253.288        15566.055        33687.233            0.684  78975
AF-Q46851-F1-model_v2          43138.324        13549.032        29589.292            0.686  67169
AF-Q47149-F1-model_v2          11542.476         3205.481         8336.995            0.722  22157
AF-Q6BF16-F1-model_v2          23910.068         7534.726        16375.342            0.685  38102
AF-P0A6K3-F1-model_v2          20988.324         6191.971        14796.353            0.705  47924
AF-P0A7U7-F1-model_v2           9918.189         2487.062         7431.127            0.749  29995
AF-P0A8X2-F1-model_v2          21509.671         5530.394        15979.277            0.743  63154
AF-P0A9E2-F1-model_v2          13505.306         3623.472         9881.834            0.732  35898
AF-P0A9Q9-F1-model_v2          44308.544        13749.142        30559.402            0.690  95081
AF-P0ABB0-F1-model_v2          61268.482        19070.949        42197.533            0.689  247593
AF-P0AC19-F1-model_v2          14871.280         4109.833        10761.447            0.724  98728
AF-P0AC65-F1-model_v2           9404.577         2465.699         6938.878            0.738  26361
AF-P0ACZ2-F1-model_v2          17885.560         5365.003        12520.557            0.700  197271
AF-P0AD17-F1-model_v2          23245.931         6445.385        16800.546            0.723  79686
AF-P0ADT5-F1-model_v2          50359.301        15998.469        34360.831            0.682  439174
AF-P0AEP3-F1-model_v2          35991.358        10764.167        25227.191            0.701  159235
AF-P0AF67-F1-model_v2          18299.758         5440.091        12859.667            0.703  71434
AF-P0AFJ1-F1-model_v2          12734.722         3359.494         9375.228            0.736  55750
AF-P0AFZ1-F1-model_v2          30243.897         8321.121        21922.776            0.725  102157
AF-P0AFZ7-F1-model_v2          59337.121        18356.477        40980.644            0.691  283997
AF-P0AGI8-F1-model_v2          56175.307        17685.213        38490.094            0.685  298827
AF-P0DQD7-F1-model_v2           5726.907         1109.199         4617.708            0.806  32570
AF-P13669-F1-model_v2          30198.110         8600.818        21597.292            0.715  132648
AF-P14176-F1-model_v2          39090.415        10018.875        29071.540            0.744  184545
AF-P28635-F1-model_v2          32470.534         9868.264        22602.271            0.696  106554
AF-P31120-F1-model_v2          53135.768        16836.142        36299.627            0.683  170619
AF-P31466-F1-model_v2          52254.858        16042.514        36212.343            0.693  114866
AF-P0A7F6-F1-model_v2          32911.924         9744.792        23167.132            0.704  75226
AF-P0A9B2-F1-model_v2          39378.841        12250.221        27128.620            0.689  83592
AF-P0AA31-F1-model_v2           9200.242         2621.618         6578.624            0.715  23407
AF-P0ABY7-F1-model_v2          22338.344         5849.045        16489.299            0.738  62364
AF-P0AD10-F1-model_v2           8858.545         1863.947         6994.598            0.790  31192
AF-P0ADE4-F1-model_v2          68922.858        19445.599        49477.259            0.718  228814
AF-P0ADI0-F1-model_v2          22803.407         6059.716        16743.691            0.734  62836
AF-P0AE58-F1-model_v2          15417.992         3600.046        11817.946            0.767  87813
AF-P0AET2-F1-model_v2          11834.123         2634.637         9199.486            0.777  44414
AF-P0AF76-F1-model_v2          16124.201         4716.287        11407.914            0.708  47660
AF-P0CF90-F1-model_v2          47135.360        13332.946        33802.414            0.717  231111
AF-P0DSH7-F1-model_v2           1950.522          317.178         1633.344            0.837  8334
AF-P14377-F1-model_v2          52870.121        13744.158        39125.963            0.740  382787
AF-P16432-F1-model_v2          20680.281         5216.630        15463.651            0.748  124456
AF-P16681-F1-model_v2          16993.241         4686.705        12306.535            0.724  48092
AF-P19768-F1-model_v2          19977.560         4804.161        15173.399            0.760  59911
AF-P23877-F1-model_v2          38329.127        11336.231        26992.897            0.704  142941
AF-P24242-F1-model_v2          40071.233        11940.817        28130.416            0.702  129074
AF-P25550-F1-model_v2          51010.575        15551.430        35459.145            0.695  221641
AF-P26458-F1-model_v2          47034.490        14134.112        32900.377            0.699  184118
AF-P27254-F1-model_v2          39408.990        11423.576        27985.415            0.710  133655
AF-P30864-F1-model_v2          36443.923        10612.972        25830.950            0.709  114431
AF-P31667-F1-model_v2          34763.111         9299.941        25463.170            0.732  89541
AF-P32173-F1-model_v2          23750.344         7238.470        16511.874            0.695  46984
AF-P32709-F1-model_v2          38819.323        11545.282        27274.041            0.703  108225
AF-P37194-F1-model_v2          21759.698         5685.394        16074.304            0.739  62038
AF-P37348-F1-model_v2          35108.740        11022.591        24086.150            0.686  96843
AF-P39333-F1-model_v2          26790.121         8017.651        18772.470            0.701  55462
AF-P42616-F1-model_v2          13559.328         2967.127        10592.202            0.781  41502
AF-P51020-F1-model_v2          40956.918        13216.842        27740.076            0.677  102059
AF-P51024-F1-model_v2          19625.632         4351.710        15273.922            0.778  63477
AF-P52048-F1-model_v2          50619.496        15567.113        35052.384            0.692  158819
AF-P52124-F1-model_v2          59049.520        17663.636        41385.884            0.701  253644
AF-P60560-F1-model_v2          41027.953        12523.098        28504.855            0.695  203859
AF-P64517-F1-model_v2           6648.164         1587.343         5060.822            0.761  24164
AF-P75783-F1-model_v2          84265.882        21051.868        63214.013            0.750  306173
AF-P75804-F1-model_v2          45455.329        14111.957        31343.372            0.690  98671
AF-P75855-F1-model_v2          19176.987         4980.595        14196.392            0.740  53101
AF-P75946-F1-model_v2          14459.186         3750.252        10708.934            0.741  35064
AF-P75987-F1-model_v2          13011.890         3661.919         9349.970            0.719  29035
AF-P76080-F1-model_v2          19411.372         5469.392        13941.980            0.718  44872
AF-P76103-F1-model_v2          45089.701        13676.590        31413.112            0.697  103052
AF-P76485-F1-model_v2          17313.692         5050.763        12262.928            0.708  34908
AF-P77182-F1-model_v2          83585.028        26913.278        56671.750            0.678  163124
AF-P77333-F1-model_v2          35919.977        10266.534        25653.444            0.714  94795
AF-P77596-F1-model_v2          77197.095        24289.276        52907.819            0.685  168032
AF-P77610-F1-model_v2          61396.983        19509.064        41887.919            0.682  110347
AF-P77754-F1-model_v2          17160.064         3255.138        13904.926            0.810  59651
AF-Q46796-F1-model_v2          11431.496         2800.261         8631.235            0.755  30971
AF-Q47534-F1-model_v2          30021.122         7887.644        22133.478            0.737  75369
AF-Q57083-F1-model_v2          36208.957        10391.914        25817.043            0.713  78769
AF-Q9XB42-F1-model_v2           9016.097         2488.212         6527.885            0.724  20008
AF-P04949-F1-model_v2          53512.319        14718.447        38793.873            0.725  127594
AF-P05458-F1-model_v2         118967.894        36813.911        82153.983            0.691  243270
AF-P07118-F1-model_v2         119570.572        37047.315        82523.257            0.690  883758
AF-P09836-F1-model_v2          54389.739        17177.157        37212.582            0.684  188352
AF-P0A6P5-F1-model_v2          59071.797        17004.767        42067.030            0.712  292666
AF-P0A707-F1-model_v2          21288.568         5524.816        15763.752            0.740  84160
AF-P0A6F1-F1-model_v2          46645.111        15050.422        31594.689            0.677  86993
AF-P0A6Q6-F1-model_v2          18422.697         5324.211        13098.485            0.711  44809
AF-P0A6V1-F1-model_v2          53543.274        16440.609        37102.664            0.693  113144
AF-P0AAA3-F1-model_v2          20647.020         5305.089        15341.932            0.743  61379
AF-P0AAE5-F1-model_v2          56590.950        18240.892        38350.058            0.678  128589
AF-P0AAI1-F1-model_v2          30517.019         9250.191        21266.828            0.697  86777
AF-P0AAT4-F1-model_v2          48953.248        13035.865        35917.383            0.734  284302
AF-P0AB74-F1-model_v2          34613.905        10749.353        23864.552            0.689  186659
AF-P0ABE5-F1-model_v2          20936.327         5235.921        15700.407            0.750  63394
AF-P0ACP7-F1-model_v2          41579.865        12465.270        29114.595            0.700  157106
AF-P0ACU2-F1-model_v2          25249.855         7004.530        18245.325            0.723  92240
AF-P0AD65-F1-model_v2          76702.410        22546.243        54156.167            0.706  353159
AF-P0AEG8-F1-model_v2           7159.344         1844.351         5314.992            0.742  19533
AF-P0AEN4-F1-model_v2          12488.177         2013.879        10474.298            0.839  52587
AF-P0AFM9-F1-model_v2           8192.629         1458.913         6733.716            0.822  28983
AF-P17334-F1-model_v2          53342.385        15915.254        37427.131            0.702  224839
AF-P24244-F1-model_v2           3329.880          511.776         2818.104            0.846  13236
AF-P25906-F1-model_v2          33888.858        10451.633        23437.225            0.692  94453
AF-P26649-F1-model_v2           7688.685         1711.416         5977.269            0.777  23278
AF-P29009-F1-model_v2           4515.830          956.766         3559.064            0.788  14788
AF-P30137-F1-model_v2          25388.266         7776.894        17611.372            0.694  56467
AF-P31129-F1-model_v2          36420.272        10590.593        25829.679            0.709  109845
AF-P31446-F1-model_v2          15353.922         3137.572        12216.350            0.796  55988
AF-P31453-F1-model_v2          29310.801         8327.153        20983.648            0.716  102130
AF-P31462-F1-model_v2          45698.895        13643.983        32054.911            0.701  177175
AF-P31678-F1-model_v2          31553.313         9270.076        22283.237            0.706  77156
AF-P31697-F1-model_v2          28208.615         7793.239        20415.376            0.724  70929
AF-P32169-F1-model_v2          33233.738        10195.715        23038.023            0.693  71953
AF-P32177-F1-model_v2          32917.951         9638.578        23279.373            0.707  77966
AF-P32694-F1-model_v2          27449.363         7143.378        20305.985            0.740  78402
AF-P32695-F1-model_v2          42173.896        12897.051        29276.845            0.694  94547
AF-P33554-F1-model_v2          18801.883         5178.383        13623.500            0.725  46805
AF-P42601-F1-model_v2          39593.731        11716.850        27876.881            0.704  123067
AF-P45464-F1-model_v2          77791.495        22301.482        55490.013            0.713  389619
AF-P45750-F1-model_v2          14772.873         3292.851        11480.022            0.777  58578
AF-P52697-F1-model_v2          40417.891        12841.483        27576.408            0.682  160210
AF-P60595-F1-model_v2          24159.046         7621.012        16538.034            0.685  67445
AF-P64590-F1-model_v2          15079.382         4003.628        11075.754            0.734  32507
AF-P75747-F1-model_v2          41078.397        12532.980        28545.416            0.695  99762
AF-P75882-F1-model_v2          84988.661        25115.032        59873.629            0.704  202408
AF-P75961-F1-model_v2          30111.885         7835.671        22276.215            0.740  80951
AF-P76037-F1-model_v2          56106.302        16735.992        39370.310            0.702  120173
AF-P76056-F1-model_v2          50723.220        14339.999        36383.221            0.717  108041
AF-P76506-F1-model_v2          28490.876         7093.991        21396.885            0.751  76860
AF-P76633-F1-model_v2          30286.352         8852.253        21434.099            0.708  61895
AF-P77187-F1-model_v2          61507.314        19116.707        42390.607            0.689  135538
AF-P77214-F1-model_v2          12213.304         2815.151         9398.153            0.770  33907
AF-P77269-F1-model_v2          37781.544        11004.344        26777.200            0.709  83388
AF-P77554-F1-model_v2          55931.874        17398.019        38533.855            0.689  109621
AF-Q46891-F1-model_v2          32615.041        10281.041        22334.000            0.685  55748
AF-Q47684-F1-model_v2          12425.191         3350.680         9074.510            0.730  28254
AF-Q47702-F1-model_v2          14220.266         3687.308        10532.958            0.741  32515
AF-P06999-F1-model_v2          35842.275        11084.923        24757.352            0.691  76472
AF-P09030-F1-model_v2          34323.154        10740.925        23582.229            0.687  65900
AF-P09373-F1-model_v2          98433.042        33391.967        65041.075            0.661  158189
AF-P0A754-F1-model_v2          21970.999         6544.311        15426.688            0.702  45008
AF-P0A7L8-F1-model_v2           9250.547         2263.844         6986.703            0.755  205144
AF-P0A908-F1-model_v2          31304.816        10130.304        21174.512            0.676  127974
AF-P0A951-F1-model_v2          23108.338         6356.438        16751.900            0.725  138522
AF-P0A9G6-F1-model_v2          52113.109        15875.202        36237.907            0.695  255155
AF-P0A9U3-F1-model_v2          65653.421        19957.174        45696.247            0.696  199246
AF-P0AA04-F1-model_v2           9745.756         2773.446         6972.310            0.715  29037
AF-P0AB35-F1-model_v2          18120.404         3678.823        14441.581            0.797  132841
AF-P0ABS8-F1-model_v2           8705.581         1916.863         6788.718            0.780  35471
AF-P0AF73-F1-model_v2           6751.338         1170.025         5581.313            0.827  26310
AF-P0AFD1-F1-model_v2          19481.078         5334.191        14146.887            0.726  63629
AF-P0AFI0-F1-model_v2          67628.437        21424.584        46203.853            0.683  202604
AF-P0AFK2-F1-model_v2          28797.254         7867.288        20929.966            0.727  98486
AF-P0C0U4-F1-model_v2          35784.689        11005.471        24779.218            0.692  126269
AF-P0DP64-F1-model_v2          22062.742         6363.211        15699.531            0.712  59810
AF-P0DPN3-F1-model_v2           5657.634          984.207         4673.428            0.826  19839
AF-P14175-F1-model_v2          48823.570        15047.825        33775.744            0.692  177988
AF-P15033-F1-model_v2          10226.017         2528.454         7697.563            0.753  51464
AF-P15081-F1-model_v2          13226.873         3262.478         9964.394            0.753  47980
AF-P17583-F1-model_v2          46410.260        14410.047        32000.213            0.690  114692
AF-P21889-F1-model_v2          71980.187        21657.521        50322.666            0.699  171803
AF-P22106-F1-model_v2          71292.877        23559.619        47733.258            0.670  147194
AF-P32675-F1-model_v2          35209.435        10469.439        24739.997            0.703  90992
AF-P32719-F1-model_v2          28888.148         8908.876        19979.272            0.692  57985
AF-P37028-F1-model_v2          31638.924         9125.380        22513.545            0.712  78076
AF-P37626-F1-model_v2          40488.180        10768.845        29719.335            0.734  118220
AF-P40120-F1-model_v2          68936.916        21191.793        47745.123            0.693  172911
AF-P42591-F1-model_v2          41965.845        11524.411        30441.434            0.725  176692
AF-P42619-F1-model_v2          14787.206         3832.920        10954.285            0.741  41102
AF-P42625-F1-model_v2           5273.699          699.611         4574.088            0.867  33175
AF-P45470-F1-model_v2          21098.014         6671.681        14426.333            0.684  79834
AF-P45736-F1-model_v2          14747.365         4108.992        10638.374            0.721  35013
AF-P46846-F1-model_v2          27954.726         8298.708        19656.018            0.703  84745
AF-P52005-F1-model_v2          41607.340        10974.325        30633.015            0.736  185233
AF-P52133-F1-model_v2          27313.845         6929.427        20384.418            0.746  108792
AF-P52696-F1-model_v2          38752.034        11066.017        27686.017            0.714  97213
AF-P56257-F1-model_v2           7936.526         1259.243         6677.283            0.841  31275
AF-P67080-F1-model_v2          27871.132         8203.703        19667.429            0.706  54425
AF-P67127-F1-model_v2          28495.933         8188.163        20307.770            0.713  70674
AF-P68661-F1-model_v2          10754.625         2884.881         7869.744            0.732  25603
