Entry	Entry name	Protein names	Gene names	Organism	Length	Mass	Gene names  (synonym )	Gene names  (primary )	Gene names  (ORF )	Gene names  (ordered locus )	Cross-reference (Pfam)	Cross-reference (SUPFAM)	Protein families	3D
Q92325	LAG2_YEAST	Cullin-associated NEDD8-dissociated protein 1 homolog (CAND1 homolog) (Longevity-assurance protein 2)	LAG2 YOL025W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	660	75,639		LAG2		YOL025W				
P38703	LAG1_YEAST	Ceramide synthase LAG1 (Longevity assurance factor 1) (Longevity assurance gene 1 protein) (Longevity assurance protein 1) (Very-long-chain ceramide synthase LAG1) (EC 2.3.1.297)	LAG1 YHL003C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	411	48,455		LAG1		YHL003C	PF08390;PF03798;		Sphingosine N-acyltransferase family	
P25587	LDB16_YEAST	Protein LDB16 (Low dye-binding protein 16)	LDB16 YCL005W YCL5W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	256	29,024		LDB16	YCL5W	YCL005W				
P16523	MER1_YEAST	Meiotic recombination 1 protein	MER1 YNL210W N1330	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	270	31,111		MER1	N1330	YNL210W	PF00013;	SSF54791;		
Q12525	MHT1_YEAST	Homocysteine S-methyltransferase 1 (EC 2.1.1.10) (S-methylmethionine:homocysteine methyltransferase 1) (SMM:Hcy S-methyltransferase 1)	MHT1 YLL062C L0552	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	324	36,715		MHT1	L0552	YLL062C	PF02574;	SSF82282;		
P16861	PFKA1_YEAST	ATP-dependent 6-phosphofructokinase subunit alpha (EC 2.7.1.11) (ATP-dependent 6-phosphofructokinase) (ATP-PFK) (Phosphofructokinase 1) (Phosphohexokinase)	PFK1 YGR240C G8599	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	987	107,970		PFK1	G8599	YGR240C	PF00365;PF18468;	SSF53784;	Phosphofructokinase type A (PFKA) family, ATP-dependent PFK group I subfamily, Eukaryotic two domain clade 'E' sub-subfamily	X-ray crystallography (1)
P25625	PER1_YEAST	Protein PER1 (Protein processing in the ER protein 1)	PER1 COS16 YCR044C YCR44C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	357	42,541	COS16	PER1	YCR44C	YCR044C	PF04080;		PGAP3/PER1 family	
P47180	PGLR_YEAST	Polygalacturonase (PG) (EC 3.2.1.15) (PGase SM) (Pectinase)	PGU1 PGL1 PSM1 YJR153W J2235	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	361	37,287	PGL1 PSM1	PGU1	J2235	YJR153W	PF00295;	SSF51126;	Glycosyl hydrolase 28 family	
P36093	PHD1_YEAST	Putative transcription factor PHD1	PHD1 YKL043W YKL256	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	366	40,646		PHD1	YKL256	YKL043W	PF04383;	SSF54616;	EFG1/PHD1/stuA family	
Q12511	PDP1_YEAST	[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial (PDP 1) (EC 3.1.3.43) (Phosphatase two C protein 5) (Protein phosphatase 2C homolog 5) (PP2C-5) (Protein phosphatase of PDH protein 1) (Pyruvate dehydrogenase complex phosphatase 1) (PDC phosphatase 1)	PTC5 PPP1 YOR090C YOR3157C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	572	63,669	PPP1	PTC5	YOR3157C	YOR090C	PF00481;	SSF81606;	PP2C family	
P25646	PDP2_YEAST	[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 2, mitochondrial (PDP 2) (EC 3.1.3.16) (EC 3.1.3.43) (Autophagy-related protein phosphatase 1) (Phosphatase two C protein 6) (Protein phosphatase 2C homolog 6) (PP2C-6) (Protein phosphatase of PDH protein 2) (Pyruvate dehydrogenase complex phosphatase 2) (PDC phosphatase 2)	PTC6 AUP1 PPP2 YCR079W YCR79C YCR79W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	442	49,421	AUP1 PPP2	PTC6	YCR79C YCR79W	YCR079W	PF00481;	SSF81606;		
Q12144	PER33_YEAST	Pore and endoplasmic reticulum protein of 33 kDa	PER33 YLR064W L2177	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	273	32,637		PER33	L2177	YLR064W	PF03661;		PER33/POM33 family	
P33401	PGM1_YEAST	Phosphoglucomutase 1 (PGM 1) (EC 5.4.2.2) (Glucose phosphomutase 1)	PGM1 YKL127W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	570	63,112		PGM1		YKL127W	PF02878;PF02879;PF02880;PF00408;	SSF53738;SSF55957;	Phosphohexose mutase family	
P37012	PGM2_YEAST	Phosphoglucomutase 2 (PGM 2) (EC 5.4.2.2) (D-glucose-1,6-diphosphate:D-glucose-1-phosphate phosphotransferase) (Glucose phosphomutase 2)	PGM2 GA-5 GAL5 YMR105C YM9718.04C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	569	63,089	GA-5 GAL5	PGM2	YM9718.04C	YMR105C	PF02878;PF02879;PF02880;PF00408;	SSF53738;SSF55957;	Phosphohexose mutase family	
Q03262	PGM3_YEAST	Phosphoribomutase (PRM) (EC 5.4.2.7) (Phosphoglucomutase 3) (PGM 3)	PRM15 PGM3 YMR278W YM8021.04	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	622	71,069	PGM3	PRM15	YM8021.04	YMR278W	PF02878;PF02879;PF02880;PF00408;	SSF53738;SSF55957;	Phosphohexose mutase family	
P51533	PDR10_YEAST	ATP-dependent permease PDR10	PDR10 YOR328W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1564	176,461		PDR10		YOR328W	PF01061;PF19055;PF00005;PF14510;PF06422;	SSF52540;	ABC transporter superfamily, ABCG family, PDR (TC 3.A.1.205) subfamily	
P40550	PDR11_YEAST	ATP-dependent permease PDR11	PDR11 YIL013C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1411	160,538		PDR11		YIL013C	PF01061;PF19055;PF00005;PF06422;	SSF52540;	ABC transporter superfamily, ABCG family, PDR (TC 3.A.1.205) subfamily	
Q02785	PDR12_YEAST	ATP-dependent permease PDR12	PDR12 YPL058C LPE14C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1511	171,065		PDR12	LPE14C	YPL058C	PF01061;PF19055;PF00005;PF14510;PF06422;	SSF52540;	ABC transporter superfamily, ABCG family, PDR (TC 3.A.1.205) subfamily	
Q04182	PDR15_YEAST	ATP-dependent permease PDR15	PDR15 YDR406W D9509.24	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1529	172,256		PDR15	D9509.24	YDR406W	PF01061;PF19055;PF00005;PF14510;PF06422;	SSF52540;	ABC transporter superfamily, ABCG family, PDR (TC 3.A.1.205) subfamily	
P53860	PDR16_YEAST	Phosphatidylinositol transfer protein PDR16 (PITP) (Pleiotropic drug resistance protein 16) (SEC14 homolog 3)	PDR16 SFH3 YNL231C N1158	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	351	40,714	SFH3	PDR16	N1158	YNL231C	PF00650;PF03765;	SSF46938;SSF52087;		X-ray crystallography (4)
P53844	PDR17_YEAST	Phosphatidylinositol transfer protein PDR17 (PITP) (Phosphatidylserine transport B pathway protein 2) (Pleiotropic drug resistance protein 17) (SEC14 homolog 3)	PDR17 ISS1 PSTB2 SFH4 YNL264C N0815	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	350	40,678	ISS1 PSTB2 SFH4	PDR17	N0815	YNL264C	PF00650;PF03765;	SSF46938;SSF52087;		
P32452	PHA2_YEAST	Probable prephenate dehydratase (PDT) (EC 4.2.1.51) (Phenylalanine-requiring protein 2)	PHA2 YNL316C N0351	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	334	38,225		PHA2	N0351	YNL316C	PF00800;	SSF55021;		
P53756	PDR18_YEAST	ABC transporter ATP-binding protein/permease PDR18 (Pleiotropic drug resistance protein 18)	PDR18 YNR070W N3568	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1333	149,750		PDR18	N3568	YNR070W	PF01061;PF19055;PF00005;PF06422;	SSF52540;	ABC transporter superfamily, ABCG family, PDR (TC 3.A.1.205) subfamily	
P12383	PDR1_YEAST	Transcription factor PDR1 (Pleiotropic drug resistance protein 1)	PDR1 AMY1 ANT1 BOR2 CYH3 NRA2 SMR2 TIL1 TPE1 TPE3 YGL013C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1068	121,794	AMY1 ANT1 BOR2 CYH3 NRA2 SMR2 TIL1 TPE1 TPE3	PDR1		YGL013C	PF04082;PF00172;	SSF57701;		
P33200	PDR3_YEAST	Transcription factor PDR3 (Pleiotropic drug resistance protein 3)	PDR3 YBL005W YBL0323	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	976	112,571		PDR3	YBL0323	YBL005W	PF04082;PF00172;	SSF57701;		
P33302	PDR5_YEAST	Pleiotropic ABC efflux transporter of multiple drugs (Pleiotropic drug resistance protein 5) (Suppressor of toxicity of sporidesmin)	PDR5 LEM1 STS1 YDR1 YOR153W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1511	170,438	LEM1 STS1 YDR1	PDR5		YOR153W	PF01061;PF19055;PF00005;PF14510;PF06422;	SSF52540;	ABC transporter superfamily, ABCG family, PDR (TC 3.A.1.205) subfamily	
Q06149	PDR8_YEAST	Transcription factor PDR8 (Pleiotropic drug resistance protein 8)	PDR8 YLR266C L8479.13	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	701	81,274		PDR8	L8479.13	YLR266C	PF04082;PF00172;	SSF57701;		
P42841	PFS2_YEAST	Polyadenylation factor subunit 2	PFS2 YNL317W N0348	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	465	53,143		PFS2	N0348	YNL317W	PF00400;	SSF50978;		Electron microscopy (1)
P53872	PGA14_YEAST	Hydrophilin YNL190W	YNL190W N1415	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	204	21,966			N1415	YNL190W			PGA14 family	
P53896	PGA1_YEAST	GPI mannosyltransferase 2 subunit PGA1 (Processing of GAS1 and ALP protein 1)	PGA1 YNL158W N1739	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	198	22,383		PGA1	N1739	YNL158W	PF10333;			
P53903	PGA2_YEAST	Processing of GAS1 and ALP protein 2	PGA2 YNL149C N1774	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	129	15,053		PGA2	N1774	YNL149C	PF07543;		PGA2 family	
Q12746	PGA3_YEAST	Plasma membrane-associated coenzyme Q6 reductase PGA3 (EC 1.6.2.2) (Processing of GAS1 and ALP protein 3)	PGA3 NQR1 YML125C YM4987.10C YM7056.01C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	312	35,287	NQR1	PGA3	YM4987.10C YM7056.01C	YML125C	PF00970;PF00175;	SSF52343;SSF63380;	Flavoprotein pyridine nucleotide cytochrome reductase family	
Q06608	PDXH_YEAST	Pyridoxamine 5'-phosphate oxidase homolog (PNP/PMP oxidase homolog) (PNPOx homolog)	YPR172W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	200	22,508				YPR172W	PF01243;		Pyridoxamine 5'-phosphate oxidase family	
P40091	PEA2_YEAST	Protein PEA2 (Protein PPF2)	PEA2 PPF2 YER149C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	420	48,165	PPF2	PEA2		YER149C				
P40961	PHB1_YEAST	Prohibitin-1	PHB1 PHB YGR132C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	287	31,427	PHB	PHB1		YGR132C	PF01145;	SSF117892;	Prohibitin family	
P50085	PHB2_YEAST	Prohibitin-2	PHB2 YGR231C G8561	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	310	34,407		PHB2	G8561	YGR231C	PF01145;	SSF117892;	Prohibitin family	
P32854	PEP12_YEAST	Syntaxin PEP12 (Carboxypeptidase Y-deficient protein 12) (Vacuolar protein sorting-associated protein 6) (Vacuolar protein-targeting protein 13)	PEP12 VPS6 VPT13 YOR036W OR26.29	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	288	33,006	VPS6 VPT13	PEP12	OR26.29	YOR036W	PF05739;PF14523;	SSF47661;	Syntaxin family	
P27801	PEP3_YEAST	Vacuolar membrane protein PEP3 (Carboxypeptidase Y-deficient protein 3) (Vacuolar morphogenesis protein 8) (Vacuolar protein sorting-associated protein 18) (Vacuolar protein-targeting protein 18)	PEP3 VAM8 VPS18 VPT18 YLR148W L9634.2	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	918	107,398	VAM8 VPS18 VPT18	PEP3	L9634.2	YLR148W	PF00637;PF05131;		VPS18 family	X-ray crystallography (1)
Q08959	PGC1_YEAST	Phosphatidylglycerol phospholipase C (EC 3.1.4.-)	PGC1 YPL206C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	321	37,070		PGC1		YPL206C	PF03009;	SSF51695;	Glycerophosphoryl diester phosphodiesterase family	
P12868	PEP5_YEAST	E3 ubiquitin-protein ligase PEP5 (EC 2.3.2.27) (Carboxypeptidase Y-deficient protein 5) (Histone E3 ligase PEP5) (RING-type E3 ubiquitin transferase PEP5) (Vacuolar biogenesis protein END1) (Vacuolar morphogenesis protein 1) (Vacuolar protein sorting-associated protein 11) (Vacuolar protein-targeting protein 11)	PEP5 END1 VAM1 VPL9 VPS11 VPT11 YMR231W YM9959.13	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1029	117,478	END1 VAM1 VPL9 VPS11 VPT11	PEP5	YM9959.13	YMR231W	PF12451;	SSF50978;	VPS11 family	
P32609	PEP7_YEAST	Vacuolar segregation protein PEP7 (Carboxypeptidase Y-deficient protein 7) (Protein VAC1) (Vacuolar protein sorting-associated protein 19) (Vacuolar protein-targeting protein 19)	PEP7 VAC1 VPL21 VPS19 VPT19 YDR323C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	515	59,443	VAC1 VPL21 VPS19 VPT19	PEP7		YDR323C	PF01363;PF11464;	SSF140125;SSF57903;		
P40335	PEP8_YEAST	Carboxypeptidase Y-deficient protein 8 (Vacuolar protein sorting-associated protein 26) (Vacuolar protein-targeting protein 4)	PEP8 GRD6 VPS26 VPT4 YJL053W J1152	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	379	42,547	GRD6 VPS26 VPT4	PEP8	J1152	YJL053W	PF03643;	SSF81296;	VPS26 family	
P13259	PCY1_YEAST	Choline-phosphate cytidylyltransferase (EC 2.7.7.15) (CTP:phosphocholine cytidylyltransferase) (CCT) (CT) (Phosphorylcholine transferase)	PCT1 CCT CCT1 YGR202C G7729	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	424	49,406	CCT CCT1	PCT1	G7729	YGR202C	PF01467;		Cytidylyltransferase family	
P53238	PEF1_YEAST	Peflin (Penta-EF hand domain-containing protein 1)	PEF1 YGR058W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	335	38,342		PEF1		YGR058W		SSF47473;		
P38075	PDX3_YEAST	Pyridoxamine 5'-phosphate oxidase (EC 1.4.3.5) (PNP/PMP oxidase) (PNPOx)	PDX3 YBR035C YBR0321	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	228	26,908		PDX3	YBR0321	YBR035C	PF10590;PF01243;		Pyridoxamine 5'-phosphate oxidase family	X-ray crystallography (1)
P22434	PDE1_YEAST	3',5'-cyclic-nucleotide phosphodiesterase 1 (PDEase 1) (EC 3.1.4.17) (3':5'-CNP) (Low-affinity cAMP phosphodiesterase)	PDE1 YGL248W NRB369	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	369	42,016		PDE1	NRB369	YGL248W	PF02112;	SSF56281;	Cyclic nucleotide phosphodiesterase class-II family	X-ray crystallography (2)
P53124	PCL10_YEAST	PHO85 cyclin-10	PCL10 YGL134W G2838	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	433	48,584		PCL10	G2838	YGL134W	PF08613;		Cyclin family, PHO80 subfamily	X-ray crystallography (2)
P24867	PCL1_YEAST	PHO85 cyclin-1 (Cyclin HCS26) (G1/S-specific cyclin PCL1)	PCL1 HCS26 YNL289W N0536	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	279	32,095	HCS26	PCL1	N0536	YNL289W	PF00134;	SSF47954;	Cyclin family, PCL1,2 subfamily	
P06776	PDE2_YEAST	3',5'-cyclic-nucleotide phosphodiesterase 2 (PDEase 2) (EC 3.1.4.53) (High-affinity cAMP phosphodiesterase)	PDE2 SRA5 YOR360C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	526	61,000	SRA5	PDE2		YOR360C	PF00233;		Cyclic nucleotide phosphodiesterase family	
P25693	PCL2_YEAST	PHO85 cyclin-2 (Cyclin HCS26 homolog) (G1/S-specific cyclin PCL2)	PCL2 CLN4 YDL127W D2223	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	308	35,207	CLN4	PCL2	D2223	YDL127W	PF00134;	SSF47954;	Cyclin family, PCL1,2 subfamily	
P38794	PCL5_YEAST	PHO85 cyclin-5 (G1/S-specific cyclin PCL5)	PCL5 YHR071W H8025.1	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	229	26,467		PCL5	H8025.1	YHR071W	PF00134;	SSF47954;	Cyclin family, PCL1,2 subfamily	
P40038	PCL6_YEAST	PHO85 cyclin-6	PCL6 YER059W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	420	47,007		PCL6		YER059W	PF08613;		Cyclin family, PHO80 subfamily	
P40186	PCL7_YEAST	PHO85 cyclin-7 (PHO85-associated protein 1)	PCL7 PAP1 YIL050W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	285	32,037	PAP1	PCL7		YIL050W	PF08613;		Cyclin family, PHO80 subfamily	
Q08966	PCL8_YEAST	PHO85 cyclin-8	PCL8 YPL219W P1745	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	492	55,431		PCL8	P1745	YPL219W	PF08613;		Cyclin family, PHO80 subfamily	
Q12477	PCL9_YEAST	PHO85 cyclin-9	PCL9 YDL179W D1408	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	304	34,798		PCL9	D1408	YDL179W	PF00134;	SSF47954;	Cyclin family, PCL1,2 subfamily	
P40345	PDAT_YEAST	Phospholipid:diacylglycerol acyltransferase (PDAT) (EC 2.3.1.158) (LCAT-related open reading frame 1) (Lecithin cholesterol acyl transferase-related open reading frame 1) (Triacylglycerol synthase) (TAG synthase)	LRO1 YNR008W N2042	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	661	75,393		LRO1	N2042	YNR008W	PF02450;	SSF53474;	AB hydrolase superfamily, Lipase family	
P06169	PDC1_YEAST	Pyruvate decarboxylase isozyme 1 (EC 4.1.1.-) (EC 4.1.1.43) (EC 4.1.1.72) (EC 4.1.1.74) (Thiamine pyrophosphate-dependent 2-oxo-acid decarboxylase) (2ODC)	PDC1 YLR044C L2104	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	563	61,495		PDC1	L2104	YLR044C	PF02775;PF00205;PF02776;	SSF52467;SSF52518;	TPP enzyme family	X-ray crystallography (6)
P32896	PDC2_YEAST	Protein PDC2	PDC2 YDR081C D4451	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	925	103,944		PDC2	D4451	YDR081C	PF03184;PF03221;	SSF46689;		
P16467	PDC5_YEAST	Pyruvate decarboxylase isozyme 2 (EC 4.1.1.-) (EC 4.1.1.43) (EC 4.1.1.72) (EC 4.1.1.74) (Thiamine pyrophosphate-dependent 2-oxo-acid decarboxylase) (2ODC)	PDC5 YLR134W L3133 L9606.7	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	563	61,912		PDC5	L3133 L9606.7	YLR134W	PF02775;PF00205;PF02776;	SSF52467;SSF52518;	TPP enzyme family	
P26263	PDC6_YEAST	Pyruvate decarboxylase isozyme 3 (EC 4.1.1.-) (EC 4.1.1.43) (EC 4.1.1.72) (EC 4.1.1.74) (Thiamine pyrophosphate-dependent 2-oxo-acid decarboxylase) (2ODC)	PDC6 YGR087C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	563	61,580		PDC6		YGR087C	PF02775;PF00205;PF02776;	SSF52467;SSF52518;	TPP enzyme family	
P15873	PCNA_YEAST	Proliferating cell nuclear antigen (PCNA)	POL30 YBR088C YBR0811	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	258	28,916		POL30	YBR0811	YBR088C	PF02747;PF00705;		PCNA family	X-ray crystallography (31)
P53259	PCP1_YEAST	Rhomboid protein 1, mitochondrial (EC 3.4.21.105) (Mitochondrial distribution and morphology protein 37) (Processing of cytochrome c peroxidase protein 1)	PCP1 MDM37 RBD1 UGO2 YGR101W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	346	38,815	MDM37 RBD1 UGO2	PCP1		YGR101W	PF01694;	SSF144091;	Peptidase S54 family	
P87284	PMP3_YEAST	Plasma membrane proteolipid 3	PMP3 SNA1 YDR276C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	55	6,138	SNA1	PMP3		YDR276C	PF01679;		UPF0057 (PMP3) family	
P41903	PTE1_YEAST	Peroxisomal acyl-coenzyme A thioester hydrolase 1 (EC 3.1.2.2) (Peroxisomal long-chain acyl-CoA thioesterase 1)	TES1 PTE1 YJR019C J1456	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	349	40,260	PTE1	TES1	J1456	YJR019C	PF02551;	SSF54637;	C/M/P thioester hydrolase family	X-ray crystallography (1)
P50109	PSP2_YEAST	Protein PSP2 (Mitochondrial regulator of splicing 15) (Polymerase suppressor protein 2)	PSP2 MRS15 YML017W YM9571.01	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	593	65,584	MRS15	PSP2	YM9571.01	YML017W				
P39994	PXP1_YEAST	Putative 2-hydroxyacyl-CoA lyase (EC 4.1.-.-) (Peroxisomal protein 1)	PXP1 YEL020C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	560	61,288		PXP1		YEL020C	PF02775;PF00205;PF02776;	SSF52467;SSF52518;	TPP enzyme family	
P42073	REF2_YEAST	RNA end formation protein 2	REF2 YDR195W YD9346.06	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	533	59,819		REF2	YD9346.06	YDR195W				
Q12167	RRG1_YEAST	Required for respiratory growth protein 1, mitochondrial	RRG1 YDR065W D4258	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	365	42,829		RRG1	D4258	YDR065W			RRG1 family	
P0CX40	RS8B_YEAST	40S ribosomal protein S8-B (RP19) (S14) (Small ribosomal subunit protein eS8-B) (YS9)	RPS8B RPS14B YER102W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	200	22,490	RPS14B	RPS8B		YER102W	PF01201;		Eukaryotic ribosomal protein eS8 family	
