,chemostat_0.5_mean,chemostat_0.35_mean,chemostat_0.2_mean,chemostat_0.12_mean,chemostat_0.5_uncertainty,chemostat_0.35_uncertainty,chemostat_0.2_uncertainty,chemostat_0.12_uncertainty
P09373,1.2435305105422373e-05,1.2539005615454151e-05,1.3129872550953122e-05,1.2847440389620535e-05,1.157726905314823e-06,5.717786560647092e-07,1.1278560521268733e-06,4.2139604477955354e-07
P0A6Y8,2.8822224221005887e-05,2.7701094350996645e-05,2.5279939797865553e-05,2.5305005614659602e-05,8.675489490522772e-07,2.9363160012056444e-07,1.1603492367220287e-06,1.1539082560284774e-06
P05793,4.996633590908567e-05,3.725780482673252e-05,2.7884729328509352e-05,1.7907914654221936e-05,6.910344256226548e-06,8.941873158415806e-07,1.589429571725033e-06,3.2413325524141713e-07
P0A705,7.1106726680018405e-06,6.0773661460645535e-06,5.601982659711756e-06,5.344977763079776e-06,5.709870152405478e-07,2.6071900766616936e-07,4.817705087352109e-07,1.6676330620808902e-07
P00864,7.977646363263185e-06,5.995916909055441e-06,5.125320619908176e-06,4.407169934762181e-06,1.027520851588298e-06,1.145220129629589e-07,4.2437654732839707e-07,1.339779660167703e-07
P0A6M8,4.5718908985734486e-05,4.1683213370894304e-05,3.714593572812737e-05,3.394548223511385e-05,1.9064785047051283e-06,1.5672888227456254e-06,1.7941486956685521e-06,8.588207005483804e-07
P00957,3.2111514978993135e-06,3.0073564434133875e-06,2.8720091590185323e-06,2.7343947353754593e-06,3.159773073932925e-07,1.4856340830462135e-07,1.9529662281326025e-07,7.136770259329948e-08
P00961,4.986028977039491e-06,4.531919084866007e-06,4.082923330842776e-06,4.2701867688281505e-06,1.9495373300224408e-07,1.984980559171311e-07,5.124068780207683e-07,2.1180126373387623e-07
P76558,5.263237304494299e-06,6.327979183015668e-06,6.8851183527183585e-06,7.360210877301574e-06,6.694837851316748e-07,1.9047217340877162e-07,5.41170302523663e-07,7.360210877301575e-08
P0AG67,3.3942206215338975e-05,2.5295209196265936e-05,2.4001618872937773e-05,2.2818234294626422e-05,9.605644358940933e-07,1.0168674096898903e-06,2.352158649547902e-07,7.963563768824623e-07
P07813,3.0176638062530046e-06,2.8590770632173107e-06,2.8671943909397085e-06,2.8160577766053623e-06,1.4816729288702254e-07,1.5210289976316094e-07,2.7840457536024574e-07,8.673457951944516e-08
P00561,1.4768320156619208e-05,6.839647466790863e-06,4.923100360597567e-06,3.85660297937348e-06,2.9433262072142084e-06,1.4294863205592904e-07,4.233866310113908e-07,1.885878856913632e-07
P0AFG3,6.772069207620801e-06,5.883141042427439e-06,5.592353123554108e-06,5.661092761389077e-06,8.837550315945146e-07,1.9826185312980468e-07,4.585729561314367e-07,1.0529632536183685e-07
P00956,3.06417527059106e-06,2.8465464113697545e-06,2.585530458328503e-06,2.3287138208785222e-06,7.721721681889471e-08,1.3008717099959782e-07,1.7193777547884545e-07,1.0991529234546624e-07
P25553,3.5452898577039e-05,6.476676251606664e-05,8.599416527183656e-05,9.655996052522878e-05,1.8754583347253632e-06,1.8652827604627192e-06,6.501158894550843e-06,1.361495443405726e-06
P06959,1.3146000280507851e-05,1.3161361323882753e-05,1.23835834987354e-05,1.4778376170959856e-05,2.7080760577846173e-07,9.69992329570159e-07,6.897656008795616e-07,7.07884218588977e-07
P23847,1.8861329018368046e-05,2.508427655683208e-05,2.5742157533432657e-05,2.4562135368632742e-05,1.3259514299912733e-06,5.970057820526034e-07,1.5187872944725267e-07,1.0193286177982587e-06
P07395,1.1813911941865957e-05,1.1789254946575397e-05,1.3876161603170848e-05,1.3571870594079352e-05,1.4283019537715942e-06,3.536776483972618e-07,7.465374942505915e-07,5.347317014067265e-07
P21889,4.336728934880243e-06,4.030693010963777e-06,3.6520015877880247e-06,3.906654520772454e-06,1.8647934419985045e-07,2.3216791743151348e-07,1.9976448685200496e-07,6.797578866144068e-08
P07118,2.414875228431813e-06,2.0257887153548513e-06,1.803130645519598e-06,1.7122895741753839e-06,1.200192988530611e-07,2.4714622327329184e-08,9.268091517970735e-08,2.0205016975269533e-08
P10408,1.7395287662432551e-06,1.7459374907594387e-06,1.8223897178348943e-06,1.9757187394331357e-06,1.5360039005927943e-07,8.904281202873136e-08,2.2561184706795994e-07,4.6626962250621993e-08
P08200,5.680352116677975e-05,5.729222868899961e-05,5.3446333058986115e-05,4.023617070146895e-05,6.021173243678653e-07,2.4406489421513837e-06,1.4377063592867263e-06,5.391646873996839e-07
P0ABB4,4.471612181460602e-05,4.175630884000505e-05,3.5229658032755405e-05,2.864792172178047e-05,5.410650739567329e-07,1.4614708094001765e-06,9.476778010811203e-07,6.760909526340189e-07
P0AES4,2.1525505695651837e-06,1.77099879445455e-06,1.767019884928418e-06,1.6754094910392986e-06,2.6906882119564796e-07,1.5478529463532768e-07,1.2298458399101792e-07,1.3302751358852034e-07
P13029,6.1357923754762084e-06,8.570965863728154e-06,1.1013781980309962e-05,1.3189898304455613e-05,1.7302934498842907e-07,4.0454958876796893e-07,5.5289185541156e-07,4.669223999777286e-07
P04825,2.526502742843145e-06,2.8528117372935322e-06,3.0983032587232613e-06,2.729126152070304e-06,3.916079251406874e-08,4.906836188144876e-08,1.0720129275182485e-07,2.3470484907804616e-08
P0A9G6,0.0002037741670993128,0.00038462627001875004,0.00048369882335078,0.0005746233067600382,6.459641097048218e-06,2.4616081281200006e-06,1.2140840466104579e-05,1.896256912308127e-05
P0AD61,1.3229720916316349e-05,1.0740857075329894e-05,1.0816376489078177e-05,1.3843202634294836e-05,5.900455528677092e-07,6.218956246616009e-07,2.898788899072952e-07,7.655291056765045e-07
P09546,3.1441749892525147e-07,3.1535473816348716e-07,2.5999747625649746e-07,2.502577069948638e-07,1.9210909184332865e-08,9.870603304517148e-09,8.574716766939287e-08,5.3329917360605476e-08
P0AC33,8.766480798436597e-06,7.779446355357546e-06,5.626056500105876e-06,4.064712019927104e-06,4.7338996311557627e-07,1.1980347387250624e-07,2.599238103048915e-07,1.6177553839309872e-07
P0A6P1,2.0061324798289856e-05,1.6037145922896805e-05,1.5079853622876853e-05,1.3901157050651543e-05,8.62636966326464e-07,6.094115450700786e-07,2.865172188346602e-07,4.114742486992856e-07
P08839,1.2941349837420409e-05,1.0630169650676487e-05,9.725831519224535e-06,8.89073432744911e-06,3.325926908217045e-07,2.9339268235867107e-07,2.878846129690462e-07,4.240880274193225e-07
P0A6Z3,3.6130105497801093e-06,3.5064940753410256e-06,3.22830199685151e-06,2.976749567412591e-06,9.755128484406294e-09,8.871430010612796e-08,1.9789491240699757e-07,1.2651185661503512e-07
P0A6E4,7.988809114704318e-06,5.202308958710242e-06,5.722351861682356e-06,5.90081330177363e-06,1.5737953955967505e-07,1.2329472232143274e-07,1.7567620215364834e-07,1.1624602204494053e-07
P21179,2.982315093356083e-06,4.834743171181938e-06,6.690120245525986e-06,8.27431008074597e-06,5.606752375509436e-07,2.596257082924701e-07,3.1844972368703694e-07,2.6643278460002027e-07
P0A6F3,1.5795293289203461e-06,2.3808238510355978e-06,2.6023821466043873e-06,2.6817089023239096e-06,3.711893922962813e-08,3.2617286759187695e-08,1.6316936059209501e-07,5.175698181485144e-08
P0A850,2.75571123910108e-05,2.6044959865144687e-05,2.306273909756709e-05,1.9346237896529262e-05,1.5101297590273918e-06,1.3960098487717554e-06,1.5405909717174815e-06,1.5360912889844233e-06
P0A6T1,7.0195101978992524e-06,6.367659580532931e-06,6.4445670735059594e-06,6.4355745072468676e-06,1.4881361619546416e-07,3.871537024964021e-07,3.4542879513991953e-07,1.5187955837102607e-07
P05055,8.878108312847929e-06,8.51248948843956e-06,8.382511225232632e-06,8.348070247018142e-06,4.80305659725073e-07,4.290294702173538e-07,8.005298220097164e-07,5.39285337957372e-07
P0A9M8,2.8260365731802187e-06,3.1076016581938333e-06,3.3438564307432875e-06,3.7011797718714066e-06,2.286263587702797e-07,1.0410465554949343e-07,3.8253717567703206e-07,1.18437752699885e-07
P0A940,2.701385848754231e-06,2.817308223725458e-06,2.847935318624412e-06,2.5183828198641036e-06,5.348743980533378e-08,5.4937510362646424e-08,3.132728850486854e-08,4.281250793768977e-08
P0AC41,1.1797167814704259e-05,1.2196501131620958e-05,1.2631544054794835e-05,1.2915931972587551e-05,4.978404817805196e-07,5.464032506966192e-07,9.599973481644074e-07,2.402363346901285e-07
P27550,1.3603673089594313e-05,3.0411892034017877e-05,3.474095907275477e-05,3.867930433479564e-05,1.331799595471283e-06,4.075193532558396e-07,1.3132082529501303e-06,1.1758508517777873e-06
P23538,3.4455692781631104e-06,4.381551262695338e-06,4.501808153700465e-06,4.804947974301385e-06,4.38620969110164e-07,1.7350943000273535e-07,5.987404844421618e-08,1.9363940336434586e-07
P04079,4.414868194968175e-06,3.0762750285749445e-06,2.6649741316290996e-06,2.128507655282631e-06,9.977602120628077e-08,1.6611885154304697e-08,7.56852653382664e-08,6.321667736189415e-08
P0A9M0,2.7088276830483206e-06,2.4205042485528585e-06,2.111275802564336e-06,1.957278697865093e-06,2.884901482446461e-07,1.583009778553569e-07,2.715100682097736e-07,1.4620871873052242e-07
P22523,5.45114362042004e-07,5.597024491908248e-07,6.403641544835956e-07,6.295957049660259e-07,5.260353593705339e-08,2.384332433552914e-08,4.200788853412387e-08,1.4291822502728787e-08
P0A799,5.754398367904158e-05,5.630857251896649e-05,5.1363945864894725e-05,5.630008119888664e-05,2.3132681438974713e-06,4.104894936632658e-06,1.9980574941444045e-06,5.168347454057792e-06
P23843,1.2312514839569905e-05,1.287106788941438e-05,1.3197279304056658e-05,1.1258962523116292e-05,2.1546900969247335e-07,2.3811475595416604e-07,2.7978232124600117e-07,3.332652906842423e-07
P0A825,2.466409930918378e-05,1.9253346563769456e-05,1.6541135734799946e-05,1.350074471945976e-05,5.87005563558574e-07,1.145574120544283e-06,3.4736385043079884e-07,6.615364912535281e-07
P08997,2.13469016725937e-05,3.2452299843194877e-05,4.064145735335361e-05,4.20222204419165e-05,2.3887182971632346e-06,7.561385863464408e-07,2.0523935963443575e-06,7.732088561312636e-07
P21513,2.3795265155348915e-06,2.3369665695691536e-06,2.260533613007881e-06,2.276027987826972e-06,1.7418134093715403e-07,6.146222077966872e-08,2.280878415524952e-07,1.1107016580595622e-07
P0A9W3,4.831610915437149e-06,3.794699067834809e-06,3.3510785828615227e-06,3.540487981064179e-06,1.40599877639221e-07,9.562641650943719e-08,1.249952311407348e-07,3.8697533633031464e-07
P0A9A6,6.736720494723879e-06,6.215203316387667e-06,6.172532677052402e-06,5.85866463533239e-06,2.472376421563663e-07,2.0261562811423798e-07,1.9813829893338207e-07,2.267303213873635e-07
P0AES6,1.8027843577430097e-06,1.5767736908174359e-06,1.5912808500513407e-06,1.4067117424763926e-06,2.7456405768426036e-07,1.5499685380735392e-07,2.3566869389260357e-07,4.248269462278705e-08
P0A8M3,2.5451073285783667e-06,2.3557625473404862e-06,2.484420328673198e-06,2.8213263599105172e-06,1.0765803999886492e-07,5.8422911174044076e-08,1.7689072740153171e-07,7.927927071348553e-08
P00370,1.498227289257426e-05,1.2242446855061997e-05,9.70657244690924e-06,6.741152338945857e-06,1.1581296945959905e-06,6.07225364011075e-07,1.135668976288381e-06,1.6178765613470062e-07
P33602,2.809292446018519e-06,3.143105171761908e-06,3.0694146502503175e-06,3.2296415660600324e-06,6.01188583447963e-08,3.991743568137622e-08,1.64213683788392e-07,2.2542898131099025e-07
P0A9B2,6.324070783116653e-05,4.478872658711354e-05,3.697019669325029e-05,3.470415823105617e-05,5.135145475890724e-06,3.547267145699392e-06,1.378988336658236e-06,1.0758289051627411e-07
P15639,4.200915459013123e-06,2.664851959580196e-06,2.4314578798061337e-06,2.191730654944492e-06,2.4281291353095855e-07,1.1725348622152862e-07,1.0090550201195454e-07,5.2601535718667795e-08
P25516,1.823249402051754e-06,2.710797683021234e-06,3.495521625226243e-06,3.537853689411601e-06,2.1222623039882414e-07,1.1222702407707908e-07,7.340595412975113e-08,2.5295653879292956e-07
P00582,8.558109438202109e-07,8.311999058878667e-07,8.666582541883249e-07,8.956591618763545e-07,5.973560387865072e-08,6.699471241456206e-08,6.265939177781588e-08,5.1231704059327495e-08
P0A853,4.026032353102036e-06,6.417782187923151e-06,7.354558240403702e-06,9.860153655597634e-06,2.1297711147909774e-07,3.2473977870891154e-07,5.199672675965416e-07,3.027067172268474e-07
P33599,3.2427792936491913e-06,3.2976498778817625e-06,3.6134834431574325e-06,3.3297446488579773e-06,1.657060219054737e-07,2.1104959218443285e-08,8.92530410459886e-08,3.962396132140993e-08
P17846,3.6669638484122517e-06,2.9405263002264235e-06,2.5397901615796746e-06,2.5816058195259634e-06,2.2661836583187717e-07,2.478863671090875e-07,2.0826279324953327e-07,2.790715890907567e-07
P0ABH7,5.890956027200687e-05,5.57091896722584e-05,6.386549118156132e-05,6.604169173011827e-05,7.35191312194646e-06,3.175423811318729e-06,2.529073450789827e-06,3.4539804774851857e-06
P0A9C5,2.1343180755446654e-05,1.6663678515274595e-05,1.6830021819529388e-05,1.8434772984737443e-05,1.673305371227018e-06,7.365345903751369e-07,1.4945059375742097e-06,5.806953490192295e-07
P37685,2.612083837225166e-06,6.501319866906856e-06,1.1350815745827642e-05,1.8795670941140562e-05,1.0474456187272915e-07,3.887789280410301e-07,8.297446310200008e-07,4.755304748108562e-07
P09151,6.883696722032133e-06,7.992467436765993e-06,9.126392893410943e-06,1.325575559577005e-05,6.656534730205072e-07,2.1020189358694566e-07,3.011709654825612e-07,5.859043973330362e-07
P37330,1.5534829088910351e-06,3.2475272704915394e-06,4.191255612616316e-06,3.5958081057683063e-06,1.982244191744961e-07,1.5523180352949562e-07,7.628085214961695e-08,2.6285357253166325e-07
P06149,1.2279026585246506e-06,1.303187792145801e-06,1.254247084533659e-06,1.5568663666733106e-06,1.1358099591353018e-07,4.365679103688433e-08,2.1184233257773498e-07,4.9041290550209285e-08
P0A910,0.0002298038430014619,0.00021265351562091991,0.0001988210330469594,0.00018971114765202227,7.399683744647072e-06,6.93250460924199e-06,4.215005900595539e-06,2.9974361329019517e-06
P0ABB0,3.067896187738104e-05,2.8093721442220058e-05,2.590585964811268e-05,2.1959455215886153e-05,8.927577906317884e-07,3.3150591301819674e-07,1.3082459122296898e-06,8.059120064230219e-07
P60422,3.242407201934487e-05,2.3864626443669982e-05,2.0722761811258617e-05,2.1635437342619122e-05,2.7949550080675274e-06,1.1789125463172973e-06,2.1924681996311612e-06,7.485861320546216e-07
P16659,7.036254325060953e-06,5.8037802473929185e-06,5.209579061287597e-06,5.121062972610687e-06,4.7283629064409596e-07,3.621558874373182e-07,1.9014963573699727e-07,1.2239340504539542e-07
P17169,5.512538753346273e-06,4.456735173780673e-06,3.878295687492754e-06,3.6774711469982094e-06,2.8665201517400624e-07,4.323033118567252e-08,1.0742879054354928e-07,1.0186595077185039e-07
P0A6B7,2.3162709240351368e-05,1.7419694510077124e-05,1.5910401116474e-05,1.1467071563669918e-05,2.2027736487574148e-06,1.7071300619875585e-07,6.761920474501448e-07,1.7200607345504877e-07
P27298,1.7618542691255216e-06,1.6937264413946232e-06,1.8970186230566664e-06,1.5832092831990858e-06,1.745997580703392e-07,8.587193057870738e-08,1.2596203657096267e-07,4.068847857821651e-08
P00452,1.8976677449926417e-06,1.8044138660480322e-06,1.9210924634507867e-06,1.4304203673495902e-06,3.0647334081631165e-07,3.284033236207419e-08,1.9864096072081135e-07,7.752878391034779e-08
P35340,3.782312279970628e-06,3.7487533443937705e-06,3.355893350940347e-06,2.892452234530111e-06,2.2769519925423184e-07,2.657866121175183e-07,2.4833610796958564e-08,1.4867204485484764e-07
P13035,1.9348769164630862e-07,2.0884419745926302e-07,2.3833101990178935e-07,2.1601191551135617e-07,1.1125542269662744e-08,1.2906571402982454e-08,4.0992935423107765e-08,1.3003917313783637e-08
P0ADG7,1.3028791390375952e-05,8.397625179836967e-06,6.728638390156579e-06,6.583094839791208e-06,8.768376605723016e-07,2.1917801719374482e-07,1.4735718074442905e-07,6.780587684984943e-08
P0AG30,5.18881896155341e-06,4.6217220897734894e-06,4.451253088872813e-06,4.839193765784893e-06,3.13404665277826e-07,3.433939512701703e-07,2.764228168190017e-07,2.1002100943506442e-07
P0AAI3,4.353473062041943e-06,3.89912116656444e-06,3.798852014192157e-06,3.930363145645651e-06,1.6543197635759382e-07,1.5830431936251626e-07,1.3561901690666001e-07,5.384597509534541e-08
P0A817,1.4303205513238658e-05,1.0935082178967012e-05,1.039026951410225e-05,9.625701698518235e-06,7.480576483423819e-07,4.056915488396761e-07,3.2729348969422086e-07,3.5422582250547104e-07
P38038,3.7302194399120065e-06,2.7442127546147158e-06,2.1834973237466965e-06,1.988890197696023e-06,1.7942355505976755e-07,4.884698703214194e-08,3.9521301559815206e-08,6.125781808903752e-08
P61889,0.00013294650920532273,0.00012623796359622613,0.00011805329852468634,0.00011143053690402884,4.932315491517473e-06,2.6888686245996162e-06,5.631142339627537e-06,2.005749664272519e-06
P0AD96,5.522585229643293e-05,7.260468524671278e-05,7.330484400009582e-05,6.1223572297554e-05,3.6780417629424324e-06,1.02372606197865e-06,1.92058691280251e-06,1.457121020681785e-06
P00350,1.5279946264337816e-05,1.0870340477754639e-05,9.424908514298033e-06,7.779063250061399e-06,4.96598253590979e-07,1.4131442621081033e-07,8.953663088583132e-08,6.61220376255219e-08
P0A7Z4,3.002408045950123e-05,2.941570521213719e-05,2.574456491747207e-05,2.5449891655551358e-05,1.1349102413691464e-06,1.1589787853582052e-06,8.933364026362811e-07,9.772758395731722e-07
P0AFF6,6.86509213629691e-06,6.509673634805227e-06,5.970312417741793e-06,5.8797389685530106e-06,2.8352830522906237e-07,5.598319325932495e-08,1.49854841685319e-07,1.3111817899873216e-07
Q59385,5.365562526038018e-06,6.528469612576562e-06,5.809017687101189e-06,6.259076966524173e-06,3.2247030781488493e-07,7.768878838966109e-07,4.79243959185848e-07,4.312504029935155e-07
P0AEE5,3.860451540058561e-05,6.181788244794185e-05,5.749073824519829e-05,5.2048334471626516e-05,2.829710978862925e-06,3.548346452511862e-06,2.667570254577201e-06,1.363666363156615e-06
P0A8N3,4.4520773664386195e-06,3.750841786368363e-06,3.4305222561621194e-06,3.2507158992806523e-06,2.404121777876855e-07,1.5453468159837659e-07,2.3327551341902414e-07,1.1084941216547024e-07
P00959,2.8018506117244303e-06,2.4768921818668593e-06,2.344792054387301e-06,2.212804988165112e-06,2.9167264868051314e-07,1.45888949511958e-07,1.6249408936903995e-07,4.226457527395364e-08
P13009,6.437186664386805e-07,5.325527035211206e-07,5.27217104631231e-07,4.952468306845726e-07,4.2807291318172254e-08,2.3538829495633532e-08,5.224721506895499e-08,4.199693124205175e-08
P0ABK5,0.00010296149837586548,9.062167416152341e-05,7.856979289428988e-05,7.75087632937882e-05,7.1043433879347185e-06,8.155950674537107e-07,1.972101801646676e-06,7.053297459734725e-07
P0AB71,2.533200393707825e-05,1.9591674163653463e-05,1.995480630268618e-05,1.861653910876529e-05,1.0082137566957144e-06,5.113426956713554e-07,5.447662120633328e-07,5.02646555936663e-07
P77804,2.491154029946223e-06,2.5708720707235274e-06,2.689047972023219e-06,2.942503775929083e-06,1.2131920125838104e-07,1.671066845970293e-07,1.755948325731162e-07,1.562469505018343e-07
P32132,2.5525491628724553e-06,1.844094263565292e-06,1.8657226305443107e-06,1.7096552825228064e-06,1.3171153680421873e-07,1.2576722877515293e-07,1.300408673489384e-07,5.351221034296384e-08
P06971,2.1041786466536057e-06,1.5015897797321008e-06,1.271098772809543e-06,1.2170427434908116e-06,3.6844168102904634e-07,2.4325754431660037e-08,9.024801286947758e-08,3.833684641996057e-08
P0ADY1,2.2083643267708494e-06,2.552076092952194e-06,2.330347750150829e-06,2.7686405268589667e-06,2.594828083955748e-07,2.855773148013505e-07,4.2994915990282804e-07,4.6485474445962055e-07
P30850,1.681854550464067e-06,1.2488883008063929e-06,1.0929523538930544e-06,9.720536198011026e-07,1.1419792397651014e-07,4.633375595991717e-08,9.202658819779516e-08,3.635480538056124e-08
P00962,1.514413278847069e-06,1.2885686983236528e-06,1.2518397004942474e-06,1.2170427434908116e-06,2.1807551215397793e-08,6.15935837798706e-08,1.4646524495782688e-08,1.1707951192381605e-07
P0A9P0,2.5363631732828126e-05,2.2803697920576927e-05,2.1500346855988695e-05,1.955171264543031e-05,1.455872461464334e-06,4.2642915111478856e-07,8.621639089251466e-07,5.278962414266184e-07
P0A870,1.8546911519442793e-05,1.4518848607367963e-05,1.1745626728291214e-05,9.941816696827538e-06,9.75567545922691e-07,1.0163194025157572e-07,2.6427660138655226e-07,1.202959820316132e-07
P00934,1.631436123121615e-05,1.0638523418574857e-05,8.240475566907322e-06,7.881800624511923e-06,2.1730729159979917e-06,8.14910893862834e-07,2.991292630787358e-07,3.4995194772832933e-07
P0ACY3,1.653947671861234e-06,1.9485163622949237e-06,3.016452201383253e-06,3.7696713548384217e-06,2.3039491069026995e-07,3.974973379081645e-08,1.975776191906031e-07,1.2477612184515176e-07
P36938,2.8334784074743073e-06,3.2663232482628733e-06,3.2933013659156346e-06,3.70908264682914e-06,1.30906702425313e-07,2.400747587473212e-07,1.702636806178383e-07,3.1453020845111107e-07
P68767,3.0753380220321933e-06,3.0679212606765734e-06,3.1994133883785662e-06,3.2638873575435393e-06,1.891332883549799e-07,1.1443346302323618e-07,3.8840878534915795e-07,4.602081174136391e-08
P21177,1.6055757489496567e-06,3.5273784950869525e-06,5.250504589957602e-06,5.268583305155028e-06,2.6379609555242863e-07,3.308681028391561e-07,4.573189497853072e-07,2.7870805684270104e-07
P23865,7.851135180263675e-07,7.288662491328278e-07,6.981413714294838e-07,7.086244545433514e-07,3.5016062903975995e-08,2.1793100849071554e-08,2.6040673154319754e-08,4.932026203621724e-08
P23845,2.853943451783052e-06,1.952693246244109e-06,1.3866532067013199e-06,9.957622446743002e-07,3.139337796961357e-07,6.365779982755796e-08,1.9621142874823677e-07,2.8180071524282694e-08
P0A786,3.7590565478016006e-05,2.528894387034216e-05,1.7939825861698326e-05,1.8982705648473565e-05,1.9096007262832133e-06,1.2062826226153208e-06,8.844334149817274e-07,7.896805549765001e-07
P75691,3.2483606693697575e-06,5.386091852474392e-06,7.2510407267089855e-06,9.025083201730562e-06,6.681877896893592e-07,7.077324694151351e-07,4.3578754767521e-07,6.525135154851197e-07
P0A8M0,8.122762131997915e-06,7.424411219676799e-06,7.332891784048993e-06,7.036193004034539e-06,7.846588219509987e-07,1.5962484122305115e-07,3.395128896014683e-07,1.808301602036876e-07
P0A8L1,3.819521451441072e-06,3.5419975889091e-06,3.2090429245362137e-06,3.216470107797144e-06,1.6844089600855129e-07,1.9799766522001871e-07,3.562037646235198e-08,4.3422346455261456e-08
P0AEX9,2.518316725119647e-05,3.79449022363735e-05,3.56702093119678e-05,2.4256557536933748e-05,2.4528404902665365e-06,5.65379043321965e-07,1.933325344708655e-06,9.7753926873843e-07
P05791,1.5646456603321683e-06,1.0651054070422411e-06,9.220280870948013e-07,7.296987877639714e-07,9.794681833679376e-08,7.583550498140756e-08,3.586689258798777e-08,3.918482490292526e-08
P0ABZ6,1.914411872154342e-06,2.0529384610245554e-06,2.1184979546825723e-06,2.1364105302403637e-06,9.438050529720903e-08,6.569403075278577e-08,6.058904150392156e-08,6.537416222535513e-08
P21499,9.246479110405326e-07,7.330431330820131e-07,7.823998128089044e-07,8.587790787402696e-07,5.843774797776165e-08,6.223536199866291e-08,1.4865596443369183e-07,8.012408804646714e-08
P77748,5.097656491450823e-07,6.223557084286038e-07,6.259198502471237e-07,6.691100797546886e-07,2.4366798029134933e-08,1.3193941018686399e-08,3.8118518880049826e-08,6.824922813497823e-09
P0A7V0,3.8786840340790786e-05,2.8684750521029773e-05,2.576141660574796e-05,2.337670412497286e-05,7.95130226986211e-07,1.3194985239673695e-07,2.859517243238023e-07,7.43379191174137e-07
P17315,6.827882964826467e-07,5.262873775973427e-07,2.816639326112056e-07,2.950406650886816e-07,7.531154910203593e-08,1.5630735114641083e-08,5.585395783680206e-08,3.4755790347446684e-08
P00509,1.4738552819442852e-05,1.3957057716202545e-05,1.0443231962969315e-05,8.2005499144738e-06,5.084800722707785e-07,1.5911045796470897e-07,2.830115861964684e-07,2.246950676565821e-07
P0AGE9,2.8779433673814884e-05,2.733979388939212e-05,2.4921239575993163e-05,2.35242244575172e-05,1.0044022352161393e-06,4.2650078467451716e-07,8.597827653717641e-07,3.434536770797512e-07
P0A836,2.8816642845285328e-05,2.6851098467337448e-05,2.5099385994909655e-05,2.4901958991815237e-05,1.7751051992695757e-06,1.917168430567893e-06,1.5160029140925432e-06,6.026274076019287e-07
P05020,6.331140525696041e-06,4.778355237867938e-06,3.493114241186832e-06,3.034703983769296e-06,7.027565983522604e-08,3.426080705551311e-07,2.3438796558363633e-07,1.0712505062705613e-07
P69786,1.749203150825571e-05,1.4103248654424032e-05,9.43453805045568e-06,6.27224842478706e-06,1.1667185016006555e-06,8.377329700727874e-07,8.642036854217405e-07,4.2902179225543496e-07
P04805,3.006501054811872e-06,2.627260004037529e-06,2.445902184042606e-06,2.1469476968506734e-06,1.1304443966092638e-07,1.9809540430442963e-07,1.4944462344500325e-07,4.3797733015753745e-08
P0C0V0,2.4297588970199907e-06,2.48524594976523e-06,2.9947857450285445e-06,2.874012192962068e-06,9.889118710871361e-08,8.052196877239346e-08,9.882792958594197e-08,7.874793408716067e-08
