Protein,MW,Rxn,0.05213,0.39457,0.28828,0.18299
YBR199W,54525.2,YBR199W_translation_Ribosome,0.0,0.0,0.0,0.0
YBR204C,43282.2,YBR204C_translation_Ribosome,0.0,0.0,0.0,0.0
YBR205W,47490.8,YBR205W_translation_Ribosome,0.0,0.0,0.0,0.0
YBR208C,201800.7,YBR208C_translation_Ribosome,0.0,0.0,0.0,0.0
YBR213W,31914.1,YBR213W_translation_Ribosome,0.0,0.0,0.0,0.0
YBR218C,130152.0,YBR218C_translation_Ribosome,0.0005895670042979736,0.005000923903510628,0.0035963943300767196,0.0022544791855028425
YBR221C,40044.9,YBR221C_translation_Ribosome,3.109566580751761e-05,3.835305591212541e-05,4.936727415761844e-05,8.244816475293713e-05
YBR244W,18410.3,YBR244W_translation_Ribosome,0.0,0.0,0.0,0.0
YBR247C,55107.9,YBR247C_translation_Ribosome,5.324096545665774e-06,5.7245432774264245e-05,3.560373254542219e-05,1.9073865383860137e-05
YBR248C,61054.6,YBR248C_translation_Ribosome,8.214780354060635e-07,8.458250083658925e-06,6.2418921527688025e-06,3.8095791123748374e-06
YBR249C,39747.7,YBR249C_translation_Ribosome,0.0,0.0,0.0,0.0
YBR251W,34898.6,YBR251W_translation_Ribosome,1.0137205958682224e-05,6.0409137182461826e-05,5.7513835876856144e-05,6.405393827794215e-05
YBR252W,15307.5,YBR252W_translation_Ribosome,0.0,5.47392586195402e-06,0.0,0.0
YBR256C,26188.0,YBR256C_translation_Ribosome,2.4886028162958163e-06,1.34404639766047e-05,1.0778244109472273e-05,7.573931609002487e-06
YBR257W,32894.6,YBR257W_translation_Ribosome,0.0,0.0,0.0,0.0
YBR263W,53693.0,YBR263W_translation_Ribosome,0.0,0.0,0.0,0.0
YBR265W,35968.9,YBR265W_translation_Ribosome,1.467729857868242e-05,6.212790289088109e-05,5.4088416518072116e-05,4.0978161991173025e-05
YBR267W,45854.0,YBR267W_translation_Ribosome,4.43005672516932e-06,4.763259123340052e-05,2.962503655805771e-05,1.587091911162506e-05
YBR268W,11955.9,YBR268W_translation_Ribosome,3.472902085510845e-06,2.0695546619056216e-05,1.9703646288392782e-05,2.1944217838459096e-05
YBR282W,16509.4,YBR282W_translation_Ribosome,4.795584580879127e-06,2.8577610832530117e-05,2.7207937339187502e-05,3.0301848458272197e-05
YBR291C,32187.7,YBR291C_translation_Ribosome,1.960026970102105e-06,2.6680146083945944e-05,1.9219121427444732e-05,1.1194283194556445e-05
YBR293W,51697.6,YBR293W_translation_Ribosome,0.0,0.0,0.0,0.0
YBR294W,95946.6,YBR294W_translation_Ribosome,2.451869114639521e-06,2.4555799316377496e-05,1.790515960591488e-05,1.1117847493927979e-05
YBR296C,62649.9,YBR296C_translation_Ribosome,0.0,7.602988109740615e-05,0.0,3.5217287467932134e-05
YBR298C,68258.5,YBR298C_translation_Ribosome,0.0,0.0,0.0,0.0
YBR299W,68126.7,YBR299W_translation_Ribosome,0.0,0.0,0.0,0.0
YCL004W,59398.0,YCL004W_translation_Ribosome,4.008301136462311e-07,1.6966837761674896e-06,1.477129188567992e-06,1.1190943101618148e-06
YCL009C,33982.2,YCL009C_translation_Ribosome,1.0664623160174881e-05,0.00010050582895859582,1.1150689342551743e-05,4.4935545114346785e-05
YCL018W,38946.2,YCL018W_translation_Ribosome,1.8946098559126312e-05,0.00017715265767001296,0.00012847905795164926,7.971608476218384e-05
YCL025C,69669.0,YCL025C_translation_Ribosome,0.0,0.0,0.0,0.0
YCL030C,87696.9,YCL030C_translation_Ribosome,1.3957065093441842e-05,0.00014370724706702997,0.00010605091229173837,6.472545991293529e-05
YCL031C,34476.8,YCL031C_translation_Ribosome,3.330880178442832e-06,3.581409084127238e-05,2.2274533528260228e-05,1.1933059362927442e-05
YCL035C,12374.3,YCL035C_translation_Ribosome,0.0,0.0,0.0,0.0
YCL038C,58848.1,YCL038C_translation_Ribosome,0.0,0.0,0.0,0.0
YCL040W,55367.0,YCL040W_translation_Ribosome,8.442491035298842e-05,0.00131991724252442,0.0009842701281355503,0.0
YCL050C,36475.7,YCL050C_translation_Ribosome,2.7578519629242845e-05,0.00033786950388636777,0.00024110980813588556,0.0001449790075416569
YCL052C,47911.7,YCL052C_translation_Ribosome,0.0,0.0,0.0,0.0
YCL054W,96489.0,YCL054W_translation_Ribosome,9.322016473041884e-06,0.00010023162854973575,6.23389486729714e-05,3.339663091903847e-05
YCL059C,37173.7,YCL059C_translation_Ribosome,3.5914336739308834e-06,3.861559856791253e-05,2.4016928108742314e-05,1.2866506428660889e-05
YCL064C,39309.9,YCL064C_translation_Ribosome,3.874349649853104e-07,7.680429422299492e-06,5.438205788317531e-06,3.1788386670355632e-06
YCL069W,50236.8,YCL069W_translation_Ribosome,0.0,0.0,0.0,0.0
YCR003W,21455.4,YCR003W_translation_Ribosome,6.232278908778879e-06,3.713908872861924e-05,3.5359078996644544e-05,3.93798853629819e-05
YCR005C,51405.7,YCR005C_translation_Ribosome,0.0,0.0,0.0,0.0
YCR010C,30719.3,YCR010C_translation_Ribosome,0.0,0.0,0.0,0.0
YCR012W,44738.8,YCR012W_translation_Ribosome,2.7272405523757046e-05,0.0005521090154790926,0.00040584464198722265,9.985747785453374e-05
YCR024C,56791.5,YCR024C_translation_Ribosome,1.7234564315107786e-07,1.1316736415976905e-06,1.0463237720938185e-06,1.1310631080172175e-06
YCR024CA,4505.7,YCR024CA_translation_Ribosome,1.6446602482354153e-06,0.0002065001645507404,0.00031531422662468497,5.179284653005565e-06
YCR028C,58256.0,YCR028C_translation_Ribosome,0.0,0.0,0.0,0.0
YCR031C,14549.0,YCR031C_translation_Ribosome,0.0,0.0020723709584855457,0.0017024297779345407,0.0013369387757503222
YCR034W,40017.5,YCR034W_translation_Ribosome,3.4944811274795707e-07,3.5873756323752765e-06,1.2877775138551742e-06,1.463458138593748e-06
YCR036W,36913.3,YCR036W_translation_Ribosome,0.0,0.0,0.0,0.0
YCR037C,102531.5,YCR037C_translation_Ribosome,0.0,0.0,9.085916927521185e-05,0.0
YCR046C,19412.1,YCR046C_translation_Ribosome,5.638749284800397e-06,3.3602156301389374e-05,3.1991665379846726e-05,3.5629551192461614e-05
YCR048W,71619.6,YCR048W_translation_Ribosome,0.0,0.0,0.0,0.0
YCR053W,57465.6,YCR053W_translation_Ribosome,1.4893140162432689e-07,1.5860392516989253e-06,1.1370668724740394e-06,6.942110128863359e-07
YCR057C,103944.0,YCR057C_translation_Ribosome,1.0042260571400528e-05,0.00010797579411097362,6.715542373600453e-05,3.597694456620481e-05
YCR071C,16394.5,YCR071C_translation_Ribosome,4.762208887738067e-06,2.8378720050026946e-05,2.7018579034205327e-05,3.0090957548375082e-05
YCR072C,57039.7,YCR072C_translation_Ribosome,5.510732031810539e-06,5.9252163697295676e-05,3.6851816586571396e-05,1.9742497161673136e-05
YCR075C,30121.6,YCR075C_translation_Ribosome,0.0,0.0,0.0,0.0
YCR083W,14437.3,YCR083W_translation_Ribosome,0.0,0.0,0.0,0.0
YCR098C,57329.2,YCR098C_translation_Ribosome,0.0,0.0,0.0,0.0
YCR105W,39347.9,YCR105W_translation_Ribosome,0.0,0.0,0.0,0.0
YDL004W,17019.6,YDL004W_translation_Ribosome,0.00032605756716171206,0.0004151015026975583,0.0005251731495836569,0.0008623175042612544
YDL007W,48822.7,YDL007W_translation_Ribosome,0.0003507075616209907,0.00040218541018691725,0.00038320527714499317,0.00036939532376723346
YDL014W,34487.0,YDL014W_translation_Ribosome,3.3318656230844498e-06,3.582468648026964e-05,2.228112347402051e-05,1.1936589771941672e-05
YDL015C,36783.1,YDL015C_translation_Ribosome,9.84937183136275e-07,8.190072797587863e-06,3.6296660669551064e-06,2.7498871965655396e-06
YDL022W,42854.2,YDL022W_translation_Ribosome,5.814731602571733e-07,2.4613322295276913e-06,2.1428304614411376e-06,1.623439165375172e-06
YDL031W,112966.8,YDL031W_translation_Ribosome,1.0913973307908964e-05,0.00011734857171337964,7.298481222678053e-05,3.9099902845970375e-05
YDL042C,63270.6,YDL042C_translation_Ribosome,0.0,0.0,0.0,0.0
YDL045C,35535.4,YDL045C_translation_Ribosome,0.0,0.0,0.0,0.0
YDL045WA,10701.8,YDL045WA_translation_Ribosome,3.1086161258223946e-06,1.8524711716208386e-05,1.7636855598417675e-05,1.9642405043837896e-05
YDL052C,33904.4,YDL052C_translation_Ribosome,0.0,0.0,0.0,0.0
YDL055C,39562.2,YDL055C_translation_Ribosome,4.6267175615887275e-06,2.3314901796754097e-05,2.102339237058642e-05,1.4958234008394049e-05
YDL061C,6735.9,YDL061C_translation_Ribosome,0.0004104505724744453,0.000959466873273956,0.0007881914043019639,0.0006189762801276098
YDL066W,48196.9,YDL066W_translation_Ribosome,9.367721878884059e-06,9.565492218058607e-05,6.791396162672756e-05,4.1206602827527356e-05
YDL067C,6967.3,YDL067C_translation_Ribosome,5.343483779734896e-06,6.8771407270486085e-06,8.654088984045471e-06,1.4145487627804977e-05
YDL075W,12962.3,YDL075W_translation_Ribosome,0.0,0.0,0.0,0.0
YDL078C,37193.6,YDL078C_translation_Ribosome,0.0,0.0,0.0,0.0
YDL080C,68359.0,YDL080C_translation_Ribosome,0.0,0.0,0.0,0.0
YDL081C,10889.9,YDL081C_translation_Ribosome,0.0,0.0,0.0,0.0
YDL082W,22580.6,YDL082W_translation_Ribosome,0.0,0.0,0.0,0.0
YDL083C,15863.7,YDL083C_translation_Ribosome,0.0009666510409244284,0.002259637856493721,0.0018562674594968848,0.0014577493749996827
YDL085W,61664.8,YDL085W_translation_Ribosome,0.0004047061873849119,0.0014059026520221098,0.0012188635971395662,0.001206748536364714
YDL088C,58795.0,YDL088C_translation_Ribosome,0.0,0.0,0.0,0.0
YDL090C,48184.5,YDL090C_translation_Ribosome,0.0,0.0,0.0,0.0
YDL093W,84779.5,YDL093W_translation_Ribosome,2.6911923498679818e-05,0.00013600308727795967,0.00012269952071615142,8.721928797126191e-05
YDL095W,92666.0,YDL095W_translation_Ribosome,0.0,0.0,0.0,0.0
YDL097C,49767.3,YDL097C_translation_Ribosome,0.00035749289636706564,0.00040996671557278424,0.0003906193633137459,0.00037654222106768033
YDL100C,39337.1,YDL100C_translation_Ribosome,0.0,0.0,0.0,0.0
YDL103C,53476.5,YDL103C_translation_Ribosome,4.893151272705079e-10,2.642696656220955e-09,2.1192445229283717e-09,1.4892048200417385e-09
YDL112W,165023.2,YDL112W_translation_Ribosome,0.0,0.0,0.0,0.0
YDL116W,83590.5,YDL116W_translation_Ribosome,0.0,0.0,0.0,0.0
YDL119C,34222.1,YDL119C_translation_Ribosome,1.5657981483607212e-08,1.5178228781100687e-07,1.3998333681679257e-07,1.4559931075247693e-07
YDL130W,10650.6,YDL130W_translation_Ribosome,0.0006489919486922797,0.0015170798082649083,0.00124626425134852,0.0009787064488972698
YDL131W,48586.7,YDL131W_translation_Ribosome,0.0,0.0,0.0,0.0
YDL133CA,3354.4,YDL133CA_translation_Ribosome,0.00020439961999261852,0.0004778033640211639,0.00039251016888470846,0.0003082430015380357
YDL136W,13932.9,YDL136W_translation_Ribosome,0.0,0.0,0.0,0.0
YDL141W,76359.6,YDL141W_translation_Ribosome,1.9819592495392835e-08,8.389484694949459e-08,7.303867045848688e-08,5.533514682700886e-08
YDL142C,32035.0,YDL142C_translation_Ribosome,2.040643536596843e-07,8.637890875975147e-07,7.520128924314534e-07,5.697357791059147e-07
YDL143W,57606.3,YDL143W_translation_Ribosome,1.532306985275286e-05,0.0002475555446517078,0.00012609165051959782,5.6134586755989934e-05
YDL147W,51759.9,YDL147W_translation_Ribosome,0.00037180631793707274,0.00042638110167470916,0.00040625911357825624,0.00039161834594685725
YDL148C,94302.2,YDL148C_translation_Ribosome,9.110744870856682e-06,9.796000665177263e-05,6.092611598781503e-05,3.2639738915869684e-05
YDL153C,70198.8,YDL153C_translation_Ribosome,6.782061892938808e-06,7.292168067072091e-05,4.535355729776643e-05,2.4297105520415784e-05
YDL168W,41039.5,YDL168W_translation_Ribosome,0.0,0.0,0.0,0.0
YDL171C,238081.4,YDL171C_translation_Ribosome,0.0,0.0,0.0,0.0
YDL174C,65288.3,YDL174C_translation_Ribosome,0.0,0.0,0.0,0.0
YDL178W,59259.9,YDL178W_translation_Ribosome,0.0,0.0,0.0,0.0
YDL182W,47098.4,YDL182W_translation_Ribosome,0.00037909331361836695,0.003594201763605358,0.00253680328606429,0.0015562558235558178
YDL184C,3354.4,YDL184C_translation_Ribosome,0.0,0.0,0.0,0.0
YDL185W,118621.8,YDL185W_translation_Ribosome,0.0,0.0,0.0,0.0
YDL191W,13932.9,YDL191W_translation_Ribosome,0.0008489981711767095,0.001984613191798973,0.001630337745067301,0.0012803240269882235
YDL198C,33234.9,YDL198C_translation_Ribosome,0.0,0.0,0.0,0.0
YDL202W,28528.4,YDL202W_translation_Ribosome,8.286815702396941e-06,4.938238293788703e-05,4.7015574132753265e-05,5.236188193132231e-05
YDL205C,36670.0,YDL205C_translation_Ribosome,0.0,0.0,0.0,0.0
YDL210W,61871.5,YDL210W_translation_Ribosome,0.0,0.0,0.0,0.0
YDL213C,25238.4,YDL213C_translation_Ribosome,2.438337847352758e-06,2.6217350516531944e-05,1.6305851674158935e-05,8.735477927919876e-06
YDL215C,124306.9,YDL215C_translation_Ribosome,0.0,0.0,0.0,0.0
YDL217C,21863.2,YDL217C_translation_Ribosome,0.0,0.0,0.0,0.0
YDL229W,66590.2,YDL229W_translation_Ribosome,0.00038007046227489104,0.004438025970533692,0.002913179880795281,0.001421291539554642
YDL238C,55192.1,YDL238C_translation_Ribosome,0.0,0.0,0.0,0.0
YDL245C,62937.0,YDL245C_translation_Ribosome,0.0,0.0,0.0,0.0
YDL247W,68201.9,YDL247W_translation_Ribosome,0.0,0.0,0.0,0.0
YDR001C,85881.1,YDR001C_translation_Ribosome,0.0,0.0,0.0,0.0
YDR007W,24139.7,YDR007W_translation_Ribosome,3.4126136027262654e-07,3.611599147636318e-06,2.3451304899080402e-06,1.3219197713163228e-06
YDR012W,39096.8,YDR012W_translation_Ribosome,0.0,0.0,0.0,0.0
YDR017C,119538.6,YDR017C_translation_Ribosome,0.0,0.0,0.0,0.0
YDR019C,44475.5,YDR019C_translation_Ribosome,0.0,0.0,0.0,0.0
YDR021W,45223.0,YDR021W_translation_Ribosome,4.369094414496712e-06,4.697711591896175e-05,2.921736442327919e-05,1.565251831868583e-05
YDR023W,53302.0,YDR023W_translation_Ribosome,0.0,0.0,0.0,0.0
YDR025W,17775.3,YDR025W_translation_Ribosome,0.0010831339629307156,0.002531927658146135,0.002079950514242892,0.001633410393882377
YDR035W,41070.5,YDR035W_translation_Ribosome,1.8449507240025162e-06,2.5113713017686036e-05,1.8090736777162444e-05,1.0537049336321237e-05
YDR037W,67946.3,YDR037W_translation_Ribosome,0.00010264056228336953,0.0005087548001887061,0.00037867441921090477,0.0002537619152009359
