Entry	Entry name	Protein names	Gene names	Organism	Length	Mass	Gene names  (synonym )	Gene names  (primary )	Gene names  (ORF )	Gene names  (ordered locus )
P0AE82	CPXA_ECOLI	Sensor histidine kinase CpxA (EC 2.7.13.3)	cpxA ecfB eup ssd b3911 JW3882	Escherichia coli (strain K12)	457	"51,624"	ecfB eup ssd	cpxA		b3911 JW3882
P42641	OBG_ECOLI	GTPase ObgE/CgtA (EC 3.6.5.-) (GTP-binding protein Obg)	obgE cgtA obg yhbZ b3183 JW3150	Escherichia coli (strain K12)	390	"43,286"	cgtA obg yhbZ	obgE		b3183 JW3150
P69776	LPP_ECOLI	Major outer membrane lipoprotein Lpp (Braun lipoprotein) (BLP) (Murein-lipoprotein)	lpp mlpA mulI b1677 JW1667	Escherichia coli (strain K12)	78	"8,323"	mlpA mulI	lpp		b1677 JW1667
P0AEV1	RSSB_ECOLI	Regulator of RpoS	rssB hnr sprE ychL b1235 JW1223	Escherichia coli (strain K12)	337	"37,302"	hnr sprE ychL	rssB		b1235 JW1223
P0A940	BAMA_ECOLI	Outer membrane protein assembly factor BamA (Omp85)	bamA yaeT yzzN yzzY b0177 JW0172	Escherichia coli (strain K12)	810	"90,553"	yaeT yzzN yzzY	bamA		b0177 JW0172
P0DTT0	BIPA_ECOLI	50S ribosomal subunit assembly factor BipA (EC 3.6.5.-) (GTP-binding protein BipA/TypA) (Ribosome assembly factor BipA) (Ribosome-dependent GTPase BipA) (Tyrosine phosphorylated protein A)	bipA o591 typA yihK b3871 JW5571	Escherichia coli (strain K12)	607	"67,355"	o591 typA yihK	bipA		b3871 JW5571
Q46865	MQSR_ECOLI	mRNA interferase toxin MqsR (EC 3.1.-.-) (Endoribonuclease MqsR) (Motility quorum-sensing regulator MqsR) (Toxin MqsR)	mqsR ygiU b3022 JW2990	Escherichia coli (strain K12)	98	"11,232"	ygiU	mqsR		b3022 JW2990
P23874	HIPA_ECOLI	Serine/threonine-protein kinase toxin HipA (Ser/Thr-protein kinase HipA) (EC 2.7.11.1) (Toxin HipA)	hipA b1507 JW1500	Escherichia coli (strain K12)	440	"49,276"		hipA		b1507 JW1500
P76129	DOSP_ECOLI	Oxygen sensor protein DosP (EC 3.1.4.52) (Direct oxygen-sensing phosphodiesterase) (Direct oxygen sensor protein) (Ec DOS) (Heme-regulated cyclic di-GMP phosphodiesterase)	dosP dos pdeO yddU b1489 JW1484	Escherichia coli (strain K12)	799	"90,260"	dos pdeO yddU	dosP		b1489 JW1484
P0C077	RELE_ECOLI	mRNA interferase toxin RelE (EC 3.1.-.-) (Endoribonuclease RelE) (Toxin RelE)	relE b1563 JW1555	Escherichia coli (strain K12)	95	"11,225"		relE		b1563 JW1555
P0C0V0	DEGP_ECOLI	Periplasmic serine endoprotease DegP (EC 3.4.21.107) (Heat shock protein DegP) (Protease Do)	degP htrA ptd b0161 JW0157	Escherichia coli (strain K12)	474	"49,354"	htrA ptd	degP		b0161 JW0157
P0ABG4	FTSW_ECOLI	Probable peptidoglycan glycosyltransferase FtsW (PGT) (EC 2.4.1.129) (Cell division protein FtsW) (Cell wall polymerase) (Lipid II flippase FtsW) (Peptidoglycan polymerase) (PG polymerase)	ftsW b0089 JW0087	Escherichia coli (strain K12)	414	"45,987"		ftsW		b0089 JW0087
P69910	DCEB_ECOLI	Glutamate decarboxylase beta (GAD-beta) (EC 4.1.1.15)	gadB b1493 JW1488	Escherichia coli (strain K12)	466	"52,668"		gadB		b1493 JW1488
P0A7Y0	RNC_ECOLI	Ribonuclease 3 (EC 3.1.26.3) (Ribonuclease III) (RNase III)	rnc b2567 JW2551	Escherichia coli (strain K12)	226	"25,550"		rnc		b2567 JW2551
A0A7H2C789	A0A7H2C789_ECOLI	Protein YfiS	yfiS ECK4639 b4783	Escherichia coli (strain K12)	20	"2,162"	ECK4639	yfiS	b4783	
A0A7H2C788	A0A7H2C788_ECOLI	Protein PssL	pssL ECK4639 b4782	Escherichia coli (strain K12)	13	"1,604"	ECK4639	pssL	b4782	
A0A7H2C772	A0A7H2C772_ECOLI	Putative translational regulatory protein ArgL	argL ECK4623 b4766	Escherichia coli (strain K12)	31	"3,681"	ECK4623	argL	b4766	
A0A7H2C774	A0A7H2C774_ECOLI	Protein YbgV	ybgV ECK4625 b4768	Escherichia coli (strain K12)	10	"1,172"	ECK4625	ybgV	b4768	
A0A7H2C779	A0A7H2C779_ECOLI	Protein YnaN	ynaN ECK4630 b4773	Escherichia coli (strain K12)	15	"1,992"	ECK4630	ynaN	b4773	
A0A7H2C766	A0A7H2C766_ECOLI	NAD-dependent protein deacylase (EC 2.3.1.286) (Regulatory protein SIR2 homolog)	cobB ECK1106 ycfY b1120	Escherichia coli (strain K12)	242	"26,716"	ECK1106 ycfY	cobB	b1120	
A0A7H2C7A8	A0A7H2C7A8_ECOLI	Protein YkiE	ykiE ECK4658 b4801	Escherichia coli (strain K12)	22	"2,720"	ECK4658	ykiE	b4801	
A0A7H2C780	A0A7H2C780_ECOLI	Protein YncP	yncP ECK4631 b4774	Escherichia coli (strain K12)	22	"2,400"	ECK4631	yncP	b4774	
A0A7H2C7A1	A0A7H2C7A1_ECOLI	Protein YibX-S	yibX ECK4652 b4795	Escherichia coli (strain K12)	24	"2,660"	ECK4652	yibX	b4795	
A0A7H2C778	A0A7H2C778_ECOLI	Protein YmiD	ymiD ECK4629 b4772	Escherichia coli (strain K12)	42	"4,937"	ECK4629	ymiD	b4772	
A0A7H2C792	A0A7H2C792_ECOLI	Protein YqhJ	yqhJ ECK4643 b4786	Escherichia coli (strain K12)	19	"2,198"	ECK4643	yqhJ	b4786	
A0A7H2C7B0	A0A7H2C7B0_ECOLI	Leader peptide SpeFL (Arrest peptide SpeFL)	speFL ECK4660 b4803	Escherichia coli (strain K12)	34	"4,249"	ECK4660	speFL	b4803	
A0A7H2C784	A0A7H2C784_ECOLI	Protein YecV	yecV ECK4635 b4778	Escherichia coli (strain K12)	14	"1,630"	ECK4635	yecV	b4778	
A0A7H2C790	A0A7H2C790_ECOLI	Protein YqgG	yqgG ECK4641 b4784	Escherichia coli (strain K12)	47	"5,220"	ECK4641	yqgG	b4784	
A0A7H2C7A4	A0A7H2C7A4_ECOLI	Protein YicU	yicU ECK4654 b4797	Escherichia coli (strain K12)	19	"2,183"	ECK4654	yicU	b4797	
A0A7H2C775	A0A7H2C775_ECOLI	Protein YbiE	ybiE ECK4626 b4769	Escherichia coli (strain K12)	19	"2,006"	ECK4626	ybiE	b4769	
A0A7H2C7A0	A0A7H2C7A0_ECOLI	Putative translational regulatory protein BaxL	baxL ECK4651 b4794	Escherichia coli (strain K12)	8	951	ECK4651	baxL	b4794	
A0A7H2C781	A0A7H2C781_ECOLI	Protein MgtT	mgtT ECK4632 b4775	Escherichia coli (strain K12)	34	"3,858"	ECK4632	mgtT	b4775	
A0A7H2C798	A0A7H2C798_ECOLI	Protein YriB	yriB ECK4649 b4792	Escherichia coli (strain K12)	17	"1,904"	ECK4649	yriB	b4792	
A0A3G0QC22	A0A3G0QC22_ECOLI	DDE_Tnp_1 domain-containing protein	yncM	Escherichia coli (strain K12)	66	"7,732"		yncM		
A0A7H2C786	A0A7H2C786_ECOLI	Protein YodE	yodE ECK4637 b4780	Escherichia coli (strain K12)	48	"5,068"	ECK4637	yodE	b4780	
A0A7H2C795	A0A7H2C795_ECOLI	Protein YhgP	yhgP ECK4646 b4789	Escherichia coli (strain K12)	9	"1,043"	ECK4646	yhgP	b4789	
A0A7H2C785	A0A7H2C785_ECOLI	Protein YoaM	yoaM ECK4636 b4779	Escherichia coli (strain K12)	11	"1,230"	ECK4636	yoaM	b4779	
A0A7H2C791	A0A7H2C791_ECOLI	Protein YqgH	yqgH ECK4642 b4785	Escherichia coli (strain K12)	27	"3,188"	ECK4642	yqgH	b4785	
A0A0T7C0U2	A0A0T7C0U2_ECOLI	Predicted inner membrane protein	ypjL	Escherichia coli (strain K12)	172	"18,519"		ypjL		
A0A7H2C765	A0A7H2C765_ECOLI	Penicillin-binding protein 1B (PBP-1b) (PBP1b) (Murein polymerase)	mrcB ECK0148 pbpF ponB b0149	Escherichia coli (strain K12)	799	"88,890"	ECK0148 pbpF ponB	mrcB	b0149	
A0A385XJN2	A0A385XJN2_ECOLI	Uncharacterized protein	ygiA ECK3027 b3036	Escherichia coli (strain K12)	86	"9,916"	ECK3027	ygiA		b3036
A0A7H2C782	A0A7H2C782_ECOLI	Qin prophage putative zinc-binding protein YnfU	ynfU ECK4633 b4776	Escherichia coli (strain K12)	56	"6,371"	ECK4633	ynfU	b4776	
A0A7H2C7A2	A0A7H2C7A2_ECOLI	Protein YibX	yibX ECK4652 b4795	Escherichia coli (strain K12)	80	"8,757"	ECK4652	yibX	b4795	
A0A7H2C776	A0A7H2C776_ECOLI	Protein YljB	yljB ECK4627 b4770	Escherichia coli (strain K12)	24	"2,707"	ECK4627	yljB	b4770	
A0A7H2C767	A0A7H2C767_ECOLI	Chaperone protein ClpB	clpB ECK2590 htpM b2592	Escherichia coli (strain K12)	709	"79,870"	ECK2590 htpM	clpB	b2592	
A0A385XK32	A0A385XK32_ECOLI	Putative YjfA	yzfA ECK4219 ileR yjfA b4223	Escherichia coli (strain K12)	89	"10,585"	ECK4219 ileR yjfA	yzfA		b4223
A0A7H2C769	A0A7H2C769_ECOLI	Putative type II secretion system C-type protein YghF	yghF ecfA ECK2965 b2970	Escherichia coli (strain K12)	331	"37,349"	ecfA ECK2965	yghF	b2970	
A0A0S1EZS3	A0A0S1EZS3_ECOLI	Uncharacterized protein	yfjV	Escherichia coli (strain K12)	66	"7,035"		yfjV		
A0A7H2C773	A0A7H2C773_ECOLI	Protein YtiB	ytiB ECK4624 b4767	Escherichia coli (strain K12)	18	"2,019"	ECK4624	ytiB	b4767	
A0A7H2C771	A0A7H2C771_ECOLI	Protein YadX	yadX ECK4622 b4765	Escherichia coli (strain K12)	15	"1,806"	ECK4622	yadX	b4765	
A0A7H2C794	A0A7H2C794_ECOLI	Protein YhgO	yhgO ECK4645 b4788	Escherichia coli (strain K12)	13	"1,576"	ECK4645	yhgO	b4788	
A0A7H2C799	A0A7H2C799_ECOLI	Protein YsaE	ysaE ECK4650 b4793	Escherichia coli (strain K12)	23	"2,605"	ECK4650	ysaE	b4793	
A0A7H2C783	A0A7H2C783_ECOLI	Protein YdgV	ydgV ECK4634 b4777	Escherichia coli (strain K12)	33	"3,906"	ECK4634	ydgV	b4777	
A0A7H2C797	A0A7H2C797_ECOLI	Protein YriA	yriA ECK4648 b4791	Escherichia coli (strain K12)	24	"2,925"	ECK4648	yriA	b4791	
A0A7H2C770	A0A7H2C770_ECOLI	McrBS	mcrB ECK4336 rglB b4346	Escherichia coli (strain K12)	298	"34,660"	ECK4336 rglB	mcrB	b4346	
A0A7H2C768	A0A7H2C768_ECOLI	Putative type II secretion system L-type protein YghE	yghE ecfB ECK2964 b2969	Escherichia coli (strain K12)	286	"32,058"	ecfB ECK2964	yghE	b2969	
A0A7H2C7A9	A0A7H2C7A9_ECOLI	Protein YthB	ythB ECK4659 b4802	Escherichia coli (strain K12)	32	"3,574"	ECK4659	ythB	b4802	
A0A7H2C7A5	A0A7H2C7A5_ECOLI	Protein YsdE	ysdE ECK4655 b4798	Escherichia coli (strain K12)	24	"2,827"	ECK4655	ysdE	b4798	
A0A7H2C7A7	A0A7H2C7A7_ECOLI	Protein YtgA	ytgA ECK4657 b4800	Escherichia coli (strain K12)	16	"1,763"	ECK4657	ytgA	b4800	
A0A7H2C7A3	A0A7H2C7A3_ECOLI	Protein YibY	yibY ECK4653 b4796	Escherichia coli (strain K12)	36	"4,027"	ECK4653	yibY	b4796	
A0A7H2C7A6	A0A7H2C7A6_ECOLI	Protein YsgD	ysgD ECK4656 b4799	Escherichia coli (strain K12)	18	"2,140"	ECK4656	ysgD	b4799	
A0A7H2C796	A0A7H2C796_ECOLI	Protein YhiY	yhiY ECK4647 b4790	Escherichia coli (strain K12)	37	"4,153"	ECK4647	yhiY	b4790	
A0A7H2C777	A0A7H2C777_ECOLI	Protein YchT	ychT ECK4627 b4771	Escherichia coli (strain K12)	17	"1,882"	ECK4627	ychT	b4771	
A0A7H2C787	A0A7H2C787_ECOLI	Protein EvgL	evgL ECK4638 b4781	Escherichia coli (strain K12)	9	"1,029"	ECK4638	evgL	b4781	
A0A7H2C793	A0A7H2C793_ECOLI	Protein YqiM	yqiM ECK4644 b4787	Escherichia coli (strain K12)	27	"3,305"	ECK4644	yqiM	b4787	
A0A1V1IFN1	A0A1V1IFN1_ECOLI	"Guanosine kinase, GTP feedback-resistant"	gsk-10	Escherichia coli (strain K12)	434	"48,489"		gsk-10		
A4UR78	A4UR78_ECOLI	ChbR	chbR	Escherichia coli (strain K12)	280	"32,934"		chbR		
A0A0A6YVN8	A0A0A6YVN8_ECOLI	D-tagatose 3-epimerase	D-tagatose 3-epimerase	Escherichia coli (strain K12)	298	"33,789"			D-tagatose 3-epimerase	
A4UR77	A4UR77_ECOLI	ChbR	chbR	Escherichia coli (strain K12)	280	"32,920"		chbR		
A0A0G3I6S6	A0A0G3I6S6_ECOLI	Fructoselysine-6-kinase	frlD	Escherichia coli (strain K12)	261	"28,332"		frlD		
A0A6G6FTN6	A0A6G6FTN6_ECOLI	ChiA (Fragment)	chiA	Escherichia coli (strain K12)	595	"64,994"		chiA		
A4UR83	A4UR83_ECOLI	ChbR	chbR	Escherichia coli (strain K12)	280	"32,982"		chbR		
Q5H778	Q5H778_ECOLI	Putrescine importer (Fragment)	puuP	Escherichia coli (strain K12)	479	"52,852"		puuP		
B8YM76	B8YM76_ECOLI	Alkaline phosphatase (Fragment)		Escherichia coli (strain K12)	450	"47,230"				
A0A0G3HLV0	A0A0G3HLV0_ECOLI	Gamma-glutamyl-gamma-aminobutyrate hydrolase	puuD	Escherichia coli (strain K12)	254	"28,013"		puuD		
Q1PI54	Q1PI54_ECOLI	Ferric enterobactin transport protein (Fragment)	fepE UTI89_C0589	Escherichia coli (strain K12)	144	"16,489"		fepE	UTI89_C0589	
Q1PI59	Q1PI59_ECOLI	Malate dehydrogenase (EC 1.1.1.37) (Fragment)	mdh UTI89_C3667	Escherichia coli (strain K12)	145	"14,960"		mdh	UTI89_C3667	
A0A1V1IGJ0	A0A1V1IGJ0_ECOLI	"Guanosine kinase, null mutant"	gsk-1 null mutation	Escherichia coli (strain K12)	434	"48,521"	null mutation	gsk-1		
Q1PI83	Q1PI83_ECOLI	Adenylate kinase (EC 2.7.4.3) (Fragment)	adk UTI89_C0502	Escherichia coli (strain K12)	167	"18,794"		adk	UTI89_C0502	
C0Z3X9	C0Z3X9_ECOLI	Exonuclease (Fragment)	sbcB	Escherichia coli (strain K12)	89	"9,857"		sbcB		
A4UR84	A4UR84_ECOLI	ChbR	chbR	Escherichia coli (strain K12)	280	"32,941"		chbR		
Q47042	Q47042_ECOLI	Truncated PhoA (Fragment)	phoA	Escherichia coli (strain K12)	47	"5,514"		phoA		
F2X7N5	F2X7N5_ECOLI	Nitroreductase	NTR	Escherichia coli (strain K12)	217	"23,886"		NTR		
A0A1V1IGN2	A0A1V1IGN2_ECOLI	Guanosine kinase	gsk	Escherichia coli (strain K12)	434	"48,449"		gsk		
Q1PI90	Q1PI90_ECOLI	Outer membrane protein 1b (Fragment)	ompC UTI89_C2497	Escherichia coli (strain K12)	252	"27,594"		ompC	UTI89_C2497	
A5PFJ9	A5PFJ9_ECOLI	IS10 transposase	tnp10	Escherichia coli (strain K12)	402	"46,074"		tnp10		
A0A0G3HHZ6	A0A0G3HHZ6_ECOLI	Gamma-glutamylputrescine synthetase	puuA	Escherichia coli (strain K12)	472	"53,177"		puuA		
C3UPD1	C3UPD1_ECOLI	SmpB (Fragment)	smpB	Escherichia coli (strain K12)	151	"17,219"		smpB		
Q9F5L1	Q9F5L1_ECOLI	Antiterminator BglG (Fragment)	bglG	Escherichia coli (strain K12)	22	"2,586"		bglG		
A0A0G3HUT6	A0A0G3HUT6_ECOLI	GsiB	gsiB	Escherichia coli (strain K12)	512	"56,470"		gsiB		
A4UR75	A4UR75_ECOLI	ChbR	chbR	Escherichia coli (strain K12)	280	"32,934"		chbR		
A0A0G3HK66	A0A0G3HK66_ECOLI	Acetyltransferase (EC 2.3.1.-)		Escherichia coli (strain K12)	203	"22,799"				
A4UR81	A4UR81_ECOLI	ChbR	chbR	Escherichia coli (strain K12)	280	"32,941"		chbR		
A0A1V1IGM6	A0A1V1IGM6_ECOLI	"Guanosine kinase, GTP feedback-resistant"	gsk	Escherichia coli (strain K12)	434	"48,491"		gsk		
A4UR80	A4UR80_ECOLI	ChbR	chbR	Escherichia coli (strain K12)	280	"32,969"		chbR		
A0A1V1IFM5	A0A1V1IFM5_ECOLI	"Guanosine kinase, GT feedback-resistant"	gsk-4	Escherichia coli (strain K12)	434	"48,475"		gsk-4		
Q57049	Q57049_ECOLI	Orf62		Escherichia coli (strain K12)	62	"7,043"				
Q2A0K9	Q2A0K9_ECOLI	Exodeoxyribonuclease I (EC 3.1.11.1)	sbcB	Escherichia coli (strain K12)	467	"53,482"		sbcB		
B8LFD5	B8LFD5_ECOLI	Lac repressor		Escherichia coli (strain K12)	363	"38,876"				
Q1PI72	Q1PI72_ECOLI	Isocitrate dehydrogenase (NADP(+)) (EC 1.1.1.42) (Fragment)	icd UTI89_C1266	Escherichia coli (strain K12)	222	"25,043"		icd	UTI89_C1266	
B8LFD6	B8LFD6_ECOLI	Beta-galactosidase (Beta-gal) (EC 3.2.1.23) (Lactase)	lacZ	Escherichia coli (strain K12)	1024	"116,483"		lacZ		
Q47556	Q47556_ECOLI	Aspartate transcarbamoylase regulatory chain (Fragment)	pyrI	Escherichia coli (strain K12)	9	"1,085"		pyrI		
P56976	BLR_ECOLI	Divisome-associated membrane protein Blr (Beta-lactam resistance protein)	blr b4409 JW5963	Escherichia coli (strain K12)	41	"4,556"		blr		b4409 JW5963
P0A6E9	BIOD2_ECOLI	ATP-dependent dethiobiotin synthetase BioD 2 (EC 6.3.3.3) (DTB synthetase 2) (DTBS 2) (Dethiobiotin synthase 2)	bioD2 ynfK b1593 JW5264	Escherichia coli (strain K12)	231	"24,981"	ynfK	bioD2		b1593 JW5264
P0AE63	CHAB_ECOLI	Putative cation transport regulator ChaB	chaB b1217 JW1208	Escherichia coli (strain K12)	76	"8,945"		chaB		b1217 JW1208
P30192	INSZ_ECOLI	Putative transposase InsZ	insZ ychG b4573 JW1227/JW5883 b1239/b1240	Escherichia coli (strain K12)	299	"33,808"	ychG	insZ	b1239/b1240	b4573 JW1227/JW5883
P27294	INAA_ECOLI	Protein InaA	inaA yfaG b2237 JW2231	Escherichia coli (strain K12)	216	"25,296"	yfaG	inaA		b2237 JW2231
P0AB74	KBAY_ECOLI	"D-tagatose-1,6-bisphosphate aldolase subunit KbaY (TBPA) (TagBP aldolase) (EC 4.1.2.40) (D-tagatose-bisphosphate aldolase class II) (Ketose 1,6-bisphosphate aldolase class II) (Tagatose-bisphosphate aldolase)"	kbaY agaY kba yraC b3137 JW3106	Escherichia coli (strain K12)	286	"31,294"	agaY kba yraC	kbaY		b3137 JW3106
P0AD86	LPT_ECOLI	thr operon leader peptide (thr operon attenuator)	thrL b0001 JW4367	Escherichia coli (strain K12)	21	"2,138"		thrL		b0001 JW4367
P0ADF3	LPRH_ECOLI	rho operon leader peptide (RhoL)	rhoL b3782 JW3755	Escherichia coli (strain K12)	33	"3,750"		rhoL		b3782 JW3755
P0A794	PDXJ_ECOLI	Pyridoxine 5'-phosphate synthase (PNP synthase) (EC 2.6.99.2)	pdxJ b2564 JW2548	Escherichia coli (strain K12)	243	"26,384"		pdxJ		b2564 JW2548
P0A796	PFKA_ECOLI	ATP-dependent 6-phosphofructokinase isozyme 1 (ATP-PFK 1) (Phosphofructokinase 1) (EC 2.7.1.11) (6-phosphofructokinase isozyme I) (Phosphohexokinase 1)	pfkA b3916 JW3887	Escherichia coli (strain K12)	320	"34,842"		pfkA		b3916 JW3887
P77366	PGMB_ECOLI	Beta-phosphoglucomutase (Beta-PGM) (EC 5.4.2.6)	ycjU pgmB b1317 JW1310	Escherichia coli (strain K12)	219	"23,565"	pgmB	ycjU		b1317 JW1310
P37095	PEPB_ECOLI	Peptidase B (EC 3.4.11.23) (Aminopeptidase B)	pepB yfhI b2523 JW2507	Escherichia coli (strain K12)	427	"46,180"	yfhI	pepB		b2523 JW2507
P36938	PGM_ECOLI	Phosphoglucomutase (PGM) (EC 5.4.2.2) (Glucose phosphomutase)	pgm b0688 JW0675	Escherichia coli (strain K12)	546	"58,361"		pgm		b0688 JW0675
P24207	PHEP_ECOLI	Phenylalanine-specific permease (Phenylalanine:H(+) symporter PheP)	pheP b0576 JW0565	Escherichia coli (strain K12)	458	"50,677"		pheP		b0576 JW0565
P40191	PDXK_ECOLI	Pyridoxine/pyridoxal/pyridoxamine kinase (PN/PL/PM kinase) (EC 2.7.1.35) (B6-vitamer kinase) (Pyridoxal kinase 1) (PL kinase 1)	pdxK yfeI b2418 JW2411	Escherichia coli (strain K12)	283	"30,847"	yfeI	pdxK		b2418 JW2411
P15288	PEPD_ECOLI	Cytosol non-specific dipeptidase (EC 3.4.13.18) (Aminoacyl-histidine dipeptidase) (Beta-alanyl-histidine dipeptidase) (Carnosinase) (Cysteinylglycinase) (Peptidase D) (Xaa-His dipeptidase) (X-His dipeptidase)	pepD pepH b0237 JW0227	Escherichia coli (strain K12)	485	"52,915"	pepH	pepD		b0237 JW0227
P0A7C6	PEPE_ECOLI	Peptidase E (EC 3.4.13.21) (Alpha-aspartyl dipeptidase) (Asp-specific dipeptidase) (Dipeptidase E)	pepE b4021 JW3981	Escherichia coli (strain K12)	229	"24,570"		pepE		b4021 JW3981
P69434	PGAA_ECOLI	"Poly-beta-1,6-N-acetyl-D-glucosamine export protein (PGA export protein) (Poly-beta-1,6-GlcNAc export protein)"	pgaA ycdS b1024 JW1010	Escherichia coli (strain K12)	807	"92,207"	ycdS	pgaA		b1024 JW1010
P75906	PGAB_ECOLI	"Poly-beta-1,6-N-acetyl-D-glucosamine N-deacetylase (PGA N-deacetylase) (Poly-beta-1,6-GlcNAc N-deacetylase) (EC 3.5.1.-)"	pgaB ycdR b1023 JW5142	Escherichia coli (strain K12)	672	"77,413"	ycdR	pgaB		b1023 JW5142
P75905	PGAC_ECOLI	"Poly-beta-1,6-N-acetyl-D-glucosamine synthase (PGA synthase) (Poly-beta-1,6-GlcNAc synthase) (EC 2.4.1.-) (Biofilm PGA synthesis protein PgaC) (N-acetylglucosaminyltransferase PgaC)"	pgaC ycdQ b1022 JW1007	Escherichia coli (strain K12)	441	"50,766"	ycdQ	pgaC		b1022 JW1007
P77528	PEAD_ECOLI	Putative protein PeaD	peaD ybcD b4508	Escherichia coli (strain K12)	78	"8,493"	ybcD	peaD		b4508
P69432	PGAD_ECOLI	Biofilm PGA synthesis protein PgaD	pgaD ycdP b1021 JW1006	Escherichia coli (strain K12)	137	"16,082"	ycdP	pgaD		b1021 JW1006
P25906	PDXI_ECOLI	Pyridoxine 4-dehydrogenase (EC 1.1.1.65)	pdxI ydbC b1406 JW1403	Escherichia coli (strain K12)	286	"30,706"	ydbC	pdxI		b1406 JW1403
P21165	PEPQ_ECOLI	Xaa-Pro dipeptidase (X-Pro dipeptidase) (EC 3.4.13.9) (Imidodipeptidase) (Proline dipeptidase) (Prolidase)	pepQ b3847 JW3823	Escherichia coli (strain K12)	443	"50,176"		pepQ		b3847 JW3823
P0AFI7	PDXH_ECOLI	Pyridoxine/pyridoxamine 5'-phosphate oxidase (EC 1.4.3.5) (PNP/PMP oxidase) (PNPOx) (Pyridoxal 5'-phosphate synthase)	pdxH b1638 JW1630	Escherichia coli (strain K12)	218	"25,545"		pdxH		b1638 JW1630
P60782	PLSY_ECOLI	Probable glycerol-3-phosphate acyltransferase (G3P acyltransferase) (GPAT) (EC 2.3.1.15) (EC 2.3.1.n5) (Lysophosphatidic acid synthase) (LPA synthase)	plsY ygiH b3059 JW3031	Escherichia coli (strain K12)	205	"22,193"	ygiH	plsY		b3059 JW3031
P29745	PEPT_ECOLI	Peptidase T (EC 3.4.11.4) (Aminotripeptidase) (Tripeptidase) (Tripeptide aminopeptidase)	pepT b1127 JW1113	Escherichia coli (strain K12)	408	"44,923"		pepT		b1127 JW1113
P19624	PDXA_ECOLI	4-hydroxythreonine-4-phosphate dehydrogenase (EC 1.1.1.262) (4-(phosphohydroxy)-L-threonine dehydrogenase)	pdxA b0052 JW0051	Escherichia coli (strain K12)	329	"35,114"		pdxA		b0052 JW0051
P05459	PDXB_ECOLI	Erythronate-4-phosphate dehydrogenase (EC 1.1.1.290)	pdxB b2320 JW2317	Escherichia coli (strain K12)	378	"41,368"		pdxB		b2320 JW2317
