Entry	Entry name	Protein names	Gene names	Organism	Length	Mass	Gene names  (synonym )	Gene names  (primary )	Gene names  (ORF )	Gene names  (ordered locus )
O59676	PDP1_SCHPO	PWWP domain-containing protein 1 (Set9-associated factor pdp1)	pdp1 SPBC29A3.13	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	359	"40,923"		pdp1	SPBC29A3.13	
O94312	PDP2_SCHPO	PWWP domain-containing protein2	pdp2 SPBC215.07c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	568	"62,825"		pdp2	SPBC215.07c	
Q09842	PDP3_SCHPO	PWWP domain-containing protein 3	pdp3 SPAC23D3.01	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	407	"46,856"		pdp3	SPAC23D3.01	
O74478	PGM3_SCHPO	Probable phosphoribomutase (PRM) (EC 5.4.2.7) (Phosphoglucomutase 3 homolog) (PGM 3 homolog)	SPCC1840.05c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	587	"65,494"			SPCC1840.05c	
O14361	PHA2_SCHPO	Putative prephenate dehydratase (PDT) (EC 4.2.1.51)	pha2 SPBC30D10.16	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	272	"29,871"		pha2	SPBC30D10.16	
Q9C0Y5	PDR1_SCHPO	ATP-binding cassette transporter pdr1 (ABC transporter pdr1)	pdr1 SPAPB24D3.09c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	1396	"159,319"		pdr1	SPAPB24D3.09c	
Q9UTN4	PFS2_SCHPO	Polyadenylation factor subunit 2	pfs2 SPAC12G12.14c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	509	"57,654"		pfs2	SPAC12G12.14c	
P87233	PHF1_SCHPO	SWM histone demethylase complex subunit phf1 (PHD finger domain-containing protein phf1)	phf1 saf50 swp1 SPCC4G3.07c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	461	"51,285"	saf50 swp1	phf1	SPCC4G3.07c	
C6Y4B3	PGA1_SCHPO	GPI mannosyltransferase 2 subunit C167.09	SPAC167.09	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	178	"19,995"			SPAC167.09	
Q9UUK0	PDXH_SCHPO	Pyridoxamine 5'-phosphate oxidase C1952.08c homolog (PNP/PMP oxidase C1952.08c homolog) (PNPOx C1952.08c homolog)	SPAC1952.08c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	190	"21,653"			SPAC1952.08c	
Q9P6S6	PGA2_SCHPO	PGA2-homolog C27.01c	SPBC27.01c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	132	"15,636"			SPBC27.01c	
Q09908	PHF2_SCHPO	SWM histone demethylase complex subunit phf2 (PHD finger domain-containing protein phf2)	phf2 saf60 swp2 SPAC30D11.08c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	538	"60,696"	saf60 swp2	phf2	SPAC30D11.08c	
Q9P7H3	PHB1_SCHPO	Prohibitin-1	phb1 SPAC1782.06c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	282	"31,054"		phb1	SPAC1782.06c	
O94550	PHB2_SCHPO	Prohibitin-2	phb2 SPCC1322.16	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	288	"32,338"		phb2	SPCC1322.16	
O94651	PEP12_SCHPO	Syntaxin pep12	pep12 SPBC31E1.04	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	263	"29,560"		pep12	SPBC31E1.04	
O74925	PEP3_SCHPO	Vacuolar membrane protein pep3 (Vacuolar protein sorting-associated protein 18)	pep3 vps18 SPCC790.02	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	900	"103,720"	vps18	pep3	SPCC790.02	
O14169	PGC1_SCHPO	Phosphatidylglycerol phospholipase C (EC 3.1.4.-)	SPAC4D7.02c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	311	"35,585"			SPAC4D7.02c	
P87295	PEP5L_SCHPO	Pep5-like zinc finger protein C16A10.03c	SPAC16A10.03c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	847	"97,486"			SPAC16A10.03c	
Q9P6N4	PEP5_SCHPO	E3 ubiquitin-protein ligase pep5 (EC 2.3.2.27) (Carboxypeptidase Y-deficient protein 5) (Histone E3 ligase pep5) (RING-type E3 ubiquitin transferase pep5) (Vacuolar protein sorting-associated protein 11)	vps11 pep5 SPAC823.12	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	906	"102,524"	pep5	vps11	SPAC823.12	
O13786	PEP7_SCHPO	Vacuolar segregation protein pep7	pep7 vac1 SPAC17G6.08	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	536	"62,434"	vac1	pep7	SPAC17G6.08	
O74975	PCY1_SCHPO	Probable choline-phosphate cytidylyltransferase (EC 2.7.7.15) (CTP:phosphocholine cytidylyltransferase) (CCT) (CT) (Phosphorylcholine transferase)	SPCC1827.02c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	362	"41,751"			SPCC1827.02c	
O74456	PEF1_SCHPO	Serine/threonine-protein kinase pef1 (EC 2.7.11.22) (Cyclin-dependent kinase pef1) (PHO85 homolog)	pef1 SPCC16C4.11	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	288	"32,737"		pef1	SPCC16C4.11	
O14027	PDX1_SCHPO	Probable pyridoxal 5'-phosphate synthase subunit PDX1 (PLP synthase subunit PDX1) (EC 4.3.3.6)	snz1 SPAC29B12.04	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	296	"31,403"		snz1	SPAC29B12.04	
Q9UTQ1	PDX3_SCHPO	Probable pyridoxamine 5'-phosphate oxidase (EC 1.4.3.5) (PNP/PMP oxidase) (PNPOx)	SPAC1093.02	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	231	"27,014"			SPAC1093.02	
P36599	PDE1_SCHPO	"3',5'-cyclic-nucleotide phosphodiesterase (PDEase) (EC 3.1.4.17)"	cgs2 pde1 SPCC285.09c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	346	"38,650"	pde1	cgs2	SPCC285.09c	
Q9P6J2	PCL1_SCHPO	Fe(2+)/Mn(2+) transporter pcl1 (Pombe ccc1-like protein 1)	pcl1 SPBC1683.10c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	242	"25,625"		pcl1	SPBC1683.10c	
Q09926	PCR1_SCHPO	Transcription factor pcr1 (Transcription factor mts2)	pcr1 mts2 SPAC21E11.03c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	171	"19,348"	mts2	pcr1	SPAC21E11.03c	
O94680	PDAT_SCHPO	Phospholipid:diacylglycerol acyltransferase (PDAT) (EC 2.3.1.158) (Pombe LRO1 homolog 1) (Triacylglycerol synthase) (TAG synthase)	plh1 SPBC776.14	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	632	"70,833"		plh1	SPBC776.14	
Q09737	PDC1_SCHPO	Putative pyruvate decarboxylase C13A11.06 (EC 4.1.1.1)	SPAC13A11.06 SPAC3H8.01	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	571	"63,294"			SPAC13A11.06 SPAC3H8.01	
Q92345	PDC2_SCHPO	Probable pyruvate decarboxylase C1F8.07c (EC 4.1.1.1)	SPAC1F8.07c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	569	"61,719"			SPAC1F8.07c	
Q9P7P6	PDC3_SCHPO	Probable pyruvate decarboxylase C186.09 (EC 4.1.1.1)	SPAC186.09	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	572	"62,615"			SPAC186.09	
O42873	PDC4_SCHPO	Putative pyruvate decarboxylase C3G9.11c (EC 4.1.1.1)	SPAC3G9.11c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	570	"62,653"			SPAC3G9.11c	
O13684	PCS1_SCHPO	Monopolin complex subunit pcs1 (Chromosome segregation protein 1)	pcs1 SPAC11E3.03	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	261	"30,418"		pcs1	SPAC11E3.03	
Q03392	PCNA_SCHPO	Proliferating cell nuclear antigen (PCNA)	pcn1 pcn SPBC16D10.09	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	260	"28,969"	pcn	pcn1	SPBC16D10.09	
Q10075	PCS_SCHPO	Glutathione gamma-glutamylcysteinyltransferase (EC 2.3.2.15) (Phytochelatin synthase)	SPAC3H1.10	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	414	"46,741"			SPAC3H1.10	
O59747	PDF1_SCHPO	Palmitoyl-protein thioesterase-dolichyl pyrophosphate phosphatase fusion 1 [Cleaved into: Palmitoyl-protein thioesterase (PPT) (EC 3.1.2.22) (Palmitoyl-protein hydrolase); Dolichyldiphosphatase (EC 3.6.1.43) (Dolichyl pyrophosphate phosphatase)]	pdf1 yhc1 SPBC530.12c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	622	"71,196"	yhc1	pdf1	SPBC530.12c	
Q92351	PCP1_SCHPO	Spindle pole body protein pcp1	pcp1 SPAC6G9.06c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	1208	"140,764"		pcp1	SPAC6G9.06c	
O42826	PDH1_SCHPO	Protein pdh1	pdh1 SPCC1235.08c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	226	"26,021"		pdh1	SPCC1235.08c	
Q10057	PDI1_SCHPO	Putative protein disulfide-isomerase C1F5.02 (EC 5.3.4.1)	SPAC1F5.02	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	492	"54,880"			SPAC1F5.02	
O13811	PDI2_SCHPO	Protein disulfide-isomerase C17H9.14c (EC 5.3.4.1)	SPAC17H9.14c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	359	"40,692"			SPAC17H9.14c	
O94451	PLI1_SCHPO	E3 SUMO-protein ligase pli1 (EC 2.3.2.-) (E3 SUMO-protein transferase plil)	pli1 SPAC1687.05	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	727	"80,723"		pli1	SPAC1687.05	
Q9C1W4	PMP3_SCHPO	Plasma membrane proteolipid 3	pmp3 SPBC713.11c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	57	"6,179"		pmp3	SPBC713.11c	
Q9P7Y3	PKR1_SCHPO	V-type ATPase assembly factor pkr1	pkr1 SPBP23A10.02	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	132	"14,613"		pkr1	SPBP23A10.02	
O14126	PRS6A_SCHPO	26S proteasome regulatory subunit 6A	tbp1 pam2 SPAC3A11.12c SPAC3H5.01	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	438	"48,836"	pam2	tbp1	SPAC3A11.12c SPAC3H5.01	
O42643	PRP22_SCHPO	Pre-mRNA-splicing factor ATP-dependent RNA helicase prp22 (EC 3.6.4.13)	prp22 SPAC10F6.02c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	1168	"131,492"		prp22	SPAC10F6.02c	
O74832	PT127_SCHPO	"mRNA degradation protein pet127, mitochondrial"	pet127 SPCC1183.04c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	524	"60,761"		pet127	SPCC1183.04c	
Q12381	PRP1_SCHPO	Pre-mRNA-splicing factor prp1	prp1 zer1 SPBC6B1.07	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	906	"103,004"	zer1	prp1	SPBC6B1.07	
O43063	PSB1_SCHPO	Probable proteasome subunit beta type-1 (EC 3.4.25.1)	pre3 SPBC4C3.10c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	226	"24,564"		pre3	SPBC4C3.10c	
Q10264	PSO2_SCHPO	DNA cross-link repair protein pso2/snm1 (EC 3.1.-.-)	pso2 snm1 SPAC22A12.01c SPAC56F8.17c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	560	"63,076"	snm1	pso2	SPAC22A12.01c SPAC56F8.17c	
O94302	RFT1_SCHPO	Oligosaccharide translocation protein rft1	rft1 SPBC887.19	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	527	"59,773"		rft1	SPBC887.19	
Q9Y7P0	RISA_SCHPO	Riboflavin synthase (RS) (EC 2.5.1.9)	rib5 SPCC1450.13c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	208	"22,861"		rib5	SPCC1450.13c	
O60128	RS3_SCHPO	40S ribosomal protein S3	rps3 SPBC16G5.14c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	249	"27,553"		rps3	SPBC16G5.14c	
Q9UUI5	SEC24_SCHPO	Protein transport protein sec24	sec24 SPAC22F8.08	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	926	"101,904"		sec24	SPAC22F8.08	
O13900	SA114_SCHPO	Pre-mRNA-splicing factor sap114 (Spliceosome-associated protein 145)	sap114 SPAC22A12.09c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	481	"54,409"		sap114	SPAC22A12.09c	
P53692	SMC6_SCHPO	Structural maintenance of chromosomes protein 6 (DNA repair protein rad18)	smc6 rad18 SPCC5E4.06	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	1140	"130,929"	rad18	smc6	SPCC5E4.06	
Q10077	SNT2_SCHPO	Lid2 complex component snt2 (Lid2C component snt2)	snt2 SPAC3H1.12c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	1131	"128,839"		snt2	SPAC3H1.12c	
Q9USM7	TIM23_SCHPO	Mitochondrial import inner membrane translocase subunit tim23	tim23 SPCC16A11.09c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	210	"22,622"		tim23	SPCC16A11.09c	
Q9USN1	SNX12_SCHPO	Sorting nexin-12	snx12 SPCC16A11.04	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	1010	"116,993"		snx12	SPCC16A11.04	
O74738	SET10_SCHPO	Ribosomal lysine N-methyltransferase set10 (EC 2.1.1.-) (SET domain-containing protein 10)	set10 SPBC1709.13c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	547	"62,320"		set10	SPBC1709.13c	
O94316	SN114_SCHPO	Pre-mRNA-splicing factor cwf10 (114 kDa U5 small nuclear ribonucleoprotein component homolog) (Complexed with cdc5 protein 10)	cwf10 snu114 spef2 SPBC215.12	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	984	"111,306"	snu114 spef2	cwf10	SPBC215.12	
Q7Z992	SST6_SCHPO	ESCRT-I complex subunit vps23 (Suppressor of ste12 deletion protein 6)	sst6 cps23 vps23 SPAC11H11.01	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	487	"55,968"	cps23 vps23	sst6	SPAC11H11.01	
O13750	SUCA_SCHPO	"Succinate--CoA ligase [ADP-forming] subunit alpha, mitochondrial (EC 6.2.1.5) (Succinyl-CoA synthetase subunit alpha) (SCS-alpha)"	SPAC16E8.17c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	331	"34,706"			SPAC16E8.17c	
O42832	SPB1_SCHPO	AdoMet-dependent rRNA methyltransferase spb1 (EC 2.1.1.-) (2'-O-ribose RNA methyltransferase) (S-adenosyl-L-methionine-dependent methyltransferase)	spb1 pmt2 SPAC1687.11	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	802	"90,906"	pmt2	spb1	SPAC1687.11	
O74764	SPB4_SCHPO	ATP-dependent rRNA helicase spb4 (EC 3.6.4.13)	spb4 SPBC24C6.02	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	606	"68,742"		spb4	SPBC24C6.02	
Q9UTM8	SSDH2_SCHPO	Putative succinate-semialdehyde dehydrogenase C139.05 [NADP(+)] (SSDH) (EC 1.2.1.16)	SPAC139.05	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	493	"53,306"			SPAC139.05	
O14285	SPC34_SCHPO	DASH complex subunit spc34 (Outer kinetochore protein spc34)	spc34 SPAC8C9.17c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	164	"19,011"		spc34	SPAC8C9.17c	
Q10071	STE24_SCHPO	Probable CAAX prenyl protease 1 (EC 3.4.24.84) (Prenyl protein-specific endoprotease 1) (PPSEP 1)	SPAC3H1.05	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	474	"54,001"			SPAC3H1.05	
Q9P7S3	SSR3_SCHPO	SWI/SNF and RSC complexes subunit ssr3	ssr3 SPAC23G3.10c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	425	"49,759"		ssr3	SPAC23G3.10c	
O13600	SWS1_SCHPO	Zinc finger SWIM domain-containing protein sws1 (SWIM domain-containing and srs2-interacting protein 1)	sws1 pi005 SPACTOKYO_453.32 SPBC11B10.06	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	209	"23,525"		sws1	pi005 SPACTOKYO_453.32 SPBC11B10.06	
O14307	TRM61_SCHPO	tRNA (adenine(58)-N(1))-methyltransferase catalytic subunit trm61 (EC 2.1.1.220) (tRNA(m1A58)-methyltransferase subunit trm61) (tRNA(m1A58)MTase subunit trm61)	cpd1 trm61 SPAC9G1.12	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	364	"41,733"	trm61	cpd1	SPAC9G1.12	
O75005	SYV_SCHPO	Valine--tRNA ligase (EC 6.1.1.9) (Valyl-tRNA synthetase) (ValRS)	vas2 SPBC1709.02c SPBC1734.18c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	980	"111,317"		vas2	SPBC1709.02c SPBC1734.18c	
O59768	VCX1_SCHPO	Vacuolar calcium ion transporter (Vacuolar Ca(2+)/H(+) exchanger)	vcx1 SPCC1795.02c SPCC895.01	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	412	"45,108"		vcx1	SPCC1795.02c SPCC895.01	
P31411	VATB_SCHPO	V-type proton ATPase subunit B (V-ATPase subunit B) (V-ATPase 57 kDa subunit) (Vacuolar proton pump subunit B)	vma2 SPAC637.05c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	503	"55,841"		vma2	SPAC637.05c	
O74974	UTP25_SCHPO	U3 small nucleolar RNA-associated protein 25 (U3 snoRNA-associated protein 25) (U three protein 25)	utp25 SPCC1827.01c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	652	"75,652"		utp25	SPCC1827.01c	
Q9P544	VDAC_SCHPO	Probable mitochondrial outer membrane protein porin	SPAC1635.01	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	282	"29,653"			SPAC1635.01	
O60161	UTP4_SCHPO	U3 small nucleolar RNA-associated protein 4 (U3 snoRNA-associated protein 4) (U3 protein 4 required for transcription)	utp4 SPBC19F5.02c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	710	"79,121"		utp4	SPBC19F5.02c	
Q9HE11	UTP5_SCHPO	U3 small nucleolar RNA-associated protein 5 (U3 snoRNA-associated protein 5) (U3 protein 5 required for transcription)	utp5 SPAC20H4.01 SPAC631.03	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	666	"73,697"		utp5	SPAC20H4.01 SPAC631.03	
O60188	UTP6_SCHPO	U3 small nucleolar RNA-associated protein 6 (U3 snoRNA-associated protein 6)	utp6 SPBC244.02c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	488	"55,645"		utp6	SPBC244.02c	
Q9P4X3	UTP7_SCHPO	Probable U3 small nucleolar RNA-associated protein 7 (U3 snoRNA-associated protein 7) (U three protein 7)	utp7 SPAC959.03c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	520	"59,758"		utp7	SPAC959.03c	
Q9HDW6	VATC_SCHPO	V-type proton ATPase subunit C (V-ATPase subunit C) (Vacuolar proton pump subunit C)	vma5 SPAPB2B4.05	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	394	"44,361"		vma5	SPAPB2B4.05	
Q10988	UVE1_SCHPO	UV-damage endonuclease (UVDE) (EC 3.-.-.-)	uve1 uvde SPBC19C7.09c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	599	"68,816"	uvde	uve1	SPBC19C7.09c	
P40388	UVI15_SCHPO	UV-induced protein uvi15	uvi15 SPBC649.04	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	87	"9,319"		uvi15	SPBC649.04	
Q12238	UVI31_SCHPO	UV-induced protein uvi31 (BolA-like protein 1)	uvi31 SPBC16E9.06c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	102	"11,806"		uvi31	SPBC16E9.06c	
O59823	VATD_SCHPO	V-type proton ATPase subunit D (V-ATPase subunit D) (Vacuolar proton pump subunit D)	vma8 SPCC965.03	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	285	"32,219"		vma8	SPCC965.03	
Q9Y7K8	UPPS_SCHPO	Dehydrodolichyl diphosphate synthase complex subunit nus1 (EC 2.5.1.87)	nus1 SPBC2A9.06c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	258	"29,863"		nus1	SPBC2A9.06c	
Q9P3U9	URM1_SCHPO	Ubiquitin-related modifier 1	urm1 SPCC548.04	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	97	"10,717"		urm1	SPCC548.04	
O13687	VATE_SCHPO	V-type proton ATPase subunit E (V-ATPase subunit E) (Vacuolar proton pump subunit E)	vma4 SPAC11E3.07	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	227	"25,742"		vma4	SPAC11E3.07	
O43046	VATF_SCHPO	V-type proton ATPase subunit F (V-ATPase subunit F) (Vacuolar proton pump subunit F)	vma7 SPBC3B9.18c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	120	"13,618"		vma7	SPBC3B9.18c	
O00084	UREA_SCHPO	Urease (EC 3.5.1.5) (Urea amidohydrolase)	ure1 SPAC1952.11c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	835	"91,182"		ure1	SPAC1952.11c	
O74174	VATG_SCHPO	V-type proton ATPase subunit G (V-ATPase subunit G) (Vacuolar proton pump subunit G)	vma10 SPBC1289.05c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	108	"12,163"		vma10	SPBC1289.05c	
O14265	VATH_SCHPO	V-type proton ATPase subunit H (V-ATPase subunit H) (V-ATPase 54 kDa subunit) (Vacuolar proton pump subunit H)	vma13 SPAC7D4.10	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	450	"51,437"		vma13	SPAC7D4.10	
Q8WZK0	US107_SCHPO	U1 snRNP-associated protein usp107	usp107 snu71 SPBC839.10	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	695	"81,044"	snu71	usp107	SPBC839.10	
Q09848	US108_SCHPO	U1 snRNP-associated protein usp108	usp108 SPAC23D3.08	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	337	"36,488"		usp108	SPAC23D3.08	
O94621	US109_SCHPO	U1 snRNP-associated protein usp109	usp109 SPBC1289.12	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	365	"41,553"		usp109	SPBC1289.12	
P50515	VATL1_SCHPO	V-type proton ATPase subunit c (V-ATPase subunit c) (V-type proton ATPase 16 kDa proteolipid subunit) (V-ATPase 16 kDa proteolipid subunit) (Vacuolar proton pump c subunit)	vma3 SPAC1B3.14	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	161	"16,326"		vma3	SPAC1B3.14	
Q96WV0	UREG_SCHPO	Uncharacterized urease accessory protein ureG-like	SPCPB16A4.05c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	286	"31,330"			SPCPB16A4.05c	
