DBID	Systematic_name	Organism	Standard_name	Gene_name	Abundance_median	Abundance_SD	Molecular_weight
S000000022	YAL024C	S. cerevisiae	LTE1	Low Temperature Essential	1573	893	163134.9
S000000023	YAL025C	S. cerevisiae	MAK16	MAintenance of Killer	3349	984	35680.9
S000000024	YAL026C	S. cerevisiae	DRS2	Deficiency of Ribosomal Subunits	3187	1177	153727.8
S000000025	YAL027W	S. cerevisiae	SAW1	Single-strand Annealing Weakened	1170	109	29778
S000000026	YAL028W	S. cerevisiae	FRT2	Functionally Related to TCP1	2156	2154	58757.8
S000000027	YAL029C	S. cerevisiae	MYO4	MYOsin	3007	797	169346.1
S000000028	YAL030W	S. cerevisiae	SNC1	Suppressor of the Null allele of CAP	4895	2471	13202.5
S000000029	YAL031C	S. cerevisiae	GIP4	Glc7 Interacting Protein	1004	767	86677.1
S000000030	YAL032C	S. cerevisiae	PRP45	Pre-mRNA Processing	1792	338	42490.4
S000000031	YAL033W	S. cerevisiae	POP5	Processing Of Precursor RNAs	3479	1777	19574.8
S000000032	YAL034W-A	S. cerevisiae	MTW1	Mis TWelve-like	2610	694	33235.5
S000000033	YAL035W	S. cerevisiae	FUN12	Function Unknown Now	25419	11711	112251.6
S000000034	YAL036C	S. cerevisiae	RBG1	RiBosome interacting Gtpase	8422	2284	40704.5
S000000035	YAL037W	S. cerevisiae			1153		30459.4
S000000036	YAL038W	S. cerevisiae	CDC19	Cell Division Cycle	144590	77748	54546.3
S000000037	YAL039C	S. cerevisiae	CYC3	CYtochrome C	2357	1117	30071.2
S000000038	YAL040C	S. cerevisiae	CLN3	CycLiN	873		65007.7
S000000039	YAL041W	S. cerevisiae	CDC24	Cell Division Cycle	3501	680	96946.8
S000000040	YAL042W	S. cerevisiae	ERV46	ER Vesicle	5095	1439	46230.7
S000000041	YAL043C	S. cerevisiae	PTA1	Pre-Trna Accumulation	2822	637	88464.8
S000000042	YAL044C	S. cerevisiae	GCV3	GlyCine cleaVage	14067	6853	18782.1
S000000043	YAL045C	S. cerevisiae					11646.9
S000000044	YAL046C	S. cerevisiae	BOL3	BolA-like protein	1951	1583	13364.9
S000000045	YAL047C	S. cerevisiae	SPC72	Spindle Pole Component	1185	440	72073.2
S000000046	YAL048C	S. cerevisiae	GEM1	GTPase EF-hand protein of Mitochondria	1285	510	75138.9
S000000047	YAL049C	S. cerevisiae	AIM2	Altered Inheritance rate of Mitochondria	5934	3105	27083.1
S000000048	YAL051W	S. cerevisiae	OAF1	Oleate-Activated transcription Factor	744	684	118886.4
S000000049	YAL053W	S. cerevisiae	FLC2	FLavin Carrier	1797	1504	87472.3
S000000050	YAL054C	S. cerevisiae	ACS1	Acetyl CoA Synthetase	4496	2763	79132.4
S000000051	YAL055W	S. cerevisiae	PEX22	PEroXisome related	1391	1132	19880.1
S000000052	YAL056W	S. cerevisiae	GPB2		782	487	98653.9
S000000054	YAL058W	S. cerevisiae	CNE1	CalNExin and calreticulin homolog	1135	732	56948.3
S000000055	YAL059W	S. cerevisiae	ECM1	ExtraCellular Mutant	4041	1382	23902.6
S000000056	YAL060W	S. cerevisiae	BDH1	Butanediol DeHydrogenase	10791	2196	41574.4
S000000057	YAL061W	S. cerevisiae	BDH2		2411	1321	46085.1
S000000058	YAL062W	S. cerevisiae	GDH3	Glutamate DeHydrogenase	2854	2268	49619.6
S000000059	YAL063C	S. cerevisiae	FLO9	FLOcculation			138012.6
S000000060	YAL064W	S. cerevisiae					11010
S000000061	YAL066W	S. cerevisiae					12123.1
S000000062	YAL067C	S. cerevisiae	SEO1	Suppressor of sulfoxyde EthiOnine resistance	1021		68845.6
S000000063	YAR002W	S. cerevisiae	NUP60	NUclear Pore	4865	2541	59053.1
S000000064	YAR003W	S. cerevisiae	SWD1	"Set1c, WD40 repeat protein"	1114	633	48624
S000000065	YAR007C	S. cerevisiae	RFA1	Replication Factor A	7948	2289	70341.5
S000000066	YAR008W	S. cerevisiae	SEN34	Splicing ENdonuclease	1704	346	31313.3
S000000069	YAR014C	S. cerevisiae	BUD14	BUD site selection	3621	821	78899.8
S000000070	YAR015W	S. cerevisiae	ADE1	ADEnine requiring	17237	6800	34597.6
S000000071	YAR018C	S. cerevisiae	KIN3	protein KINase	856	536	51209
S000000072	YAR019C	S. cerevisiae	CDC15	Cell Division Cycle	1225	691	110245.7
S000000073	YAR020C	S. cerevisiae	PAU7	seriPAUperin family			5672.5
S000000074	YAR023C	S. cerevisiae			1168		20704.2
S000000075	YAR027W	S. cerevisiae	UIP3	Ulp1 Interacting Protein	1690	422	27110.7
S000000076	YAR028W	S. cerevisiae			1641	470	26449.6
S000000077	YAR029W	S. cerevisiae					8903.9
S000000078	YAR031W	S. cerevisiae	PRM9	Pheromone-Regulated Membrane protein	1049	487	35075.4
S000000079	YAR033W	S. cerevisiae	MST28	Multicopy suppressor of Sec Twenty one	1401	1187	27091.3
S000000080	YAR035W	S. cerevisiae	YAT1		1047	578	77761.4
S000000081	YAR042W	S. cerevisiae	SWH1		4819	1906	135055.8
S000000083	YAR047C	S. cerevisiae					12904.7
S000000084	YAR050W	S. cerevisiae	FLO1	FLOcculation	16097		160585.1
S000000085	YAR053W	S. cerevisiae					11146.4
S000000086	YAR060C	S. cerevisiae					12879.4
S000000089	YAR064W	S. cerevisiae			1520		11142
S000000091	YAR068W	S. cerevisiae					18018.8
S000000092	YAR069C	S. cerevisiae					10913
S000000093	YAR070C	S. cerevisiae					11611
S000000094	YAR071W	S. cerevisiae	PHO11	PHOsphate metabolism	5920	2837	52741.1
S000000095	YAR073W	S. cerevisiae	IMD1	IMP Dehydrogenase			44389.7
S000000097	YBL001C	S. cerevisiae	ECM15	ExtraCellular Mutant	4609	2683	11516.4
S000000098	YBL002W	S. cerevisiae	HTB2	Histone h Two B	101430	63961	14251.6
S000000099	YBL003C	S. cerevisiae	HTA2	Histone h Two A	67315	35288	14002.5
S000000100	YBL004W	S. cerevisiae	UTP20	U Three Protein	3410	1879	287550.5
S000000101	YBL005W	S. cerevisiae	PDR3	Pleiotropic Drug Resistance	225	190	112562.2
S000000102	YBL006C	S. cerevisiae	LDB7	Low Dye Binding	2261	1439	19797.7
S000000103	YBL007C	S. cerevisiae	SLA1	Synthetic Lethal with ABP1	8674	2996	135835.7
S000000104	YBL008W	S. cerevisiae	HIR1	HIstone Regulation	1109	362	93855.8
S000000105	YBL009W	S. cerevisiae	ALK2		541	407	76397.6
S000000106	YBL010C	S. cerevisiae	LAA2	Large Adaptin Accessory	1403	290	32625.7
S000000107	YBL011W	S. cerevisiae	SCT1	Suppressor of Choline-Transport mutants	3095	905	85693.2
S000000108	YBL012C	S. cerevisiae					15310.3
S000000109	YBL013W	S. cerevisiae	FMT1	Formyl-Methionyl-tRNA Transformylase	1137	385	44635.5
S000000110	YBL014C	S. cerevisiae	RRN6	Regulation of RNA polymerase I	237	233	102012.2
S000000111	YBL015W	S. cerevisiae	ACH1	Acetyl CoA Hydrolase	8509	3843	58705.5
S000000112	YBL016W	S. cerevisiae	FUS3	cell FUSion	4800	1651	40770.5
S000000113	YBL017C	S. cerevisiae	PEP1	carboxyPEPtidase Y-deficient	5979	1542	177695.5
S000000114	YBL018C	S. cerevisiae	POP8	Processing Of Precursor RNAs	2523	1966	15503.5
S000000115	YBL019W	S. cerevisiae	APN2	APurinic/apyrimidinic eNdonuclease	395	49	59463
S000000116	YBL020W	S. cerevisiae	RFT1	Requiring Fifty-Three	1191	816	66225.3
S000000117	YBL021C	S. cerevisiae	HAP3	Heme Activator Protein	1741	549	16146.1
S000000118	YBL022C	S. cerevisiae	PIM1	Proteolysis In Mitochondria	5901	2673	127085
S000000119	YBL023C	S. cerevisiae	MCM2	MiniChromosome Maintenance	2774	865	98740.6
S000000120	YBL024W	S. cerevisiae	NCL1	NuCLear protein	14175	5490	77878.6
S000000121	YBL025W	S. cerevisiae	RRN10	Regulation of RNA polymerase I	543	385	16496.8
S000000122	YBL026W	S. cerevisiae	LSM2	Like SM	6485	1645	11164
S000000123	YBL027W	S. cerevisiae	RPL19B	Ribosomal Protein of the Large subunit	80265	21328	21736.8
S000000124	YBL028C	S. cerevisiae			6210	3822	12416.6
S000000125	YBL029W	S. cerevisiae			1199	492	42601.5
S000000126	YBL030C	S. cerevisiae	PET9	PETite	29722	8755	34446.7
S000000127	YBL031W	S. cerevisiae	SHE1	Sensitivity to High Expression	874	349	38042.3
S000000128	YBL032W	S. cerevisiae	HEK2	HEterogeneous nuclear rnp K-like gene	8747	2607	41676.4
S000000129	YBL033C	S. cerevisiae	RIB1	RIBoflavin biosynthesis	4724	1962	38325.5
S000000130	YBL034C	S. cerevisiae	STU1	Suppressor of TUbulin	1269	748	174160.9
S000000131	YBL035C	S. cerevisiae	POL12	POLymerase	2511	1136	78771.9
S000000132	YBL036C	S. cerevisiae			5112	1371	29120.5
S000000133	YBL037W	S. cerevisiae	APL3	clathrin Adaptor Protein complex Large chain	2047	655	115024.8
S000000134	YBL038W	S. cerevisiae	MRPL16	"Mitochondrial Ribosomal Protein, Large subunit"	2185	554	26545.5
S000000135	YBL039C	S. cerevisiae	URA7	URAcil requiring	21121	6462	64693.8
S000000136	YBL040C	S. cerevisiae	ERD2	Endoplasmic reticulum Retention Defective	11582	3067	25774.8
S000000137	YBL041W	S. cerevisiae	PRE7	PRoteinase yscE	10467	3282	26866.3
S000000138	YBL042C	S. cerevisiae	FUI1	5-FlUorourIdine resistance	4648	4191	72166.6
S000000139	YBL043W	S. cerevisiae	ECM13	ExtraCellular Mutant			28528.4
S000000140	YBL044W	S. cerevisiae					13863.3
S000000141	YBL045C	S. cerevisiae	COR1	CORe protein of QH2 cytochrome c reductase	13995	6730	50227.3
S000000142	YBL046W	S. cerevisiae	PSY4	Platinum SensitivitY	2455	420	50596.3
S000000143	YBL047C	S. cerevisiae	EDE1	EH Domains and Endocytosis	12983	3892	150701.5
S000000144	YBL048W	S. cerevisiae	RRT1	Regulator of rDNA Transcription			12451.1
S000000145	YBL049W	S. cerevisiae	MOH1		1176	1161	16094.7
S000000146	YBL050W	S. cerevisiae	SEC17	SECretory	11448	1649	32792.1
S000000147	YBL051C	S. cerevisiae	PIN4	Psi+ INducibility	4817	1331	73765.8
S000000148	YBL052C	S. cerevisiae	SAS3	Something About Silencing	899	741	97573.4
S000000149	YBL053W	S. cerevisiae					13196
S000000150	YBL054W	S. cerevisiae	TOD6	Twin Of Dot6p	2059	1047	59239.9
S000000151	YBL055C	S. cerevisiae			2996	979	47386.4
S000000152	YBL056W	S. cerevisiae	PTC3	Phosphatase Two C	7522	2282	51289.4
S000000153	YBL057C	S. cerevisiae	PTH2	Peptidyl-Trna Hydrolase	3970	1845	22429.6
S000000154	YBL058W	S. cerevisiae	SHP1	Suppressor of High-copy PP1	6482	2169	46968.7
S000000155	YBL059W	S. cerevisiae	IAI11	Interactor of AIm11	1261	648	22293.4
S000000156	YBL060W	S. cerevisiae	YEL1	Yeast EFA6-Like	755	405	78759.8
S000000157	YBL061C	S. cerevisiae	SKT5		3028	503	77085.6
S000000158	YBL062W	S. cerevisiae					14408.1
S000000159	YBL063W	S. cerevisiae	KIP1	KInesin related Protein	910	736	125788.1
S000000160	YBL064C	S. cerevisiae	PRX1	PeroxiRedoXin	8062	4126	29501.1
S000000161	YBL065W	S. cerevisiae					13836.6
S000000162	YBL066C	S. cerevisiae	SEF1	Suppressor of Essential Function	442	267	127993.3
S000000163	YBL067C	S. cerevisiae	UBP13	UBiquitin-specific Protease	1759	1301	83845.7
S000000164	YBL068W	S. cerevisiae	PRS4	PhosphoRibosylpyrophosphate Synthetase	6454	2432	35714.4
S000000165	YBL069W	S. cerevisiae	AST1	ATPase STabilizing	3018	1249	48353
S000000166	YBL070C	S. cerevisiae					11551
S000000167	YBL071C	S. cerevisiae			1128		11546.7
S000000168	YBL072C	S. cerevisiae	RPS8A	Ribosomal Protein of the Small subunit	67865	36506	22517.2
S000000169	YBL073W	S. cerevisiae					12090.6
S000000170	YBL074C	S. cerevisiae	AAR2	A1-Alpha2 Repression	1034	430	41666
S000000171	YBL075C	S. cerevisiae	SSA3	Stress-Seventy subfamily A	6440	4635	70527.4
S000000172	YBL076C	S. cerevisiae	ILS1	IsoLeucine-tRNA Synthetase	41712	17332	122966.3
S000000173	YBL077W	S. cerevisiae					16331.1
S000000174	YBL078C	S. cerevisiae	ATG8	AuTophaGy related	2400	1536	13630.9
S000000175	YBL079W	S. cerevisiae	NUP170	NUclear Pore	3441	1054	169454.3
S000000176	YBL080C	S. cerevisiae	PET112	PETite colonies	1263	784	61869.4
S000000177	YBL081W	S. cerevisiae			1549	326	40769.4
S000000178	YBL082C	S. cerevisiae	ALG3	Asparagine Linked Glycosylation	1472	390	52872.5
S000000179	YBL083C	S. cerevisiae					16170.3
S000000180	YBL084C	S. cerevisiae	CDC27	Cell Division Cycle	955	645	85410.8
S000000181	YBL085W	S. cerevisiae	BOI1	Bem1 (One) Interacting protein	2526	1486	109313.7
S000000182	YBL086C	S. cerevisiae			1567	598	52005.5
S000000183	YBL087C	S. cerevisiae	RPL23A	Ribosomal Protein of the Large subunit	12746	7162	14485.3
S000000184	YBL088C	S. cerevisiae	TEL1	TELomere maintenance	1137	1097	321515.1
S000000185	YBL089W	S. cerevisiae	AVT5	Amino acid Vacuolar Transport	294		50902.5
S000000186	YBL090W	S. cerevisiae	MRP21	Mitochondrial Ribosomal Protein	1662	855	20413.2
S000000187	YBL091C	S. cerevisiae	MAP2	Methionine AminoPeptidase	6162	3446	47508.9
S000000188	YBL092W	S. cerevisiae	RPL32	Ribosomal Protein of the Large subunit	47048	23080	14794.7
S000000189	YBL093C	S. cerevisiae	ROX3	Regulation by OXygen	2635	1299	24855.7
S000000190	YBL094C	S. cerevisiae					12085.4
S000000191	YBL095W	S. cerevisiae	MRX3	Mitochondrial oRganization of gene eXpression (MIOREX)	1334	630	30546.8
S000000192	YBL096C	S. cerevisiae					11091.2
S000000193	YBL097W	S. cerevisiae	BRN1	homolog of BaRreN	1150	570	86152
S000000194	YBL098W	S. cerevisiae	BNA4	Biosynthesis of Nicotinic Acid	2905	1864	52435.1
S000000195	YBL099W	S. cerevisiae	ATP1	ATP synthase	34971	10983	58614.7
S000000196	YBL100C	S. cerevisiae					11251.4
S000000197	YBL101C	S. cerevisiae	ECM21	ExtraCellular Mutant	2909	669	123604
S000000198	YBL102W	S. cerevisiae	SFT2	Suppressor of sed Five Ts	3141	1096	24279.5
S000000199	YBL103C	S. cerevisiae	RTG3	ReTroGrade regulation	2317	1063	54123.2
S000000200	YBL104C	S. cerevisiae	SEA4	SEh1-Associated	2041	703	117621.4
S000000201	YBL105C	S. cerevisiae	PKC1	Protein Kinase C	2386	756	131473.5
S000000202	YBL106C	S. cerevisiae	SRO77	Suppressor of rho3	749	460	111637.5
S000000203	YBL107C	S. cerevisiae	MIX23	Mitochondrial Intermembrane space CX(n)C motif protein	1506	546	22966.1
S000000204	YBL108W	S. cerevisiae					11666.1
S000000205	YBR001C	S. cerevisiae	NTH2	Neutral TreHalase	1382	306	89670.1
S000000206	YBR002C	S. cerevisiae	RER2	Retention in the Endoplasmic Reticulum	2889	1301	32695
S000000207	YBR003W	S. cerevisiae	COQ1	COenzyme Q	2868	938	52567.2
S000000208	YBR004C	S. cerevisiae	GPI18	GlycosylPhosphatidylInositol	123	85	50779
S000000209	YBR005W	S. cerevisiae	RCR1	Resistance to Congo Red	2610	767	23884.8
S000000210	YBR006W	S. cerevisiae	UGA2	Utilization of GAba	3214	1099	54186.7
S000000211	YBR007C	S. cerevisiae	DSF2	Deletion Suppressor of mptFive/pufFive mutation	1607	475	82359.3
S000000212	YBR008C	S. cerevisiae	FLR1	FLuconazole Resistance	2531		61624.3
S000000213	YBR009C	S. cerevisiae	HHF1	Histone H Four	25215	17144	11386.6
S000000214	YBR010W	S. cerevisiae	HHT1	Histone H Three	13263	11969	15378.3
S000000215	YBR011C	S. cerevisiae	IPP1	Inorganic PyroPhosphatase	42812	21242	32291.7
S000000216	YBR012C	S. cerevisiae					16066.1
S000000217	YBR013C	S. cerevisiae			8467		14481.7
S000000218	YBR014C	S. cerevisiae	GRX7	GlutaRedoXin	4216	2221	22559.4
S000000219	YBR015C	S. cerevisiae	MNN2	MaNNosyltransferase	7052	2838	67766.3
S000000220	YBR016W	S. cerevisiae			2167	573	14617
S000000221	YBR017C	S. cerevisiae	KAP104	KAryoPherin	4755	2218	103614.9
S000000222	YBR018C	S. cerevisiae	GAL7	GALactose metabolism	591	562	42385.5
S000000223	YBR019C	S. cerevisiae	GAL10	GALactose metabolism	1137		78182.9
S000000224	YBR020W	S. cerevisiae	GAL1	GALactose metabolism			57940.9
S000000225	YBR021W	S. cerevisiae	FUR4	5-FlUoRouridine sensitivity	721	436	71740.4
S000000226	YBR022W	S. cerevisiae	POA1	"Phosphatase Of ADP-ribose 1""-phosphate"	1827	670	19939
S000000227	YBR023C	S. cerevisiae	CHS3	CHitin Synthase-related	2544	548	131593.5
S000000228	YBR024W	S. cerevisiae	SCO2	Suppressor of Cytochrome Oxidase deficiency	2711	1231	34891.9
S000000229	YBR025C	S. cerevisiae	OLA1	Obg-Like ATPase	38234	4778	44174.5
S000000230	YBR026C	S. cerevisiae	ETR1	2-Enoyl Thioester Reductase	9388	6286	42074.3
S000000231	YBR027C	S. cerevisiae			1267		12848.6
S000000232	YBR028C	S. cerevisiae	YPK3		3197	1014	59593
S000000233	YBR029C	S. cerevisiae	CDS1	CDP-Diacylglycerol Synthase	8865	3619	51832.3
S000000234	YBR030W	S. cerevisiae	RKM3	Ribosomal lysine (K) Methyltransferase	2322	578	62541
S000000235	YBR031W	S. cerevisiae	RPL4A	Ribosomal Protein of the Large subunit	76066	44273	39126.9
S000000236	YBR032W	S. cerevisiae					11483.3
S000000237	YBR033W	S. cerevisiae	EDS1	Expression Dependent on Slt2			103416.6
S000000238	YBR034C	S. cerevisiae	HMT1	HnRNP MethylTransferase	6151	2648	39771.3
S000000239	YBR035C	S. cerevisiae	PDX3	PyriDoXine auxotrophy	14922	2067	26908.5
S000000240	YBR036C	S. cerevisiae	CSG2	Calcium Sensitive Growth	3749	1820	45442.5
S000000241	YBR037C	S. cerevisiae	SCO1	Suppressor of Cytochrome Oxidase deficiency	2467	767	33174.3
S000000242	YBR038W	S. cerevisiae	CHS2	CHitin Synthase	867	560	109894.8
S000000243	YBR039W	S. cerevisiae	ATP3	ATP synthase	18490	6066	34360
S000000244	YBR040W	S. cerevisiae	FIG1	Factor-Induced Gene			33788.1
S000000245	YBR041W	S. cerevisiae	FAT1	FATty acid transporter	4473	842	77147.6
S000000246	YBR042C	S. cerevisiae	CST26	Chromosome STability	1964	958	45529.6
S000000247	YBR043C	S. cerevisiae	QDR3	QuiniDine Resistance	1624	1344	77288.4
S000000248	YBR044C	S. cerevisiae	TCM62	TriCarboxylic acid cycle Mutant	1158	747	64267.8
S000000249	YBR045C	S. cerevisiae	GIP1	Glc7-Interacting Protein			73327.2
S000000250	YBR046C	S. cerevisiae	ZTA1	ZeTA-crystallin	4559	1492	37023.9
S000000251	YBR047W	S. cerevisiae	FMP23	Found in Mitochondrial Proteome	2580	158	20512.8
S000000252	YBR048W	S. cerevisiae	RPS11B	Ribosomal Protein of the Small subunit	37610	36410	17775.3
S000000253	YBR049C	S. cerevisiae	REB1	RNA polymerase I Enhancer Binding protein	5582	1829	91825.5
S000000254	YBR050C	S. cerevisiae	REG2	REsistance to Glucose repression	1143		38751
S000000255	YBR051W	S. cerevisiae					13442.9
S000000256	YBR052C	S. cerevisiae	RFS1	Rad55 (Fifty-five) Suppressor	7085	1959	22914.1
S000000257	YBR053C	S. cerevisiae			6080	1120	40277.9
S000000258	YBR054W	S. cerevisiae	YRO2		5475	3519	38730.9
S000000259	YBR055C	S. cerevisiae	PRP6	Pre-mRNA Processing	1975	365	104234.4
S000000260	YBR056W	S. cerevisiae	MRX18	Mitochondrial oRganization of gene eXpression (MIOREX)	6076	4112	57812.5
S000000261	YBR057C	S. cerevisiae	MUM2	MUddled Meiosis	3186	1271	41423.7
S000000262	YBR058C	S. cerevisiae	UBP14	UBiquitin-specific Protease	3554	1867	88601.8
S000000263	YBR059C	S. cerevisiae	AKL1	Ark family Kinase-Like protein	4059	1279	123991.2
S000000264	YBR060C	S. cerevisiae	ORC2	Origin Recognition Complex	1645	305	71260.2
S000000265	YBR061C	S. cerevisiae	TRM7	Transfer RNA Methyltransferase	3356	1316	34703
S000000266	YBR062C	S. cerevisiae			2663	2559	20581.1
S000000267	YBR063C	S. cerevisiae	CNM1	Contact Nucleus Mitochondria 1	1276		46443.3
S000000268	YBR064W	S. cerevisiae					16039.2
S000000269	YBR065C	S. cerevisiae	ECM2	ExtraCellular Mutant	2306	1169	40946.2
S000000270	YBR066C	S. cerevisiae	NRG2	Negative Regulator of Glucose-controlled genes	1086	382	25030.1
S000000271	YBR067C	S. cerevisiae	TIP1	Temperature shock-Inducible Protein	14370	5021	20716.8
S000000272	YBR068C	S. cerevisiae	BAP2	Branched-chain Amino acid Permease	6997	4825	67775
S000000273	YBR069C	S. cerevisiae	TAT1	Tyrosine and tryptophan Amino acid Transporter	3424	1729	68760.1
S000000274	YBR070C	S. cerevisiae	ALG14	Asparagine Linked Glycosylation	1855	1794	27049.5
S000000275	YBR071W	S. cerevisiae			1600	602	23549.4
S000000276	YBR072W	S. cerevisiae	HSP26	Heat Shock Protein	19709	13876	23874.8
S000000277	YBR073W	S. cerevisiae	RDH54	RaD54 Homolog	2522	1252	107977.7
S000000278	YBR074W	S. cerevisiae	PFF1	Protease in FXNA-related Family	3347	1063	111023
S000000280	YBR076W	S. cerevisiae	ECM8	ExtraCellular Mutant	1153		41783.1
S000000281	YBR077C	S. cerevisiae	SLM4	Synthetic Lethal with Mss4	3907	837	18346
S000000282	YBR078W	S. cerevisiae	ECM33	ExtraCellular Mutant	19890	7168	43761.9
S000000283	YBR079C	S. cerevisiae	RPG1		28010	9422	110332.4
S000000284	YBR080C	S. cerevisiae	SEC18	SECretory	6685	1555	84059.1
S000000285	YBR081C	S. cerevisiae	SPT7	SuPpressor of Ty's	2320	795	152529.2
S000000286	YBR082C	S. cerevisiae	UBC4	UBiquitin-Conjugating	14172	3765	16453.9
S000000287	YBR083W	S. cerevisiae	TEC1	Transposon Enhancement Control	1151	621	55158
S000000288	YBR084W	S. cerevisiae	MIS1	MItochondrial C1-tetrahydrofolate Synthase	6654	3476	106228.6
S000000289	YBR085W	S. cerevisiae	AAC3	ADP/ATP Carrier	1080	899	33333.4
S000000290	YBR086C	S. cerevisiae	IST2	Increased Sodium Tolerance	4124	1768	105871.8
S000000291	YBR087W	S. cerevisiae	RFC5	Replication Factor C	4728	1336	39946.2
S000000292	YBR088C	S. cerevisiae	POL30	POLymerase	20407	5176	28896.2
S000000293	YBR089W	S. cerevisiae					22097.6
S000000294	YBR090C	S. cerevisiae			9525	3910	14336.1
S000000295	YBR091C	S. cerevisiae	TIM12	Translocase of the Inner Membrane	1910	892	12283.1
S000000296	YBR092C	S. cerevisiae	PHO3	PHOsphate metabolism	3838	1679	52745.8
S000000297	YBR093C	S. cerevisiae	PHO5	PHOsphate metabolism	1793	482	52832.8
S000000298	YBR094W	S. cerevisiae	PBY1	P-BodY associated protein	3021	1060	86310.7
S000000299	YBR095C	S. cerevisiae	RXT2		2161	743	48607.6
S000000300	YBR096W	S. cerevisiae			4586	1111	27098.7
S000000301	YBR097W	S. cerevisiae	VPS15	Vacuolar Protein Sorting	665	381	166364.6
S000000302	YBR098W	S. cerevisiae	MMS4	Methyl MethaneSulfonate sensitivity	545	336	78764.6
S000000303	YBR099C	S. cerevisiae					14791.6
S000000305	YBR101C	S. cerevisiae	FES1	Factor Exchange for Ssa1p	9196	2463	32592.6
S000000306	YBR102C	S. cerevisiae	EXO84	EXOcyst	2620	723	85540.9
S000000307	YBR103W	S. cerevisiae	SIF2	Sir4p-Interacting Factor	2048	417	59131.5
S000000308	YBR104W	S. cerevisiae	YMC2	Yeast Mitochondrial Carrier	1529	723	36564.7
S000000309	YBR105C	S. cerevisiae	VID24	Vacuolar Import and Degradation	5114	2165	41241.4
S000000310	YBR106W	S. cerevisiae	SND3	SRP-iNDependent targeting	30807	8614	21142.2
S000000311	YBR107C	S. cerevisiae	IML3	Increased Minichromosome Loss	1671	1007	28059.5
S000000312	YBR108W	S. cerevisiae	AIM3	Altered Inheritance rate of Mitochondria	1290	904	103880.3
S000000313	YBR109C	S. cerevisiae	CMD1	CalMoDulin	24171	7978	16115.9
S000000314	YBR110W	S. cerevisiae	ALG1	Asparagine-Linked Glycosylation	2334	938	51938.5
S000000315	YBR111C	S. cerevisiae	YSA1		6334	2191	26085.3
S000000316	YBR112C	S. cerevisiae	CYC8	CYtochrome C	5404	1436	107160.9
S000000317	YBR113W	S. cerevisiae					18113.1
S000000318	YBR114W	S. cerevisiae	RAD16	RADiation sensitive	353	120	91439.5
S000000319	YBR115C	S. cerevisiae	LYS2	LYSine requiring	9748	4016	155321.8
S000000320	YBR116C	S. cerevisiae					20223
S000000321	YBR117C	S. cerevisiae	TKL2	TransKetoLase	7091	3431	75016
S000000322	YBR118W	S. cerevisiae	TEF2	Translation Elongation Factor	532551	389013	50045.3
S000000323	YBR119W	S. cerevisiae	MUD1	Mutant U1 Die	1664	882	34405.7
S000000324	YBR120C	S. cerevisiae	CBP6	Cytochrome B Protein synthesis	4089	1430	18692
S000000325	YBR121C	S. cerevisiae	GRS1	Glycyl-tRNA Synthase	42610	6183	75325.4
S000000326	YBR122C	S. cerevisiae	MRPL36	"Mitochondrial Ribosomal Protein, Large subunit"	2713	760	20101
